protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,label
9606.ENSP00000290122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9606.ENSP00000345563,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88E-05,0,0,0.00017316,0,0,6.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.89E-05,0.192139987,1.20E-06,3.16E-06,1.51E-06,4.89E-07,1,1,1,1,0,0,0
9606.ENSP00000415436,0,0,0,0,0.036962025,0.009345794,0,0.007220217,0.035714286,0,0.243654822,0.05,0.008695652,0.033841713,0.022823185,0.026001075,0.014256854,0.015513126,0.008797654,0.032394191,0.017570665,0.009928638,0.007900918,0.007455732,0.005885016,0.016764839,0.020289855,0.00872093,0.012004802,0.011695906,0,0.206009492,0.146239023,0.120511559,0.042122999,0.089211618,0.047169811,0.088999202,0.045393858,0.033136095,1,0.055050807,0.913618102,3.33E-05,0.000300771,0.00018284,8.51E-05,1,1,1,0,0,0,0
9606.ENSP00000370215,0,0,0,0,0.006075949,0,0,0,0,0,0,0,0,0.008788716,0.009861338,0.006987369,0.007445887,0.010739857,0.010752688,0.003102892,0.006111536,0.003412969,0.000213538,0.000621311,0.000905387,0.003398278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.008634276,0.358702344,1.81E-05,7.21E-05,3.27E-05,1.18E-05,1,1,1,0,0,0,0
9606.ENSP00000355593,0,0,0,0,0.083544304,0.112149533,0.077922078,0.083032491,0.178571429,0,0,0,0,0.098687209,0.111101542,0.111058855,0.129235209,0.124502784,0.126099707,0.08812213,0.083269672,0.071982625,0.118910344,0.119291705,0.132639203,0.147938378,0.153623188,0.098837209,0.089435774,0.105263158,0.161111111,0,0,0,0,0,0,0,0,0,1,0.115113691,0.834555,5.38E-05,0.000960497,0.000494319,0.000202696,1,1,1,0,0,0,0
9606.ENSP00000311679,0,0,0,0,0.003544304,0.018691589,0.012987013,0,0.035714286,0,0,0,0,0.005592655,0.004306261,0.002351518,0.003867244,0.00477327,0.002932551,0.001737619,0.003055768,0.00124108,0.000183033,0.000931966,0,0.001812415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005330754,0.336259176,3.19E-05,6.13E-05,2.96E-05,1.16E-05,1,1,1,0,0,0,0
9606.ENSP00000371800,0,0,0,0,0.030379747,0.018691589,0,0,0,0,0,0,0,0.031097839,0.029196452,0.027613545,0.027359307,0.018297534,0.025415445,0.102705722,0.120702827,0.040955631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.032869568,0.202944852,1.96E-05,0.000195866,0.000105608,4.49E-05,1,1,1,0,0,0,0
9606.ENSP00000483570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9606.ENSP00000233997,0,0,0,0,0.002025316,0.037383178,0,0.007220217,0,0.210526316,0,0,0,0.004058835,0.005253639,0.006517065,0.015064935,0.016308671,0.027370479,0.005771379,0.004583652,0.009308098,0.00590281,0.007145076,0.013580806,0.026053466,0.031884058,0.046511628,0.06362545,0.040935673,0.062962963,0,0,0,0,0,0,0,0,0,1,0.005799306,0.499829463,1.66E-05,6.45E-05,3.56E-05,1.56E-05,1,1,1,0,0,0,0
9606.ENSP00000230256,0,0,0,0,0.000506329,0,0,0,0,0,0,0,0,0.000812129,0.000861252,0.001209352,0,0,0,0.001241157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000801427,0.12035304,1.22E-06,1.14E-05,4.41E-06,1.26E-06,1,1,1,0,0,0,0
