,protein,RWR_positive_0.4_0.1,RWR_positive_0.4_0.2,RWR_positive_0.4_0.3,RWR_positive_0.4_0.4,RWR_positive_0.4_0.5,RWR_positive_0.4_0.6,RWR_positive_0.4_0.7,RWR_positive_0.4_0.8,RWR_positive_0.4_0.9,RWR_positive_0.4_1.0
0,9606.ENSP00000262306,0.005751723906224374,0.010453004226782307,0.014249060708486921,0.020680107842154995,0.027738025032600425,0.030932287657944493,0.03342835665779367,0.03796374929398292,0.05010682572369584,0.05541624047108711
1,9606.ENSP00000338512,0.00014377836933720424,0.0002184842048765888,0.0006093756826946454,0.0007372272286227809,0.001404250353420364,0.0015959299532401219,0.0017648069271263417,0.0018745864560581727,0.0019737666291663072,0.002110989825521109
2,9606.ENSP00000266987,0.0013064079082775837,0.002114336843725786,0.0035761103835522073,0.004294404344927112,0.005041173253092207,0.00760055950960776,0.008228853393037474,0.009004882316417363,0.009568748330272084,0.010219479754983263
3,9606.ENSP00000344729,1.4293997123763146e-05,2.609908210799381e-05,4.1032014096786316e-05,6.044798880786621e-05,7.32668905370813e-05,8.414670833683475e-05,9.249437233208683e-05,0.00017195494150220212,0.00017987485830009715,0.00018878818499915874
4,9606.ENSP00000379496,0.000400780994899375,0.0007305692236517102,0.0011558139205345571,0.0014030882378212619,0.0016747530596471704,0.00193612434306723,0.007324340996288728,0.007637452445735972,0.007949977663374614,0.008265438269881999
5,9606.ENSP00000395389,0.00024212805103462795,0.00035365969098091743,0.0004379782599687184,0.0005376210382824743,0.0006195106632058077,0.0006929450907498002,0.0007943059167110853,0.000901856054323138,0.0009981486526190128,0.001265947283889918
6,9606.ENSP00000376445,0.00037119351401136404,0.0013089080978541047,0.001682403397926301,0.002097334654941486,0.0028004056217772856,0.003414691391266152,0.003809651616335761,0.005635012501955141,0.0061437211066996825,0.006596154882674505
7,9606.ENSP00000354163,4.1763035455703335e-05,0.0001337497869104215,0.000185575170593939,0.00025636796463649717,0.0003166199285998734,0.00035942171131661917,0.0004368833490239112,0.000498788775797815,0.0005752272549169846,0.0006195691476625261
8,9606.ENSP00000280800,0.0006376350156401055,0.0013698981696259032,0.0032645706479729995,0.006322599727762332,0.007033645861351062,0.007594987872056088,0.008772434144508557,0.009605958983815457,0.011378267815211254,0.012022656179085354
9,9606.ENSP00000344724,0.0019702749638373183,0.002603483319459424,0.0032448005477186312,0.003878278407987387,0.004362313121653134,0.005202761247034833,0.0056023504634491175,0.006381438348020942,0.007175078493024287,0.007796373022494933
10,9606.ENSP00000438468,5.164618893830761e-05,0.0001514915936120388,0.00024215924615967013,0.0003227977553305792,0.000400060358359304,0.00047581163169612453,0.0005877519266979385,0.0006527455090877531,0.0007409661191195499,0.0008290512961747897
11,9606.ENSP00000357122,0.004340345939169458,0.007195422933249018,0.011389506652405464,0.020785801040739665,0.025151387930809663,0.029455792062058093,0.03702714136226725,0.041631612699152235,0.046204258522601446,0.04998980294550578
12,9606.ENSP00000480421,0.0023826524438637104,0.004316794268101645,0.0054957893771257135,0.006867110313312634,0.011182718471196564,0.012243580655459193,0.012972021397433656,0.014469078167825486,0.015698323249717133,0.01661772263486306
13,9606.ENSP00000448680,6.679037856922598e-05,0.00012665953032445188,0.00017885024808228462,0.00023153045303368416,0.00030709883526722643,0.000346471174521553,0.0004095654989372914,0.00044375483237324296,0.0004912782797149933,0.0005406727432949293
14,9606.ENSP00000226105,0.00029010026236811546,0.0007715103159161253,0.0010922878433461299,0.0015567816973926488,0.001846672762180231,0.002144475151233754,0.0023307100959504092,0.002600204188529467,0.002779949476661249,0.0029878696507044055
15,9606.ENSP00000286827,0.001651472245350834,0.00405269523353397,0.006549483582410792,0.00801394816804113,0.010647093834731388,0.013139112105191064,0.016649883805199002,0.01896284729720226,0.02010567674457015,0.023419865187450938
16,9606.ENSP00000415203,0.0006196306240011986,0.0006859086174052837,0.0007348060714813055,0.0008197885005329448,0.0009147223080283511,0.0009985106772300776,0.0011464158238490387,0.0012364360320158694,0.0017181308171581413,0.0017625447646750976
17,9606.ENSP00000365048,0.0009003686768624752,0.002509324569740304,0.002787234252316035,0.0033746173506651357,0.0038161802980280833,0.004225130629303626,0.004907703280219703,0.005279313458298192,0.005856506091289444,0.00632514304305809
18,9606.ENSP00000419923,0.0007222631217513533,0.0017565990562349195,0.00259142465453283,0.003246536345246835,0.003958360438836814,0.00448403355225543,0.005287440389399351,0.005749919159784042,0.006453301111739483,0.006840409706192824
19,9606.ENSP00000324557,4.200770143743644e-06,1.2592782844716041e-05,1.9626228880043714e-05,2.4348546427257335e-05,2.9274627487495975e-05,3.33851427191555e-05,3.9621303760614866e-05,4.330282792772004e-05,4.735894491642858e-05,5.24866106762853e-05
20,9606.ENSP00000234310,0.005696574103554822,0.008318602626015975,0.011097046841279384,0.018972563965859137,0.021047495201298807,0.023915489751512597,0.02759713622862689,0.030359279753470338,0.032461441933912434,0.03468844435758693
21,9606.ENSP00000177694,0.0013703854661060936,0.0022851256495212326,0.0031382660958212904,0.005595085620377841,0.007544145966966899,0.008926756871483407,0.009577342304624587,0.010005809745698353,0.010985708925711029,0.013988487669902483
22,9606.ENSP00000335094,0.0005132104787636143,0.0006311125722972794,0.0006811261857133005,0.0007554770132916307,0.0008196815558717003,0.0009346423191639044,0.0010173982671434249,0.001104894693991708,0.0011656382311859318,0.0012285428092596357
23,9606.ENSP00000474230,0.0011323631545111584,0.0021932590555283566,0.004660829838080492,0.005759151721952931,0.0067423340840588415,0.010581538828213454,0.01139022533976172,0.012444979676852014,0.013423689384569922,0.015869678037553434
24,9606.ENSP00000322270,0.0019448825439900333,0.002375708579127937,0.002674881921133377,0.0033888954655224967,0.004065536638232604,0.004630246147425861,0.005502198387554387,0.005759368386035758,0.006088442159764406,0.006295623025362722
25,9606.ENSP00000355657,0.006247033827082382,0.012039071856500721,0.023750758483208144,0.034603030280154976,0.04614194597087034,0.05664992782674212,0.0636811560603909,0.07033274062505857,0.07860630841345043,0.08491620649775289
26,9606.ENSP00000382349,0.00010470913180725797,0.0001930565730661114,0.0003279729061692897,0.0003981951224547551,0.0004974876627351138,0.0006011468783569063,0.0007437165785309179,0.0008445432644484757,0.0009061340724160058,0.0009703367387139736
27,9606.ENSP00000255681,0.00036996388727189957,0.0010915414057121675,0.0014651671344218082,0.001988338101488542,0.0023634989025463115,0.006200070995181719,0.006645513589736658,0.006981582782453764,0.00738484771549397,0.0076808963872175545
28,9606.ENSP00000383376,0.0001613501401104211,0.0002598603432279064,0.0003621703122245837,0.0006119517179117277,0.0009285601483308978,0.0011662694645799589,0.001347811160797257,0.0015471325329803702,0.001736585119834442,0.0018931856683435445
29,9606.ENSP00000454623,0.00030428882959388545,0.000556491867240882,0.0008155056136659195,0.001221846016974872,0.0017953532879710233,0.00218311514043398,0.002619475233077244,0.002901187675766372,0.003266260162361867,0.0035071833068015205
30,9606.ENSP00000355185,0.001776624378531747,0.0026738873693675004,0.0036341264406966264,0.004437466584865307,0.0068731501549194165,0.00866164593663179,0.009618818796172615,0.013968917683072322,0.0157750805584355,0.020361881533984827
31,9606.ENSP00000295082,0.002758918258916565,0.0037731705831874174,0.005230780635069888,0.006630304728877456,0.008229054063944346,0.010128106899419776,0.013211780428239488,0.018918923832229085,0.020929348379339123,0.02189541614354176
32,9606.ENSP00000484552,0.00010454378583662337,0.0002432430827692368,0.0003548714520975872,0.00046754908540052004,0.0005831862728643256,0.0007205334055330191,0.0008405381229540962,0.0009687035865062787,0.0011449011532994617,0.0012840433343823978
33,9606.ENSP00000320081,0.00014733805225397226,0.0017260597185632183,0.001973539169020908,0.002125033615710041,0.002273861022950345,0.0023853911366493474,0.002621737778817261,0.0028828311463145943,0.003087678987800581,0.004459552824587241
34,9606.ENSP00000257626,2.42113270619668e-05,5.8039419831878936e-05,0.0003118587376547696,0.0003734282487832933,0.00039909485173684334,0.0004218522527269876,0.0005132566722609647,0.0005545898036473179,0.0005862574404657682,0.000624242847107584
35,9606.ENSP00000358799,0.001572221228256626,0.002657852012140584,0.0033969056066534913,0.004983408768794021,0.006295309147311956,0.007297903106551304,0.008629790492165341,0.00965088616359348,0.01078810356162227,0.012987661460814686
36,9606.ENSP00000296591,5.8702931768012554e-05,9.068809146532602e-05,0.00019917763869408886,0.00026577459791828897,0.00033406736896804114,0.00039626619231969364,0.0004743863363107672,0.0005532064779475592,0.0006225008333206174,0.0007094504993776708
37,9606.ENSP00000412922,0.00037978222795509166,0.0007755114200205126,0.0010992235627549048,0.0016496893235897617,0.0021166579272199415,0.00258475537366588,0.012605078694554133,0.012927157684394215,0.014763663750428277,0.01519821171257025
38,9606.ENSP00000295448,0.0002482634102390217,0.0006424447760474511,0.0008684988992596635,0.001256120618034034,0.0015270612353408674,0.0017772838485495119,0.0019935923080356766,0.0022553933368583304,0.0028692314452980223,0.003942106575543324
39,9606.ENSP00000471191,0.0015282803257694558,0.006685490995566195,0.008882585574940146,0.012481528931741826,0.01619089706310959,0.0233007888061436,0.02772758385474034,0.03047104739189376,0.03193483452780646,0.0340306089483262
40,9606.ENSP00000400646,0.0010434932885186518,0.0016918546386132157,0.002504163868097541,0.003471074921966693,0.004985066615230578,0.006093213414493306,0.007872888531568202,0.009034602053729754,0.012432343285897303,0.014520784814682226
41,9606.ENSP00000264234,0.00012236116571067,0.00017196323258444502,0.0003858178323381142,0.0005706004433930382,0.0006145913742810763,0.0006612117652361922,0.0007611553173235861,0.0008213335960873543,0.0010545285413047438,0.001105940658958163
42,9606.ENSP00000415579,0.0033887562360539933,0.013166897337953813,0.025298495438392892,0.03895244156540203,0.041810260967459184,0.04432836619301498,0.04537966601444377,0.04601979959009301,0.04952868233921145,0.0508743647998856
43,9606.ENSP00000249284,6.827565391537551e-06,1.368447409788714e-05,1.6964041261825122e-05,2.262237569501912e-05,2.837538890000608e-05,3.409315511432786e-05,4.007933208663864e-05,4.555343541629685e-05,5.276906921385274e-05,5.829376534394478e-05
44,9606.ENSP00000254770,0.00040844183712288035,0.000839722715377656,0.001226418748877752,0.0015091229823946718,0.0017935926452212995,0.002086349667277859,0.0025388763294915385,0.0028408393804131063,0.0030677793303679297,0.0033989200624928847
45,9606.ENSP00000382828,0.0001044233892809036,0.00015913034502133735,0.00019077849188019723,0.0002643422940384939,0.0003283869583790555,0.00038837953356668617,0.0004955186281738417,0.0005467832810131283,0.0006089794685228167,0.003927448637990183
