protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000391488,1.1467864098090007e-05,4.816903091154072e-06,1.3644260824327334e-06
9606.ENSP00000361748,2.4603062814900376e-06,1.17148118849527e-06,3.650565329354559e-07
9606.ENSP00000356641,0.0005635944473737,0.0002653626208965,0.0001052657047455
9606.ENSP00000417581,0.0001159030755263,7.101494635198057e-05,2.694885777973472e-05
9606.ENSP00000365006,8.179470153051917e-05,5.2358004395016126e-05,2.424623855286908e-05
9606.ENSP00000370648,7.094217194065754e-05,4.6317034793240545e-05,2.3290988003529076e-05
9606.ENSP00000380488,2.5402945107815117e-05,1.030384707037239e-05,2.9138796038593776e-06
9606.ENSP00000226951,7.446613769731387e-05,3.813628840677716e-05,1.526617798134213e-05
9606.ENSP00000340088,5.166472463185113e-06,2.193030403321053e-06,6.518598570231597e-07
9606.ENSP00000325785,0.0003734703944328,0.0002137014008854,9.97334401188621e-05
9606.ENSP00000479207,0.0,0.0,0.0
9606.ENSP00000342681,0.0,0.0,0.0
9606.ENSP00000425864,2.7796130203115873e-05,1.0068500590260988e-05,2.5616757613307956e-06
9606.ENSP00000367797,0.0003207554078987,0.000190322314166,8.828391692476079e-05
9606.ENSP00000310596,0.0002932987498944,0.0001298468403283,4.7053841909142647e-05
9606.ENSP00000366617,8.443439405502757e-05,4.0866151610086774e-05,1.5169837709602436e-05
9606.ENSP00000347043,1.2525834305774646e-05,5.071400320292276e-06,1.7039859692490655e-06
9606.ENSP00000442982,9.309378204272638e-06,4.343240081103828e-06,1.3417328890137088e-06
9606.ENSP00000263918,0.0004575558613583,0.0002362457924357,9.453026978924836e-05
9606.ENSP00000298097,2.06654166066169e-05,8.384846483001862e-06,2.410957035088882e-06
9606.ENSP00000435550,2.1461205513369733e-05,9.41248637087515e-06,2.870707177036157e-06
9606.ENSP00000428544,3.196940685415011e-06,2.5284671468056343e-06,1.466500489417403e-06
9606.ENSP00000348538,2.202869647912924e-05,8.893908678018154e-06,2.7044244800608582e-06
9606.ENSP00000360200,0.0010483173852596,0.000588779053505,0.000255286341764
