protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000262306,9.90511681442916e-05,4.79985481375308e-05,1.914678117556914e-05
9606.ENSP00000338512,3.871837102909804e-06,1.422418814882381e-06,3.700763620723306e-07
9606.ENSP00000266987,2.341629724642485e-05,8.290327083989723e-06,2.156282920710515e-06
9606.ENSP00000344729,5.665658641602495e-07,2.349657930558155e-07,6.798264133547514e-08
9606.ENSP00000379496,1.786606892481758e-05,6.305879882070346e-06,1.6122312815875805e-06
9606.ENSP00000395389,1.102283655709612e-05,7.69608359639254e-06,3.722264134336193e-06
9606.ENSP00000376445,2.1621473191243227e-05,9.131410784494176e-06,2.617279709648047e-06
9606.ENSP00000354163,2.6657689430870297e-06,8.926996040078737e-07,2.122922883753852e-07
9606.ENSP00000280800,5.746581720941961e-05,3.919543123578884e-05,2.013188727596713e-05
9606.ENSP00000344724,1.8226954437597215e-05,1.0297880414755976e-05,4.991752771728916e-06
9606.ENSP00000438468,6.5855992137848824e-06,3.9347629278963115e-06,1.5705337566371495e-06
9606.ENSP00000357122,0.0001245651338765,7.451545775862038e-05,3.502024676976123e-05
9606.ENSP00000480421,3.186014792405005e-05,1.3361452861746453e-05,4.834771175166917e-06
9606.ENSP00000448680,1.3700257785464105e-06,4.888834193363188e-07,1.252572878772162e-07
9606.ENSP00000226105,8.470954160177127e-06,2.8272247959170064e-06,6.8676754747208e-07
9606.ENSP00000286827,0.0001137943910914,6.313199674671998e-05,2.6052710378453e-05
9606.ENSP00000415203,4.195013194193686e-06,2.168525688352679e-06,7.284511519836487e-07
9606.ENSP00000365048,2.5994403500951177e-05,1.205097232524473e-05,3.741192940991661e-06
9606.ENSP00000419923,1.7417358284646878e-05,7.477608379501275e-06,2.227983141668439e-06
9606.ENSP00000324557,5.810483272153031e-07,3.43626020035815e-07,1.279775437091405e-07
9606.ENSP00000234310,9.790095650344175e-05,3.700837992805087e-05,1.0862581213967154e-05
9606.ENSP00000177694,2.932462036649176e-05,1.865818826220224e-05,9.71322111918867e-06
9606.ENSP00000335094,1.4000966476187104e-05,1.02882153169617e-05,5.218463840440395e-06
9606.ENSP00000474230,9.224055977691704e-05,5.458471964622933e-05,2.5318962038808436e-05
9606.ENSP00000322270,3.638286069192693e-05,2.349750673529713e-05,1.1143365993607696e-05
9606.ENSP00000355657,0.0001053031334223,3.533245121126041e-05,1.0054948384144736e-05
9606.ENSP00000382349,3.749951623650535e-06,1.2890586466131203e-06,3.213710490192977e-07
9606.ENSP00000255681,1.206965987983157e-05,4.872354671039095e-06,1.389510539517952e-06
9606.ENSP00000383376,2.85670288320594e-05,1.5411396669577267e-05,5.1061089177058e-06
9606.ENSP00000454623,5.295047090422585e-05,3.247667529690265e-05,1.3292946778015456e-05
9606.ENSP00000355185,2.525063871950923e-05,7.750823455998022e-06,1.918806217680023e-06
9606.ENSP00000295082,5.331174717422466e-05,1.520238668956748e-05,3.295678240769387e-06
9606.ENSP00000484552,9.936810953511708e-06,4.20252222403055e-06,1.214511957127161e-06
9606.ENSP00000320081,6.827226635491983e-06,2.937617318268714e-06,8.776121180756905e-07
9606.ENSP00000257626,4.617769640682606e-06,3.2097372402255593e-06,1.5130938220039874e-06
9606.ENSP00000358799,2.5284597254948694e-05,9.514004104353565e-06,3.1005230813974143e-06
9606.ENSP00000296591,6.578203971275834e-06,3.4217464382607594e-06,1.1227518666419597e-06
9606.ENSP00000412922,1.7393884921155516e-05,7.089655247609992e-06,2.0496753191134355e-06
9606.ENSP00000295448,1.0594309935331567e-05,4.026145126487668e-06,1.1118543763939658e-06
9606.ENSP00000471191,4.3466186917182775e-05,1.5763090362806872e-05,4.531851838071894e-06
9606.ENSP00000400646,2.8788786424406773e-05,9.555246127983763e-06,2.418213985512906e-06
9606.ENSP00000264234,3.2031159014989394e-05,2.800052300879034e-05,1.5646564950920175e-05
9606.ENSP00000415579,2.4895029289037705e-05,7.151820556139444e-06,1.5954757441540578e-06
9606.ENSP00000249284,3.7123434423862835e-07,1.0407197355885893e-07,2.148716531545077e-08
9606.ENSP00000254770,1.4648530452151733e-05,6.284269865436787e-06,1.8509066221497008e-06
9606.ENSP00000382828,1.7945518453679997e-06,5.934646027256726e-07,1.355961276549639e-07
9606.ENSP00000339692,4.928029606265964e-06,2.2822665482361582e-06,7.268908233707931e-07
9606.ENSP00000299155,2.3925452092005303e-05,2.164773975538595e-05,1.2284017257241454e-05
9606.ENSP00000414202,3.9375442108430115e-05,2.7342966122347796e-05,1.4976603662675105e-05
9606.ENSP00000249647,6.314674382851519e-05,2.911806999892388e-05,1.041900854698154e-05
9606.ENSP00000345808,3.909295620805925e-05,1.8634189991882993e-05,6.9031235035926845e-06
9606.ENSP00000314505,3.76897826398167e-05,2.0082879035712006e-05,9.294217473797942e-06
9606.ENSP00000303532,3.862956527412079e-06,1.752867920499783e-06,5.035798941829965e-07
9606.ENSP00000420686,8.174839197489139e-07,3.1363204807170817e-07,8.30465838646768e-08
9606.ENSP00000362480,8.95928345218179e-05,6.481628194739102e-05,3.3725248032450474e-05
9606.ENSP00000349131,3.677978593040916e-05,2.7707235102437017e-05,1.4334607094038085e-05
9606.ENSP00000362817,2.3336466722584837e-05,1.0193441981116616e-05,3.0379222958076902e-06
9606.ENSP00000423399,3.6678207570487366e-05,1.1358353883776656e-05,2.773054348224509e-06
9606.ENSP00000317379,1.9785911264585323e-05,9.742121284582743e-06,3.8601467042970186e-06
9606.ENSP00000336701,2.657864959236509e-05,9.599243353558236e-06,2.8378281004866167e-06
9606.ENSP00000426909,0.0002805634366454,0.0001421024372723,5.807001882204342e-05
9606.ENSP00000355251,2.848889251558099e-06,9.588727337084231e-07,2.320178343190712e-07
9606.ENSP00000357069,2.5488731013832265e-05,2.404231408368358e-05,1.4575275772236027e-05
9606.ENSP00000321455,8.075567537202955e-06,2.959726873978592e-06,7.49717608449971e-07
9606.ENSP00000378958,0.0001180986218032,6.44315146088497e-05,2.6685210952079955e-05
9606.ENSP00000342832,6.8310209780236805e-06,3.2221761035646255e-06,1.028212336832172e-06
9606.ENSP00000270238,1.4947544254939276e-06,5.620936800413557e-07,1.4855402593858022e-07
9606.ENSP00000262193,0.0001070355706889,7.282469114272507e-05,3.820887908038477e-05
9606.ENSP00000379762,0.0010860745198595,0.0014808887565859,0.0013839861546843
9606.ENSP00000367668,3.6071532162025024e-06,1.744610836972681e-06,5.568866412798601e-07
9606.ENSP00000275730,5.090763812963145e-06,2.370036861353921e-06,7.265314438334277e-07
9606.ENSP00000342793,6.700595558762803e-05,3.400049939376246e-05,1.2296710080792394e-05
9606.ENSP00000280295,9.499723074333592e-07,4.132307029869473e-07,1.23402165479144e-07
9606.ENSP00000380903,5.941171793581665e-05,2.953549374345406e-05,1.109053530505622e-05
9606.ENSP00000416561,3.0010514400875346e-05,1.74605639096661e-05,7.077840418489676e-06
9606.ENSP00000284727,1.8109201486751022e-05,6.538881674853539e-06,1.665681414996333e-06
9606.ENSP00000370849,0.0,0.0,0.0
9606.ENSP00000305480,3.463515746576165e-05,1.169136035056698e-05,2.9536264659831267e-06
9606.ENSP00000392025,4.605507012601947e-05,2.6189730054247462e-05,1.1522819396193504e-05
9606.ENSP00000386456,7.564888075538264e-05,5.443306103985088e-05,2.7839011152470903e-05
9606.ENSP00000353332,2.2006357668324536e-05,6.938959284883046e-06,1.6564455277434135e-06
9606.ENSP00000334246,6.789561494982371e-06,1.9887234713121116e-06,4.10838762857974e-07
9606.ENSP00000318318,1.3127571944823757e-05,5.197639808042931e-06,1.457763836880606e-06
9606.ENSP00000330070,7.61566878272382e-07,2.554537340284978e-07,4.8936030180129555e-08
9606.ENSP00000465295,9.687578400912712e-06,4.068743036342762e-06,1.1432625992223983e-06
9606.ENSP00000413520,1.5806994199833358e-05,6.905889129579451e-06,2.151306721849302e-06
9606.ENSP00000298569,7.686793974386919e-06,5.4299552509055915e-06,2.812552982856704e-06
9606.ENSP00000384551,7.875640852693488e-07,3.199672896105436e-07,9.266164029387929e-08
9606.ENSP00000296824,2.2354779256995136e-06,1.670538015174581e-06,9.146141416462204e-07
9606.ENSP00000466799,1.4786832490610144e-05,6.635180420362861e-06,2.109887833150551e-06
