,protein,RW_positive_20_0.1,RW_positive_20_0.2,RW_positive_20_0.3,RW_positive_20_0.4,RW_positive_20_0.5,RW_positive_20_0.6,RW_positive_20_0.7,RW_positive_20_0.8,RW_positive_20_0.9,RW_positive_20_1.0
0,9606.ENSP00000262306,0.0077110306156100705,0.015613187686540186,0.021972722039208747,0.031032162296469323,0.038743265366065316,0.045489927535527386,0.051658403244800866,0.05744135350687429,0.06515205260075163,0.07228475490410347
1,9606.ENSP00000338512,0.00035622141513158567,0.0005560365316341631,0.0008427164939348586,0.0012075865752194659,0.0015376452884083847,0.0018851243157769204,0.0022759507346563623,0.002597373079879617,0.002970772487060458,0.0032401399676018627
2,9606.ENSP00000266987,0.0024927514386945404,0.004986302050383529,0.007600858731166227,0.009729215260449564,0.01179676716128597,0.014350149140227586,0.015930560879496625,0.018362455539318034,0.020429457570571685,0.02261780053959228
3,9606.ENSP00000344729,4.4518077174870996e-05,8.904101343887305e-05,0.0001357322616968304,0.00017373889886584948,0.00021066025624350004,0.0002562692673109268,0.00028449908120364853,0.00032793324817248504,0.000364850289770402,0.00040393702749952354
4,9606.ENSP00000379496,0.0014611187689297367,0.0029650362957909238,0.004552838090603473,0.0059319972024241,0.007437309959641425,0.008940562416682951,0.01052933175014914,0.012118207883759169,0.013873211690224707,0.015542304372502258
5,9606.ENSP00000395389,0.00035750994766203803,0.0006768580042262329,0.0008820510556688532,0.0012088644830328121,0.001505145233750227,0.0017786724515644892,0.0020829619302276114,0.0023258848068508087,0.0026298145958207897,0.0028348123714749818
6,9606.ENSP00000376445,0.0013103939018037636,0.002658628156495979,0.004081803694134578,0.005317832579748938,0.006666590983513743,0.008014574013941456,0.00943812272453215,0.010861698909138795,0.012434864998795092,0.013931910114479251
7,9606.ENSP00000354163,0.00022804082891525468,0.00046261008492365363,0.000710251788405003,0.0009252842387468263,0.0011599511390159023,0.0013945267401140882,0.0016421857126260875,0.001889860180199321,0.0021635242596858006,0.0024241416008408123
8,9606.ENSP00000280800,0.0022603146790061146,0.004585983624565415,0.0070403474746854044,0.009172663754725363,0.01149832038936438,0.013823473440425005,0.01627879880834371,0.01873406761296792,0.021447553801408503,0.02402969433023827
9,9606.ENSP00000344724,0.0014127358263067435,0.0028604962208191864,0.004025932958029443,0.005686223987140693,0.007098049678461393,0.008334216330695199,0.009463541213335702,0.010522575583308935,0.011934969305002596,0.01324100306010223
10,9606.ENSP00000438468,0.00020916061475872993,0.00042421154967087205,0.0006512697113976174,0.0008483738884024206,0.0010634259747348551,0.0012784962627847563,0.0015054833602334838,0.0017325305948361347,0.00198340167708011,0.0022225216139304393
11,9606.ENSP00000357122,0.007947084872284904,0.015895997610641643,0.024231130810221657,0.03101579347276129,0.03760659661202226,0.04574627346300986,0.05078517096990254,0.05853792082052678,0.0651278248114977,0.07210534447222017
12,9606.ENSP00000480421,0.003160427360853646,0.006321900604234543,0.009636801027227193,0.012335277846432291,0.014956638297007885,0.01819408302253578,0.02019783028663369,0.023281121175386943,0.02590176967350999,0.028676254019956104
13,9606.ENSP00000448680,0.00011400992866583692,0.0002312896770035877,0.00035508545488482923,0.000462596027091422,0.0005799115099307528,0.0006971920365685946,0.0008210065484490769,0.0009448112496102112,0.0010816379690368194,0.0012119314001211023
14,9606.ENSP00000226105,0.0009124238313233946,0.0018251101155328797,0.0027822154206660343,0.003561349385563517,0.004318140301620588,0.005253079792964854,0.005831661896081641,0.00672197403946484,0.0074785974065889604,0.008279696559839067
15,9606.ENSP00000286827,0.0059176340291742235,0.011834538119728677,0.01804275876202155,0.023096453078323975,0.028003455401631072,0.03407167307159398,0.0378257745760493,0.04360190578154288,0.04850957004236989,0.05370641175250057
16,9606.ENSP00000415203,0.0001708587478788104,0.00034667356476347777,0.0005322910319591756,0.0006934961711522192,0.0008693953768670326,0.0010451307680341415,0.0012308094583204365,0.0014165461484481057,0.001621702032025496,0.001816854265598522
17,9606.ENSP00000365048,0.0017870467963803094,0.0033836561924545094,0.004409747878526105,0.0060439489025156945,0.007525839657319011,0.008893782185623422,0.010414614695037017,0.011629800203081686,0.013149569014785811,0.014175204443745315
18,9606.ENSP00000419923,0.0013134549481037538,0.002050399736617692,0.003107422475295607,0.004453879773791414,0.005674356627423549,0.006958278936508577,0.008403255338635063,0.009588683064066572,0.010971946809149813,0.011965057674387936
19,9606.ENSP00000324557,1.899204028177337e-05,3.853352069427274e-05,5.9161631725146435e-05,7.707827160174929e-05,9.662753302563942e-05,0.00011616490127153156,0.00013679969180202534,0.00015743579461968693,0.00018023748856421662,0.0002019338730860909
20,9606.ENSP00000234310,0.009439432848012075,0.014733719799551181,0.022330089370370843,0.031996965291909873,0.04073880439682398,0.04994373030785937,0.06029541927273385,0.0688122424762696,0.0786993784859078,0.08583713237021584
21,9606.ENSP00000177694,0.0018704341782722622,0.003787424160691444,0.00533231848385185,0.0075314540627005044,0.009400042603374459,0.01103636259722407,0.01253120145338471,0.013932260539149866,0.015801361387275392,0.017530171709950082
22,9606.ENSP00000335094,0.0004086096141691087,0.0007736258276054286,0.001008293066661281,0.0013818319030178827,0.0017204721480084118,0.00203316409533727,0.0023809446265659062,0.002658785184394219,0.0030062900559642003,0.0032407453745690873
23,9606.ENSP00000474230,0.004892915443633683,0.009785481648577843,0.014919278371962719,0.019098629461950622,0.0231561601467547,0.028175140541861765,0.03127929731999757,0.03605596702254843,0.040113776238285936,0.04441058216616511
24,9606.ENSP00000322270,0.001633503481571097,0.0030929611893952824,0.004030764408526011,0.005524412452359684,0.006878838859847747,0.008129271507641533,0.009519490879029036,0.010629706783220172,0.012018516583339078,0.012955226204212522
25,9606.ENSP00000355657,0.012982037384063005,0.02026689623016864,0.030716028151800856,0.044016564439516515,0.056054844171740115,0.068724504992133,0.08298191995709203,0.09469795715995133,0.10832388009293936,0.11813801660900936
26,9606.ENSP00000382349,0.00037830331712029874,0.0007566747353848768,0.0011534877075973782,0.0014765342593818787,0.0017903250782183022,0.0021780172482976923,0.0024179002812161343,0.0027870575395354535,0.0031007698617031565,0.0034328800584262353
27,9606.ENSP00000255681,0.0010240893916488858,0.0015986444886948448,0.0024230074104707455,0.0034721018237178214,0.004421165256644599,0.005420124693046091,0.006543992441947921,0.007468136735042208,0.008541964041796746,0.009316257932368899
28,9606.ENSP00000383376,0.0008905622253223555,0.0013898379238526104,0.0021062878713564714,0.0030182028749550227,0.0038427961444540415,0.004711077430329169,0.005687175234925235,0.006490614272479434,0.007422972890708479,0.008096635961919674
29,9606.ENSP00000454623,0.0014471621834672987,0.002258564800285967,0.0034229135235364083,0.004904872566839913,0.0062450019431707915,0.007656020756257931,0.009242458909284323,0.010548109854426002,0.012063489579304587,0.013158112658857135
30,9606.ENSP00000355185,0.002794221531075891,0.0056684499941184185,0.00870104778005043,0.011335634451825172,0.014209204491635319,0.017083966435166076,0.020117256171943154,0.023149140164605342,0.026502237626118585,0.02969528412359068
31,9606.ENSP00000295082,0.0073220107587985694,0.011429957827203907,0.01732418659958057,0.02482369942299556,0.03160693544487003,0.038747717946534976,0.0467825567611726,0.05339101322169881,0.06106569395342376,0.06659993408538867
32,9606.ENSP00000484552,0.0005689157969754888,0.0011545870675035985,0.0017730561085045338,0.0023102384602680104,0.00289660743510467,0.0034818129333871184,0.004100709677004488,0.0047198552019835915,0.005403609768109163,0.006053226879885187
33,9606.ENSP00000320081,0.0004176119346084306,0.0008473737580061425,0.001301089058870275,0.0016951446050370578,0.0021252552678561187,0.0025548577768859104,0.003008768031577347,0.0034627321856532944,0.003964215353335021,0.0044412733432181994
34,9606.ENSP00000257626,9.49235270581994e-05,0.00019260378030594438,0.00029573090091616905,0.00038530380447809875,0.00048304323445336195,0.0005806883877994551,0.0006838565655016282,0.0007870576171171706,0.0009010480214328709,0.0010094785179717292
35,9606.ENSP00000358799,0.0028267045054235496,0.0044126169523224235,0.0066880935919471085,0.009583527404174674,0.01220267583266832,0.014959719490434509,0.0180620152677875,0.020613174805475865,0.023576599014631938,0.025713270391861442
36,9606.ENSP00000296591,0.00026715457079262706,0.0004169677122263238,0.0006319401709333761,0.0009055369655470713,0.0011529611238074722,0.0014134690136415884,0.0017064015278265288,0.0019474410719340085,0.0022272596147558943,0.002429308797673002
37,9606.ENSP00000412922,0.0014332147475215606,0.002902236727095442,0.004084278320078738,0.005768151087977458,0.007201436172181275,0.008455594128463417,0.00960215514714946,0.010677251728338888,0.012110638621379621,0.013436379409540677
38,9606.ENSP00000295448,0.0009553421714372234,0.0019345517994224792,0.002722331977565773,0.003844624345219927,0.004800225184226292,0.005636230422169319,0.006400690626833239,0.007117393617591006,0.008072950689893332,0.008956800993473735
39,9606.ENSP00000471191,0.004563519927614834,0.007123709227016661,0.010796921473229304,0.015471565864572767,0.019700588047271594,0.024152297868567985,0.02916065662429901,0.03327891611115774,0.03806400307803415,0.04151415674277814
40,9606.ENSP00000400646,0.0033605860808165744,0.005246144093689509,0.007951723491714802,0.011394143519282807,0.014507902626064606,0.01778539908991661,0.021473658685863484,0.024506935369572602,0.02803010078787338,0.030570257622457575
41,9606.ENSP00000264234,0.00022766937081541982,0.0004619857754732948,0.000709539339368348,0.0009244307507287886,0.0011590407757466892,0.001393201406699518,0.0016408242881880142,0.0018886429588746978,0.0021621429923470714,0.0024221216322075634
42,9606.ENSP00000415579,0.0036483058793237433,0.007445408788044006,0.010632313627866097,0.01502127073763404,0.01860809310892364,0.021808985140523873,0.0246820386237232,0.02736129787081154,0.030964040437538642,0.03429857395531144
43,9606.ENSP00000249284,5.107514630253718e-05,9.668322002198693e-05,0.00012597879447184823,0.0001726590649013815,0.00021496143949661928,0.000254017832048703,0.0002974916819766804,0.00033216928727597406,0.00037557002406174433,0.0004048310456710169
44,9606.ENSP00000254770,0.0010459695586177986,0.0020920148490404245,0.0031891333765088348,0.004082238323462661,0.00494974090179312,0.0060217159225430805,0.006685033498797566,0.007705715153861092,0.008573072058425169,0.009491424103543977
45,9606.ENSP00000382828,0.00020420453347469447,0.0003866746901621809,0.0005039731290708005,0.0006907668825988367,0.0008601867671131913,0.0010165692492591916,0.00119033387500167,0.0013293013039401558,0.0015030375834612641,0.0016203495156332792
46,9606.ENSP00000339692,0.000333857941768656,0.000667692401293607,0.0010178778320550919,0.0013029187275606091,0.0015797490805198322,0.001921867427881807,0.0021336178315323195,0.0024593820171503467,0.002736243640356406,0.0030294184489321196
47,9606.ENSP00000299155,0.00015585137794005277,0.00024324532296304824,0.00036864816752313345,0.0005282517354316951,0.0006725814989749779,0.0008245537835591676,0.000995424223219743,0.0011360267210420716,0.0012992439544632362,0.0014171163256833097
48,9606.ENSP00000414202,0.0022038417591829784,0.0034401682241878007,0.005214058528508758,0.007471457007341087,0.009513433207757771,0.011663027638860513,0.014081290952162817,0.016070047706307378,0.018380278605036438,0.020046477973664878
49,9606.ENSP00000249647,0.004541855050774757,0.00708904040948255,0.010744190352852456,0.015395865950267762,0.019601660053012893,0.02403022193175275,0.029009190358920023,0.03310650996718323,0.0378625645316788,0.0412980247856467
