protein,RW_target_10,RW_target_20,RW_target_30
9606.ENSP00000262306,0.0001898285554489,0.0001927044795593,0.0001927466510096
9606.ENSP00000338512,8.813232852844521e-06,8.698493729752954e-06,8.687777153681964e-06
9606.ENSP00000266987,5.696393418475054e-05,6.06238936597947e-05,6.0801718063885346e-05
9606.ENSP00000344729,1.1090089628851274e-06,1.0864470141314089e-06,1.085919620891218e-06
9606.ENSP00000379496,4.362328400020488e-05,4.20046599174384e-05,4.1817937017185614e-05
9606.ENSP00000395389,9.057759598363193e-06,7.653034117538482e-06,7.603600806760369e-06
9606.ENSP00000376445,3.995058432337828e-05,3.754966746782884e-05,3.7467863876372576e-05
9606.ENSP00000354163,6.67871108817053e-06,6.527670848299749e-06,6.516061148431618e-06
9606.ENSP00000280800,6.683637184323743e-05,6.469637446571141e-05,6.461579323513433e-05
9606.ENSP00000344724,3.2873638701858e-05,3.519265374052338e-05,3.528758679749444e-05
9606.ENSP00000438468,6.659475275228033e-06,5.987039457977517e-06,5.972920462227194e-06
9606.ENSP00000357122,0.0001838753669289,0.0001932596933329,0.0001938045752467
9606.ENSP00000480421,7.232841016957536e-05,7.687634933972731e-05,7.709039346082136e-05
9606.ENSP00000448680,3.252206852266682e-06,3.259966888435883e-06,3.2578759601165075e-06
9606.ENSP00000226105,2.1649013433489017e-05,2.224597665190231e-05,2.2260819605435245e-05
9606.ENSP00000286827,0.000161080082762,0.0001453574514016,0.0001444701483706
9606.ENSP00000415203,5.581495770456968e-06,4.9130494517157786e-06,4.8877723202167545e-06
9606.ENSP00000365048,4.193926724838093e-05,3.8141537515912205e-05,3.801282218773849e-05
9606.ENSP00000419923,3.271330933785066e-05,3.2033913157647476e-05,3.203323285561055e-05
9606.ENSP00000324557,5.959754503237491e-07,5.446137265607831e-07,5.430187570709677e-07
9606.ENSP00000234310,0.0002300633495906,0.000230551479035,0.0002302347129443
9606.ENSP00000177694,4.461590287974104e-05,4.659436672227457e-05,4.668880865210667e-05
9606.ENSP00000335094,1.0526869118621107e-05,8.746416824578773e-06,8.68961160449544e-06
9606.ENSP00000474230,0.0001329331134911,0.0001203414867632,0.0001194953802041
9606.ENSP00000322270,3.968922101194039e-05,3.489829759928398e-05,3.4754648368107155e-05
9606.ENSP00000355657,0.0002879380190279,0.0003154407895635,0.000316503457725
9606.ENSP00000382349,9.342691555502824e-06,9.245843102689832e-06,9.231127478415146e-06
9606.ENSP00000255681,2.475691871950403e-05,2.4960419978015125e-05,2.497510467946995e-05
9606.ENSP00000383376,2.9154380172258243e-05,2.195349043176975e-05,2.1728006686316803e-05
9606.ENSP00000454623,4.693181108450517e-05,3.563258724170737e-05,3.530568574205972e-05
9606.ENSP00000355185,7.256702519953251e-05,7.951855513965711e-05,7.980426016729325e-05
9606.ENSP00000295082,0.0001596789225004,0.0001778150181053,0.0001785970525816
9606.ENSP00000484552,1.881239040812943e-05,1.645552401896566e-05,1.6297011825372465e-05
9606.ENSP00000320081,1.2866138604294974e-05,1.1998955415037926e-05,1.19476944746566e-05
9606.ENSP00000257626,3.327751073811669e-06,2.7315577426634263e-06,2.715475375225651e-06
9606.ENSP00000358799,6.332258635666221e-05,6.868345371913165e-05,6.894155376357958e-05
9606.ENSP00000296591,7.82800907472847e-06,6.5559670474613085e-06,6.517161182273412e-06
9606.ENSP00000412922,3.560342884156853e-05,3.5823617508867756e-05,3.583406578400172e-05
9606.ENSP00000295448,2.3946951841935515e-05,2.3899987354525365e-05,2.3890384909464046e-05
9606.ENSP00000471191,0.0001068466008291,0.0001111386663978,0.0001112976533477
9606.ENSP00000400646,7.517023186665028e-05,8.163809252437204e-05,8.19685883470811e-05
9606.ENSP00000264234,9.22024355531903e-06,6.595762897632085e-06,6.51879145152634e-06
9606.ENSP00000415579,7.367653597611934e-05,8.801172953099012e-05,8.944399451138452e-05
9606.ENSP00000249284,1.143525537372625e-06,1.0943737152047106e-06,1.0863593615795253e-06
