,protein,heat_positive_0.2_0.1,heat_positive_0.2_0.2,heat_positive_0.2_0.3,heat_positive_0.2_0.4,heat_positive_0.2_0.5,heat_positive_0.2_0.6,heat_positive_0.2_0.7,heat_positive_0.2_0.8,heat_positive_0.2_0.9,heat_positive_0.2_1.0
0,9606.ENSP00000262306,0.002553614653152181,0.0051093219826725544,0.007177844587204163,0.01015898661898973,0.012697359399680863,0.014885385162415332,0.016800748468085658,0.018653460905625252,0.021212900581303984,0.023468741959732142
1,9606.ENSP00000338512,0.002540904941270128,0.0039482104743910895,0.0062735160804550105,0.008826025009966543,0.011880444087637443,0.014453280249199452,0.017198998966250656,0.019447940246664075,0.02203890348346249,0.02402841585671922
2,9606.ENSP00000266987,0.002630208746268181,0.005165224905795185,0.007846852464354015,0.01005717866064515,0.012245179146702867,0.014939945387595799,0.016569197408898617,0.019025880927074468,0.021129181992364465,0.023351392722361197
3,9606.ENSP00000344729,0.0008265923961516819,0.001625560838419915,0.002447964082193721,0.0031907968154882838,0.0039051667449712113,0.0047360867524730565,0.0052424715934193955,0.006193534782823917,0.006827511486108051,0.0075043839285626746
4,9606.ENSP00000379496,0.0022209555681911297,0.004549579032754991,0.006967004537727917,0.008988468658571946,0.011261296838711132,0.013365694861022348,0.015792985749612853,0.018198524613580958,0.020781877946319582,0.023311413112423907
5,9606.ENSP00000395389,0.0027238823058723938,0.005102532431919826,0.006627402355661616,0.00903535809720779,0.011252570730903244,0.013298807165483595,0.015542723793259938,0.017369740213325713,0.019585263522458263,0.02116926579765277
6,9606.ENSP00000376445,0.0022050180814403575,0.004520216927630827,0.0069170075348665705,0.008940993619034998,0.011232637915782107,0.013350428462217678,0.01572919741647638,0.018134298264158133,0.02070563408506132,0.02322082906994183
7,9606.ENSP00000354163,0.0017592653675819747,0.003728801693796413,0.005696608573998674,0.0073551017412682995,0.00919187140698341,0.010856879132461472,0.01284702175826169,0.01477944622411087,0.016843637003603362,0.018889607180881285
8,9606.ENSP00000280800,0.002219843907369068,0.004546159529127181,0.006960967391933082,0.008988448646050529,0.011261163366725668,0.013384832193878538,0.01577764747889887,0.018187481220593327,0.020784688589628786,0.023321221971855266
9,9606.ENSP00000344724,0.002608589576993836,0.005220238694164436,0.0073059941842075204,0.01034542083471024,0.012902121959996293,0.01512564219046908,0.017057785606084508,0.018929703770481865,0.021533577992158826,0.023846152558689937
10,9606.ENSP00000438468,0.001964437255082885,0.004113462913664989,0.006311595778242918,0.00811396666449582,0.010155094562833256,0.01203144855935534,0.014233135224458238,0.016371191780308436,0.018659259077139723,0.020973877845790412
11,9606.ENSP00000357122,0.0026337829367548693,0.005152724084837246,0.007811473156834836,0.010003184711422364,0.012175530843705928,0.014850518816274416,0.016465087851429416,0.01890225862553052,0.020996124989324016,0.023200045595331176
12,9606.ENSP00000480421,0.0026276511016476434,0.005158879819646245,0.007828590598364826,0.010032284085355059,0.012217860844430106,0.014905483779330098,0.016524007981388422,0.018974174643517472,0.021077689601952443,0.02328960961131088
13,9606.ENSP00000448680,0.0016859181414474733,0.003450621421507094,0.0052408303217816865,0.006726685442117741,0.008470273314742371,0.009988233092371956,0.0117941668131607,0.013490277665368922,0.015331190455981414,0.017202437154992367
14,9606.ENSP00000226105,0.0026094355453096796,0.005121477819557185,0.007759490155876847,0.009962835185433505,0.012161224774899893,0.014834294917818625,0.016442314913547307,0.018872157563237124,0.020949015559381223,0.023133091412091744
15,9606.ENSP00000286827,0.0026164900700678118,0.005128533071911079,0.0077823731353419134,0.009972113366529811,0.012142173130996525,0.01482627432778827,0.01643212035560282,0.01886139464841108,0.020951331660398864,0.023143320197959838
16,9606.ENSP00000415203,0.0031219061092997435,0.004932316896884004,0.006761967188140261,0.008402706448578101,0.010198126457453327,0.011852753458697407,0.013907762743201602,0.015807551166744815,0.018890198994540697,0.020809549919704295
17,9606.ENSP00000365048,0.0028518342078314163,0.005387286139011849,0.006989465913648019,0.009561205934005557,0.011939612944843248,0.014101753407885553,0.016561278308472538,0.01849285798471101,0.02084032912625844,0.022425133550314058
18,9606.ENSP00000419923,0.002562662800301041,0.003977608062996296,0.005968121609839727,0.008580985605476599,0.011008099906575808,0.013548839096074516,0.01638197381998907,0.018675077420084563,0.02141055011543358,0.02338266950482648
19,9606.ENSP00000324557,0.00036995181790189235,0.000800651647750783,0.0012274243756564829,0.0015738384486212453,0.0019591759956938404,0.002310843506279525,0.002728209176098062,0.0031191121266829214,0.003539791763728317,0.003979567702685927
20,9606.ENSP00000234310,0.0025946345940610627,0.00402251414834609,0.00605490841644496,0.008661174422741169,0.011078647556132637,0.013626922209368786,0.01644892062540748,0.018769581534797908,0.021467083659445052,0.023460986265490646
21,9606.ENSP00000177694,0.002645497450430412,0.005248323863270343,0.007352960210482706,0.010401146364529268,0.012964543277121265,0.015192604974799906,0.017121030312409857,0.018979069093802536,0.021582914804639586,0.023883530374405382
22,9606.ENSP00000335094,0.0028459565578486945,0.005065863978870766,0.006365370292314765,0.00840831273353615,0.010306031803793303,0.012168015909537644,0.014116526508587413,0.01572009456322121,0.01758711442744243,0.018878216637858714
23,9606.ENSP00000474230,0.002621036644995911,0.0051374593494983856,0.007791846725012874,0.009988881151002715,0.012164853878857684,0.01485287658397283,0.01646411703859485,0.01890339137025876,0.02099928849202115,0.023198221249003836
24,9606.ENSP00000322270,0.0028099029177610646,0.005385703504543926,0.0070333309604393435,0.00969037433333142,0.012196418684652599,0.014405969819563325,0.016971135264611803,0.018922024150015204,0.021311183973011794,0.02290950208043796
25,9606.ENSP00000355657,0.002600185877781769,0.00402973709969956,0.006060374162188964,0.0086815301237948,0.01110628016431292,0.01366491159387806,0.016501835159942857,0.01882898696567281,0.021543515536905034,0.023539047324447893
26,9606.ENSP00000382349,0.0025504400582576636,0.004992193973521353,0.007558890548352792,0.009700005096419773,0.011844417186694045,0.0144290312209705,0.016032406107115094,0.018386660296528134,0.020381953574542422,0.02249646463587851
