protein,shortest_path_length,label
9606.ENSP00000391488,-3,0.0
9606.ENSP00000361748,-4,0.0
9606.ENSP00000356641,-3,0.0
9606.ENSP00000417581,-3,0.0
9606.ENSP00000365006,-2,0.0
9606.ENSP00000370648,-3,1.0
9606.ENSP00000380488,-3,0.0
9606.ENSP00000226951,-3,0.0
9606.ENSP00000340088,-4,0.0
9606.ENSP00000325785,-3,0.0
9606.ENSP00000479207,-6,0.0
9606.ENSP00000342681,-6,0.0
9606.ENSP00000425864,-3,0.0
9606.ENSP00000367797,-3,0.0
9606.ENSP00000310596,-3,0.0
9606.ENSP00000366617,-3,0.0
9606.ENSP00000347043,-3,0.0
9606.ENSP00000442982,-3,0.0
9606.ENSP00000263918,-3,0.0
9606.ENSP00000298097,-3,0.0
9606.ENSP00000435550,-3,0.0
9606.ENSP00000428544,-3,0.0
9606.ENSP00000348538,-3,0.0
9606.ENSP00000360200,-3,0.0
9606.ENSP00000288022,-3,0.0
9606.ENSP00000257515,-6,0.0
9606.ENSP00000381823,-3,0.0
9606.ENSP00000310149,-3,0.0
9606.ENSP00000353874,-3,0.0
9606.ENSP00000349296,-3,0.0
9606.ENSP00000327145,-3,0.0
9606.ENSP00000398837,-2,0.0
9606.ENSP00000474003,-4,0.0
9606.ENSP00000321326,-3,0.0
9606.ENSP00000356814,-2,0.0
9606.ENSP00000284154,-3,0.0
9606.ENSP00000370343,-3,0.0
9606.ENSP00000352606,-3,0.0
9606.ENSP00000365266,-4,0.0
9606.ENSP00000334148,-3,0.0
9606.ENSP00000367406,-3,1.0
9606.ENSP00000256644,-3,0.0
9606.ENSP00000402154,-3,1.0
9606.ENSP00000267082,-3,0.0
9606.ENSP00000354742,-3,1.0
9606.ENSP00000269097,-3,0.0
9606.ENSP00000366243,-3,0.0
9606.ENSP00000484252,-4,0.0
9606.ENSP00000317289,-3,0.0
9606.ENSP00000269289,-3,0.0
9606.ENSP00000360869,-3,0.0
9606.ENSP00000263401,-3,0.0
9606.ENSP00000399808,-3,0.0
9606.ENSP00000483254,-3,0.0
9606.ENSP00000405405,-3,0.0
9606.ENSP00000351284,-3,0.0
9606.ENSP00000382957,-3,0.0
9606.ENSP00000262626,-3,0.0
9606.ENSP00000255613,-3,0.0
9606.ENSP00000363999,-3,0.0
9606.ENSP00000284274,-3,0.0
9606.ENSP00000339449,-3,0.0
9606.ENSP00000216211,-3,0.0
9606.ENSP00000246551,-3,0.0
9606.ENSP00000222753,-3,0.0
9606.ENSP00000278601,-3,0.0
9606.ENSP00000478320,-3,0.0
9606.ENSP00000397082,-6,0.0
9606.ENSP00000229379,-3,0.0
9606.ENSP00000332576,-3,0.0
9606.ENSP00000222726,-3,0.0
9606.ENSP00000347755,-3,0.0
9606.ENSP00000378306,-3,0.0
9606.ENSP00000324510,-3,0.0
9606.ENSP00000301071,-3,0.0
9606.ENSP00000377840,-3,0.0
