protein,RWR_positive_0.6_0.1,RWR_positive_0.6_0.2,RWR_positive_0.6_0.3,RWR_positive_0.6_0.4,RWR_positive_0.6_0.5,RWR_positive_0.6_0.6,RWR_positive_0.6_0.7,RWR_positive_0.6_0.8,RWR_positive_0.6_0.9,RWR_positive_0.6_1.0,Target,label
9606.ENSP00000372191,0.001119378226431,0.0011254627904125,0.0011712493658255,0.0012093310296557,0.0012093310296557,0.0012161265634168,0.0012161265634168,0.0013388216535971,0.0013388216535971,0.0013388216535971,9606.ENSP00000264932,0
9606.ENSP00000325562,2.0965797480640457e-05,7.774194694068757e-05,8.686068633406063e-05,0.0001012997151571,0.0001012997151571,0.00010316824628,0.00010316824628,0.0001673765078775,0.0001673765078775,0.0001673765078775,9606.ENSP00000264932,0
9606.ENSP00000363419,8.730257303115329e-07,1.4172375824271891e-06,1.883903546423398e-06,4.653299158339216e-06,4.653299158339216e-06,4.741902066037881e-06,4.741902066037881e-06,6.468656909910021e-06,6.468656909910021e-06,6.468656909910021e-06,9606.ENSP00000264932,0
9606.ENSP00000310547,6.617234593516772e-05,0.0001293020208571,0.0001365334030284,0.0001419639975231,0.0001419639975231,0.0001428556456374,0.0001428556456374,0.0002604358137121,0.0002604358137121,0.0002604358137121,9606.ENSP00000264932,0
9606.ENSP00000292147,2.1690898379057805e-05,2.3724555986883684e-05,5.777925607808257e-05,0.0002259274433335,0.0002259274433335,0.0002275760667175,0.0002275760667175,0.0002738525528874,0.0002738525528874,0.0002738525528874,9606.ENSP00000264932,0
9606.ENSP00000379563,2.528322315433536e-05,5.354754591726277e-05,8.486860603241201e-05,0.000126007597355,0.000126007597355,0.0001291798553671,0.0001291798553671,0.0001670920641228,0.0001670920641228,0.0001670920641228,9606.ENSP00000264932,0
9606.ENSP00000407560,5.268670781554924e-07,6.207514092700589e-07,8.751884343495884e-07,1.0799166880014277e-06,1.0799166880014277e-06,1.1978215208114723e-06,1.1978215208114723e-06,3.111864859673396e-06,3.111864859673396e-06,3.111864859673396e-06,9606.ENSP00000264932,0
9606.ENSP00000360541,4.625817997274468e-05,7.528467168048726e-05,0.0001423789684369,0.0001840199202692,0.0001840199202692,0.000186946131595,0.000186946131595,0.0003044934064393,0.0003044934064393,0.0003044934064393,9606.ENSP00000264932,0
9606.ENSP00000263774,0.0077717220547132,0.0083211637773508,0.0084824912316161,0.0131869752425532,0.0131869752425532,0.0132773872115639,0.0132773872115639,0.0159661839715229,0.0159661839715229,0.0159661839715229,9606.ENSP00000264932,0
9606.ENSP00000357535,9.973300174950025e-05,0.0001595409054414,0.0002280070554325,0.0003777061776551,0.0003777061776551,0.0003853339481784,0.0003853339481784,0.0007077670797895,0.0007077670797895,0.0007077670797895,9606.ENSP00000264932,0
