protein,RW_target_10,RW_target_20,RW_target_30,Target,label
9606.ENSP00000372191,8.591088408138603e-05,8.024163980735466e-05,8.011522004380822e-05,9606.ENSP00000264932,0
9606.ENSP00000325562,4.344584158388898e-05,3.579634358175099e-05,3.561012272257358e-05,9606.ENSP00000264932,0
9606.ENSP00000363419,3.6147848732071e-06,3.4285806123079965e-06,3.4237364161526784e-06,9606.ENSP00000264932,0
9606.ENSP00000310547,2.168534047086723e-05,1.856606650108006e-05,1.848945612437092e-05,9606.ENSP00000264932,0
9606.ENSP00000292147,3.0055771276238374e-05,2.745244637480937e-05,2.7390336981625296e-05,9606.ENSP00000264932,0
9606.ENSP00000379563,4.420671029947698e-05,3.982586713391356e-05,3.971662954427302e-05,9606.ENSP00000264932,0
9606.ENSP00000407560,2.7369715098757297e-06,2.739166347964783e-06,2.738894863796304e-06,9606.ENSP00000264932,0
9606.ENSP00000360541,6.136364390840754e-05,5.093180516269058e-05,5.067589518148452e-05,9606.ENSP00000264932,0
9606.ENSP00000263774,0.0002916484081652,0.000201485454454,0.0001993091282201,9606.ENSP00000264932,0
9606.ENSP00000357535,0.0002240470494143,0.0002119109849445,0.0002115874085575,9606.ENSP00000264932,0
9606.ENSP00000346173,0.000140160540468,0.0001243336155312,0.0001239448756678,9606.ENSP00000264932,0
9606.ENSP00000346255,0.0001496705808676,0.0001479665370425,0.000147902246681,9606.ENSP00000264932,0
9606.ENSP00000371586,1.92693969438551e-05,1.8513335817260668e-05,1.848812280513812e-05,9606.ENSP00000264932,0
9606.ENSP00000322316,3.617672700784169e-05,2.9606017051264644e-05,2.9447022825479507e-05,9606.ENSP00000264932,0
9606.ENSP00000258080,8.735592564335093e-05,8.296093437820673e-05,8.285413059638813e-05,9606.ENSP00000264932,0
9606.ENSP00000320043,2.6161918867728673e-05,2.469569517415948e-05,2.4651157218613665e-05,9606.ENSP00000264932,0
9606.ENSP00000384867,2.2547510525328107e-05,1.925912692968268e-05,1.917430199682713e-05,9606.ENSP00000264932,0
9606.ENSP00000366939,1.2129310562158936e-05,1.0983197171299253e-05,1.0956174264720175e-05,9606.ENSP00000264932,0
9606.ENSP00000355467,2.6250339942635037e-05,2.4689688871148977e-05,2.465096440573689e-05,9606.ENSP00000264932,0
9606.ENSP00000341213,1.1113560503872575e-05,8.955564226198476e-06,8.902725312509574e-06,9606.ENSP00000264932,0
9606.ENSP00000308515,2.1996449504513297e-05,2.058028076135088e-05,2.054259857686702e-05,9606.ENSP00000264932,0
9606.ENSP00000264451,1.3277765901875682e-05,1.2348922609817237e-05,1.232555769092869e-05,9606.ENSP00000264932,0
9606.ENSP00000260953,7.039793217700208e-06,6.851771104265936e-06,6.847315944469301e-06,9606.ENSP00000264932,0
9606.ENSP00000418008,0.0001154803903773,0.0001117380670621,0.0001116126441047,9606.ENSP00000264932,0
9606.ENSP00000371607,2.392159694863949e-05,2.263441638206132e-05,2.259684697492048e-05,9606.ENSP00000264932,0
9606.ENSP00000401980,0.0001232633076142,0.0001199100224766,0.0001198281097458,9606.ENSP00000264932,0
9606.ENSP00000328570,7.59836912038736e-05,7.065065437927842e-05,7.05290149198845e-05,9606.ENSP00000264932,0
9606.ENSP00000359675,6.119380122981966e-05,6.097303776186891e-05,6.0941743868170306e-05,9606.ENSP00000264932,0
9606.ENSP00000308610,6.353323988150805e-05,5.165462789591402e-05,5.136163599672727e-05,9606.ENSP00000264932,0
9606.ENSP00000085068,7.176359213190153e-05,6.655147444689646e-05,6.642123480560258e-05,9606.ENSP00000264932,0
9606.ENSP00000389903,1.1358977644704282e-05,1.0965619367198087e-05,1.0955741345242132e-05,9606.ENSP00000264932,0
9606.ENSP00000245816,3.019574978679884e-05,2.612060052342713e-05,2.6021842131740417e-05,9606.ENSP00000264932,1
9606.ENSP00000238379,3.9834932977100834e-05,3.771458432311192e-05,3.766094596358016e-05,9606.ENSP00000264932,0
9606.ENSP00000310873,3.954561179853045e-05,3.1024461350170895e-05,3.081767135881819e-05,9606.ENSP00000264932,0
9606.ENSP00000428263,4.546333457255969e-06,4.119376626476878e-06,4.108616394660203e-06,9606.ENSP00000264932,0
9606.ENSP00000288111,5.397891436587088e-05,4.807921141036786e-05,4.793435437022709e-05,9606.ENSP00000264932,0
9606.ENSP00000216254,0.0002874610363505,0.0002461707335896,0.0002451562322676,9606.ENSP00000264932,0
9606.ENSP00000387262,0.0002014502533711,0.0001766052300808,0.0001759886363288,9606.ENSP00000264932,0
9606.ENSP00000368318,3.439898500801064e-05,3.290540189482272e-05,3.286748687969521e-05,9606.ENSP00000264932,0
9606.ENSP00000273986,7.293932867469266e-05,5.1878028898499906e-05,5.136725303600542e-05,9606.ENSP00000264932,0
9606.ENSP00000264093,0.000172661821125,0.0001070756479748,0.0001054873937391,9606.ENSP00000264932,1
9606.ENSP00000315118,4.635109144146554e-05,3.720286986208521e-05,3.698066939250566e-05,9606.ENSP00000264932,0
9606.ENSP00000264193,5.2051767852390185e-05,5.069491089670919e-05,5.06697797391098e-05,9606.ENSP00000264932,0
9606.ENSP00000302037,2.3915383280836977e-05,2.1963014660286717e-05,2.1912355805397965e-05,9606.ENSP00000264932,0
9606.ENSP00000301329,5.4235253628576174e-05,5.2095485443715006e-05,5.204061380936764e-05,9606.ENSP00000264932,0
9606.ENSP00000481127,3.388196773812524e-06,3.4220390716654947e-06,3.4235383736813674e-06,9606.ENSP00000264932,0
9606.ENSP00000273968,6.4870837377384305e-06,6.176265287649585e-06,6.162936642795103e-06,9606.ENSP00000264932,0
9606.ENSP00000267103,3.792786810663529e-05,3.633320739027113e-05,3.6291516153141856e-05,9606.ENSP00000264932,0
9606.ENSP00000351214,3.9695107261650264e-05,3.236262273276225e-05,3.2186173484660685e-05,9606.ENSP00000264932,0
9606.ENSP00000263702,3.4643770050024614e-05,3.2909520086832345e-05,3.2867585105123e-05,9606.ENSP00000264932,1
9606.ENSP00000403987,1.974372935364954e-06,2.0517059056146536e-06,2.0540785499179037e-06,9606.ENSP00000264932,0
9606.ENSP00000406933,1.7203317838720977e-05,1.578280352987349e-05,1.574944326421246e-05,9606.ENSP00000264932,0
9606.ENSP00000317177,1.6443389540654607e-05,1.576706563355401e-05,1.5749114027130418e-05,9606.ENSP00000264932,0
9606.ENSP00000441065,3.888440187438391e-05,3.5020115319639444e-05,3.4923221392091364e-05,9606.ENSP00000264932,0
9606.ENSP00000360268,0.0001048721460392,0.0001040860079228,0.000104077735159,9606.ENSP00000264932,0
9606.ENSP00000288532,4.246384560246952e-05,3.510800524963997e-05,3.492545511107892e-05,9606.ENSP00000264932,0
9606.ENSP00000429168,1.159118164650863e-05,8.966922905528918e-06,8.903004527383018e-06,9606.ENSP00000264932,0
