protein,heat_positive_0.2_0.1,heat_positive_0.2_0.2,heat_positive_0.2_0.3,heat_positive_0.2_0.4,heat_positive_0.2_0.5,heat_positive_0.2_0.6,heat_positive_0.2_0.7,heat_positive_0.2_0.8,heat_positive_0.2_0.9,heat_positive_0.2_1.0,Target,label
9606.ENSP00000372191,0.0001628365425858,0.000321757630445,0.0002398756769252,0.0004033414807054,0.0005668176600011,0.0005668176600011,0.0007320250369957,0.0007320250369957,0.0007320250369957,0.0008960849736467,9606.ENSP00000264932,0
9606.ENSP00000325562,0.0001672512298682,0.0003288944644737,0.0002467028461978,0.0004015865852124,0.0005879803575226,0.0005879803575226,0.0007517973062931,0.0007517973062931,0.0007517973062931,0.000921011014725,9606.ENSP00000264932,0
9606.ENSP00000363419,0.0001101771958929,0.0001855735208664,0.000147433962411,0.0002223435167252,0.0003066440749535,0.0003066440749535,0.0003975827621616,0.0003975827621616,0.0003975827621616,0.0005053118929936,9606.ENSP00000264932,0
9606.ENSP00000310547,0.0001752006137394,0.0003429480857448,0.0002548195552662,0.0004695062380051,0.0007040529962978,0.0007040529962978,0.0008826115154079,0.0008826115154079,0.0008826115154079,0.0010603261616779,9606.ENSP00000264932,0
9606.ENSP00000292147,0.0001669952398515,0.0003286137216491,0.0002412647081655,0.0004442721401574,0.0006053854012861,0.0006053854012861,0.0007685090022278,0.0007685090022278,0.0007685090022278,0.0009396600798936,9606.ENSP00000264932,0
9606.ENSP00000379563,0.0001610316394362,0.0003207156114513,0.0002426630016998,0.0003961548572988,0.0005594393587671,0.0005594393587671,0.0007205017100204,0.0007205017100204,0.0007205017100204,0.0008807617050479,9606.ENSP00000264932,0
9606.ENSP00000407560,8.788708873908035e-05,0.0001539444747322,0.0001198404570459,0.0002122106452588,0.0002819124820234,0.0002819124820234,0.0003616331450757,0.0003616331450757,0.0003616331450757,0.0004400752404762,9606.ENSP00000264932,0
9606.ENSP00000360541,0.0001642012939555,0.0003361009512445,0.0002515301530365,0.0004321529704611,0.0006103648993303,0.0006103648993303,0.0007738155909464,0.0007738155909464,0.0007738155909464,0.0009423698647879,9606.ENSP00000264932,0
9606.ENSP00000263774,0.0001675232124398,0.0003370027261553,0.0002506297387299,0.0004388234956422,0.0006454562826547,0.0006454562826547,0.0008137364711728,0.0008137364711728,0.0008137364711728,0.0009858723642537,9606.ENSP00000264932,0
9606.ENSP00000357535,0.0001628927566343,0.000322655236232,0.0002408140644547,0.0004112389869987,0.000579271960305,0.000579271960305,0.0007414677966153,0.0007414677966153,0.0007414677966153,0.0009050451699295,9606.ENSP00000264932,0
9606.ENSP00000346173,0.0001635972366784,0.0003658472996903,0.0002436985669191,0.000420948039391,0.0005925256846239,0.0005925256846239,0.000757626563427,0.000757626563427,0.000757626563427,0.0009624645244912,9606.ENSP00000264932,0
9606.ENSP00000346255,0.000161829899298,0.0003172267897753,0.0002386353444308,0.0004053408047184,0.0005677328663296,0.0005677328663296,0.0007289511268027,0.0007289511268027,0.0007289511268027,0.0008886364739737,9606.ENSP00000264932,0
9606.ENSP00000371586,0.0001561570752528,0.000353728995833,0.0002333712545805,0.0003951101389247,0.0005503132560988,0.0005503132560988,0.0007004521903581,0.0007004521903581,0.0007004521903581,0.000900555482076,9606.ENSP00000264932,0
9606.ENSP00000322316,0.0001786263164831,0.0003615164678194,0.0002707275780267,0.0004733280075015,0.0006785402292734,0.0006785402292734,0.0008476478542434,0.0008476478542434,0.0008476478542434,0.0010258710681227,9606.ENSP00000264932,0
9606.ENSP00000258080,0.0001595741996425,0.0005425664203357,0.0002355658871238,0.0003855244358419,0.0005441503672045,0.0005441503672045,0.000704387697624,0.000704387697624,0.000704387697624,0.0010918702027993,9606.ENSP00000264932,0
9606.ENSP00000320043,0.0001585085847182,0.00034652150498,0.0002295545345987,0.000374912895495,0.0005822407038067,0.0005822407038067,0.0007361996395047,0.0007361996395047,0.0007361996395047,0.0009336207367596,9606.ENSP00000264932,0
9606.ENSP00000384867,0.0001761215171427,0.0003415903411223,0.0002514922452974,0.0005594010071945,0.0007506545589421,0.0007506545589421,0.0009192775469273,0.0009192775469273,0.0009192775469273,0.0011031694884877,9606.ENSP00000264932,0
9606.ENSP00000366939,0.000179925635166,0.0003094303538091,0.000240181099798,0.000376279134798,0.0005986208016111,0.0005986208016111,0.0007765901791572,0.0007765901791572,0.0007765901791572,0.0009298555632994,9606.ENSP00000264932,0
9606.ENSP00000355467,0.0001599602401256,0.0003577763563953,0.000274322606856,0.0004193477361695,0.0005788906346424,0.0005788906346424,0.0007350893720285,0.0007350893720285,0.0007350893720285,0.0008996571341413,9606.ENSP00000264932,0
9606.ENSP00000341213,0.0001659888948779,0.0003481860840111,0.0002821299785864,0.0004165582868154,0.000606591675023,0.000606591675023,0.0007527343186666,0.0007527343186666,0.0007527343186666,0.000923262690776,9606.ENSP00000264932,0
9606.ENSP00000308515,0.0001570675085531,0.0003187371476087,0.0002463517084834,0.0003868447965942,0.0005390365113271,0.0005390365113271,0.0006925982743268,0.0006925982743268,0.0006925982743268,0.0008460992830805,9606.ENSP00000264932,0
9606.ENSP00000264451,0.0001640560221858,0.0003160720152663,0.0002455761932651,0.0003946620345232,0.0005446853101602,0.0005446853101602,0.0007064870369504,0.0007064870369504,0.0007064870369504,0.000864413275849,9606.ENSP00000264932,0
9606.ENSP00000260953,0.0001632987768971,0.0002767145488178,0.0002191185303672,0.000449144430604,0.0005745380040025,0.0005745380040025,0.0007055011919874,0.0007055011919874,0.0007055011919874,0.0008368064227397,9606.ENSP00000264932,0
9606.ENSP00000418008,0.0001645387455937,0.0002554306774982,0.0003392638172954,0.0003392638172954,0.0005928591708652,0.0006751673863618,0.0007554985713795,0.0007554985713795,0.0008325299131684,0.0009282988321501,9606.ENSP00000264932,0
9606.ENSP00000371607,0.0001545438935863,0.0002267382878926,0.0003106045842287,0.0003106045842287,0.000379429286113,0.0004571433455566,0.0005262568738544,0.0005262568738544,0.0005914572175242,0.0006540825997944,9606.ENSP00000264932,0
9606.ENSP00000401980,0.0001615839864825,0.0002406895509921,0.000318898455589,0.000318898455589,0.0003990197437815,0.0004806477591046,0.0005601689917966,0.0005601689917966,0.0006386459499481,0.0007061279757181,9606.ENSP00000264932,0
9606.ENSP00000328570,0.0001643599171075,0.0002486895391484,0.0003326679798192,0.0003326679798192,0.0004159578020335,0.0004982156751793,0.0005773529555881,0.0005773529555881,0.0006567939126398,0.0007344103214563,9606.ENSP00000264932,0
9606.ENSP00000359675,0.0001599243769305,0.0002369787034695,0.0003125542571069,0.0003125542571069,0.0003889303188771,0.0004696709365816,0.0005598124771495,0.0005598124771495,0.0006413292212528,0.0007105854965629,9606.ENSP00000264932,0
9606.ENSP00000308610,0.0001649929472478,0.0002470225590514,0.0003278350704931,0.0003278350704931,0.0004216003435431,0.0005088605175842,0.0005880472090211,0.0005880472090211,0.0006719215234625,0.0007454323858837,9606.ENSP00000264932,0
9606.ENSP00000085068,0.0001628760946914,0.0002469812170602,0.0003288056468591,0.0003288056468591,0.0004083183666807,0.0004914131277473,0.0005700233014067,0.0005700233014067,0.0006466331542469,0.0007316496339626,9606.ENSP00000264932,0
9606.ENSP00000389903,0.0001513801325927,0.000218008783122,0.0002825234259944,0.0002825234259944,0.0003768582100747,0.0004568839940475,0.0005303643411025,0.0005303643411025,0.0005926624507992,0.0006461559860326,9606.ENSP00000264932,0
9606.ENSP00000245816,0.0001683716109255,0.0002558804262662,0.0003430465367273,0.0003430465367273,0.0004382264232845,0.0005221101091592,0.0006018571802997,0.0006018571802997,0.000678946104017,0.0007633320055902,9606.ENSP00000264932,1
9606.ENSP00000238379,0.0001637421810301,0.0002954572119051,0.0003788293179241,0.0003788293179241,0.0004577972649713,0.0005418831788119,0.0006205533572938,0.0006205533572938,0.0006967115405132,0.0007733379825367,9606.ENSP00000264932,0
9606.ENSP00000310873,0.0001715831967885,0.0002829831064445,0.0003762218620977,0.0003762218620977,0.0004747899947687,0.0005592867019004,0.000638180754322,0.000638180754322,0.0007210034600575,0.0009126433797064,9606.ENSP00000264932,0
9606.ENSP00000428263,0.0001538433789392,0.0002163754033972,0.0002650760688993,0.0002650760688993,0.0003222298073524,0.0003793617397604,0.0004261510221112,0.0004261510221112,0.0004700530407717,0.000538391424925,9606.ENSP00000264932,0
9606.ENSP00000288111,0.0001641274866415,0.0002594360412331,0.0003423974121687,0.0003423974121687,0.0004219327820464,0.0005058757014921,0.0005848371001775,0.0005848371001775,0.0006620996282435,0.0008408598368987,9606.ENSP00000264932,0
9606.ENSP00000216254,0.000164079676324,0.0002528147670091,0.0003366287564858,0.0003366287564858,0.0004203720527584,0.000502939823491,0.0005824046820634,0.0005824046820634,0.0006622756045544,0.0007534467295045,9606.ENSP00000264932,0
9606.ENSP00000387262,0.0001662146314629,0.0002473355270922,0.0003293138652225,0.0003293138652225,0.0004158733572694,0.000497675173392,0.0005765056703239,0.0005765056703239,0.0006567786767845,0.0007312988163903,9606.ENSP00000264932,0
9606.ENSP00000368318,0.0001651183265494,0.0002469663741067,0.000326667970512,0.000326667970512,0.0004064327004016,0.0004944769534631,0.0005738240797654,0.0005738240797654,0.0006516603680211,0.0007425189032801,9606.ENSP00000264932,0
9606.ENSP00000273986,0.0001662751019466,0.0002525486779632,0.0003371272541698,0.0003371272541698,0.0004302099332562,0.0005143012240296,0.0005936999004916,0.0005936999004916,0.0007151895188144,0.0008011161407921,9606.ENSP00000264932,0
9606.ENSP00000264093,0.0001720449654385,0.0002578900530352,0.0003425609393161,0.0003425609393161,0.0004325968911871,0.0005156680417712,0.0005971439895802,0.0005971439895802,0.0006824973825132,0.0007688715704716,9606.ENSP00000264932,1
9606.ENSP00000315118,0.0001686100149527,0.0002687059532036,0.0003557288655429,0.0003557288655429,0.0004579120068228,0.0005413787876022,0.0006196837493916,0.0006196837493916,0.0007096523331711,0.0007926877078716,9606.ENSP00000264932,0
9606.ENSP00000264193,0.0001623437929083,0.0002424530393909,0.0003233290408388,0.0003233290408388,0.0004067990230396,0.0004894803569186,0.0005688929522875,0.0005688929522875,0.00071357221168,0.0007832377232261,9606.ENSP00000264932,0
9606.ENSP00000302037,0.000159932358656,0.0002351527509745,0.0003082075927522,0.0003082075927522,0.0003880240765283,0.000469429338409,0.0005440271197585,0.0005440271197585,0.0006341979533317,0.0006968712405068,9606.ENSP00000264932,0
9606.ENSP00000301329,0.0001645184966037,0.0002480251569068,0.0003279230586485,0.0003279230586485,0.0004068669659318,0.0005009837768739,0.0005800994476885,0.0005800994476885,0.0006576864616363,0.0007304895043489,9606.ENSP00000264932,0
9606.ENSP00000481127,0.0001015161251416,0.0001419982290826,0.0001823068414523,0.0001823068414523,0.0002241345609945,0.0002745186902757,0.0003213812778994,0.0003213812778994,0.0003642154624685,0.0003950062491639,9606.ENSP00000264932,0
9606.ENSP00000273968,4.921978325000964e-05,4.921978325000964e-05,4.921978325000964e-05,0.0001371892321913,0.0001745465269777,0.0001745465269777,0.0002596894155431,0.0002596894155431,0.0002927188688772,0.0003800444283115,9606.ENSP00000264932,0
9606.ENSP00000267103,8.135188545566052e-05,8.135188545566052e-05,8.135188545566052e-05,0.0002380159421591,0.0003155356025672,0.0003155356025672,0.0004756567141157,0.0004756567141157,0.0005583070014836,0.0007119382862583,9606.ENSP00000264932,0
9606.ENSP00000351214,8.4773259004578e-05,8.4773259004578e-05,8.4773259004578e-05,0.0002526166135794,0.0003631568688433,0.0003631568688433,0.0005278709504636,0.0005278709504636,0.0006109329406172,0.0007650431653019,9606.ENSP00000264932,0
9606.ENSP00000263702,8.23249138193205e-05,8.23249138193205e-05,8.23249138193205e-05,0.0002433284753351,0.000324020111293,0.000324020111293,0.0004881908826064,0.0004881908826064,0.0005676311484421,0.0007218967439257,9606.ENSP00000264932,1
9606.ENSP00000403987,3.722116889548488e-05,3.722116889548488e-05,3.722116889548488e-05,9.479492473474238e-05,0.0001240846686414,0.0001240846686414,0.0001899918279377,0.0001899918279377,0.0002156326536351,0.0002752756008703,9606.ENSP00000264932,0
9606.ENSP00000406933,8.453516056761146e-05,8.453516056761146e-05,8.453516056761146e-05,0.0002693626884138,0.0003606042810133,0.0003606042810133,0.0005306123348418,0.0005306123348418,0.0010572508617769,0.0012306363132665,9606.ENSP00000264932,0
9606.ENSP00000317177,7.848889799788594e-05,7.848889799788594e-05,7.848889799788594e-05,0.0002272522469866,0.0003108948149019,0.0003108948149019,0.0004605151771102,0.0004605151771102,0.0005276223964756,0.0006628696355619,9606.ENSP00000264932,0
9606.ENSP00000441065,8.167243504431099e-05,8.167243504431099e-05,8.167243504431099e-05,0.0002566588373156,0.0003430740325711,0.0003430740325711,0.0005043117780587,0.0005043117780587,0.0005825610933243,0.0007365233032032,9606.ENSP00000264932,0
9606.ENSP00000360268,8.095409430097789e-05,8.095409430097789e-05,8.095409430097789e-05,0.0002412645553704,0.0003211220391676,0.0003211220391676,0.0004832996273762,0.0004832996273762,0.0005640976378344,0.0007163343616412,9606.ENSP00000264932,0
9606.ENSP00000288532,8.692785922903568e-05,8.692785922903568e-05,8.692785922903568e-05,0.000265956216026,0.0003568995452951,0.0003568995452951,0.0005233899209997,0.0005233899209997,0.0006086257781134,0.0008512912172591,9606.ENSP00000264932,0
9606.ENSP00000429168,9.479876462137328e-05,9.479876462137328e-05,9.479876462137328e-05,0.0002806641423376,0.0003592176144593,0.0003592176144593,0.0005120291243656,0.0005120291243656,0.0006246234988793,0.0007649525723536,9606.ENSP00000264932,0
9606.ENSP00000238561,8.87640708242543e-05,8.87640708242543e-05,8.87640708242543e-05,0.0002631507668411,0.0003779206890612,0.0003779206890612,0.0005570538341999,0.0005570538341999,0.000643653809675,0.0008397926430916,9606.ENSP00000264932,0
9606.ENSP00000386543,8.578981214668602e-05,8.578981214668602e-05,8.578981214668602e-05,0.000239867986238,0.0003175607562297,0.0003175607562297,0.0004772258253069,0.0004772258253069,0.0005534521769732,0.0009612352369003,9606.ENSP00000264932,1
9606.ENSP00000317379,8.261704351752996e-05,8.261704351752996e-05,8.261704351752996e-05,0.0002547641779528,0.0003420795401325,0.0003420795401325,0.0005087528770673,0.0005087528770673,0.0005931502091698,0.0007587044383399,9606.ENSP00000264932,0
9606.ENSP00000355741,8.18425469333306e-05,8.18425469333306e-05,8.18425469333306e-05,0.0002512300561647,0.0003435935141169,0.0003435935141169,0.0005068024183856,0.0005068024183856,0.0005920036710449,0.0007540551887359,9606.ENSP00000264932,0
9606.ENSP00000327070,8.187375351553783e-05,8.187375351553783e-05,8.187375351553783e-05,0.0002445405189064,0.0003269510125392,0.0003269510125392,0.0004896516766166,0.0004896516766166,0.0005726754170609,0.0007366267600446,9606.ENSP00000264932,0
9606.ENSP00000469981,7.777759310556576e-05,7.777759310556576e-05,7.777759310556576e-05,0.0002249595709145,0.0003042878306587,0.0003042878306587,0.0004538389548542,0.0004538389548542,0.0005430596866062,0.0006764692516298,9606.ENSP00000264932,0
9606.ENSP00000337358,8.546130993636325e-05,8.546130993636325e-05,8.546130993636325e-05,0.0002490239130565,0.0003345852674101,0.0003345852674101,0.0005000130622647,0.0005000130622647,0.0006078008009353,0.0007627658123965,9606.ENSP00000264932,0
9606.ENSP00000370882,8.307248936034739e-05,8.307248936034739e-05,8.307248936034739e-05,0.0002579936626716,0.0003560020850272,0.0003560020850272,0.0005193379329284,0.0005193379329284,0.0006035997357685,0.000778169487603,9606.ENSP00000264932,0
9606.ENSP00000354415,8.044628339121118e-05,8.044628339121118e-05,8.044628339121118e-05,0.0002484955402906,0.0003278531876276,0.0003278531876276,0.0004845935764024,0.0004845935764024,0.0005602943128906,0.0007065510289976,9606.ENSP00000264932,0
9606.ENSP00000037869,8.610139775555581e-05,8.610139775555581e-05,8.610139775555581e-05,0.0002584450267022,0.0003718295047292,0.0003718295047292,0.0005383483294281,0.0005383483294281,0.0006233793901628,0.0007939185670693,9606.ENSP00000264932,0
9606.ENSP00000317159,8.434426126768813e-05,8.434426126768813e-05,8.434426126768813e-05,0.0002584291069069,0.0003518848825478,0.0003518848825478,0.0005183813918847,0.0005183813918847,0.000604494503932,0.00077321279241,9606.ENSP00000264932,0
