Enesembl ID	Gene	RNA line ab	RNA type ab	protein type ab
ENSG00000000003	TSPAN6	25.8		
ENSG00000000005	TNMD	0.0		
ENSG00000000419	DPM1	84.5		
ENSG00000000457	SCYL3	5.4		
ENSG00000000460	C1orf112	19.4		
ENSG00000000938	FGR	0.0		
ENSG00000000971	CFH	40.4		
ENSG00000001036	FUCA2	69.8		
ENSG00000001084	GCLC	181.2		
ENSG00000001167	NFYA	22.9		
ENSG00000001460	STPG1	4.4		
ENSG00000001461	NIPAL3	9.0		
ENSG00000001497	LAS1L	64.5		
ENSG00000001561	ENPP4	1.0		
ENSG00000001617	SEMA3F	2.9		
ENSG00000001626	CFTR	0.2		
ENSG00000001629	ANKIB1	22.9		
ENSG00000001630	CYP51A1	65.8		
ENSG00000001631	KRIT1	25.1		
ENSG00000002016	RAD52	13.4		
ENSG00000002330	BAD	77.1		
ENSG00000002549	LAP3	45.3		
ENSG00000002586	CD99	285.5		
ENSG00000002587	HS3ST1	1.1		
ENSG00000002726	AOC1	0.1		
ENSG00000002745	WNT16	0.0		
ENSG00000002746	HECW1	3.5		
ENSG00000002822	MAD1L1	14.0		
ENSG00000002834	LASP1	363.5		
ENSG00000002919	SNX11	30.6		
ENSG00000002933	TMEM176A	0.0		
ENSG00000003056	M6PR	179.3		
ENSG00000003096	KLHL13	0.7		
ENSG00000003137	CYP26B1	9.3		
ENSG00000003147	ICA1	1.2		
ENSG00000003249	DBNDD1	35.9		
ENSG00000003393	ALS2	7.2		
ENSG00000003400	CASP10	3.7		
ENSG00000003402	CFLAR	65.2		
ENSG00000003436	TFPI	39.6		
ENSG00000003509	NDUFAF7	15.4		
ENSG00000003756	RBM5	31.4		
ENSG00000003987	MTMR7	0.8		
ENSG00000003989	SLC7A2	2.6		
ENSG00000004059	ARF5	128.1		
ENSG00000004139	SARM1	2.6		
ENSG00000004142	POLDIP2	157.5		
ENSG00000004399	PLXND1	41.0		
ENSG00000004455	AK2	192.7		
ENSG00000004468	CD38	8.5		
ENSG00000004478	FKBP4	187.3		
ENSG00000004487	KDM1A	69.8		
ENSG00000004534	RBM6	20.4		
ENSG00000004660	CAMKK1	10.4		
ENSG00000004700	RECQL	81.7		
ENSG00000004766	VPS50	3.8		
ENSG00000004776	HSPB6	0.3		
ENSG00000004777	ARHGAP33	3.5		
ENSG00000004779	NDUFAB1	160.4		
ENSG00000004799	PDK4	20.2		
ENSG00000004809	SLC22A16	0.0		
ENSG00000004838	ZMYND10	0.4		
ENSG00000004846	ABCB5	0.0		
ENSG00000004848	ARX	0.5		
ENSG00000004864	SLC25A13	42.0		
ENSG00000004866	ST7	19.1		
ENSG00000004897	CDC27	92.0		
ENSG00000004939	SLC4A1	0.2		
ENSG00000004948	CALCR	0.0		
ENSG00000004961	HCCS	62.7		
ENSG00000004975	DVL2	33.3		
ENSG00000005001	PRSS22	0.0		
ENSG00000005007	UPF1	29.2		
ENSG00000005020	SKAP2	22.3		
ENSG00000005022	SLC25A5	760.6		
ENSG00000005059	MCUB	11.9		
ENSG00000005073	HOXA11	0.6		
ENSG00000005075	POLR2J	126.0		
ENSG00000005100	DHX33	27.3		
ENSG00000005102	MEOX1	0.0		
ENSG00000005108	THSD7A	8.0		
ENSG00000005156	LIG3	31.7		
ENSG00000005175	RPAP3	59.4		
ENSG00000005187	ACSM3	9.8		
ENSG00000005189	REXO5	5.3		
ENSG00000005194	CIAPIN1	93.5		
ENSG00000005206	SPPL2B	16.3		
ENSG00000005238	FAM214B	5.9		
ENSG00000005243	COPZ2	10.6		
ENSG00000005249	PRKAR2B	1.5		
ENSG00000005302	MSL3	27.2		
ENSG00000005339	CREBBP	21.2		
ENSG00000005379	TSPOAP1	0.0		
ENSG00000005381	MPO	0.0		
ENSG00000005421	PON1	0.2		
ENSG00000005436	GCFC2	20.5		
ENSG00000005448	WDR54	64.3		
ENSG00000005469	CROT	11.8		
ENSG00000005471	ABCB4	0.0		
ENSG00000005483	KMT2E	21.1		
ENSG00000005486	RHBDD2	64.2		
ENSG00000005513	SOX8	0.3		
ENSG00000005700	IBTK	19.8		
ENSG00000005801	ZNF195	19.8		
ENSG00000005810	MYCBP2	13.3		
ENSG00000005812	FBXL3	14.7		
ENSG00000005844	ITGAL	0.0		
ENSG00000005882	PDK2	13.6		
ENSG00000005884	ITGA3	190.7		
ENSG00000005889	ZFX	15.3		
ENSG00000005893	LAMP2	57.6		
ENSG00000005961	ITGA2B	0.7		
ENSG00000005981	ASB4	2.7		
ENSG00000006007	GDE1	47.1		
ENSG00000006015	REX1BD	13.9		
ENSG00000006016	CRLF1	0.5		
ENSG00000006025	OSBPL7	4.6		
ENSG00000006042	TMEM98	61.3		
ENSG00000006047	YBX2	0.1		
ENSG00000006059	KRT33A	0.0		
ENSG00000006062	MAP3K14	46.7		
ENSG00000006071	ABCC8	0.9		
ENSG00000006116	CACNG3	0.0		
ENSG00000006118	TMEM132A	44.1		
ENSG00000006125	AP2B1	205.1		
ENSG00000006128	TAC1	0.0		
ENSG00000006194	ZNF263	29.0		
ENSG00000006210	CX3CL1	0.5		
ENSG00000006282	SPATA20	32.2		
ENSG00000006283	CACNA1G	8.7		
ENSG00000006327	TNFRSF12A	231.7		
ENSG00000006377	DLX6	0.1		
ENSG00000006432	MAP3K9	6.9		
ENSG00000006451	RALA	24.9		
ENSG00000006453	BAIAP2L1	48.4		
ENSG00000006459	KDM7A	0.9		
ENSG00000006468	ETV1	3.2		
ENSG00000006530	AGK	34.6		
ENSG00000006534	ALDH3B1	108.8		
ENSG00000006555	TTC22	0.0		
ENSG00000006576	PHTF2	18.9		
ENSG00000006606	CCL26	9.9		
ENSG00000006607	FARP2	15.1		
ENSG00000006611	USH1C	2.5		
ENSG00000006625	GGCT	68.2		
ENSG00000006634	DBF4	1.2		
ENSG00000006638	TBXA2R	0.3		
ENSG00000006652	IFRD1	31.9		
ENSG00000006659	LGALS14	0.0		
ENSG00000006695	COX10	20.0		
ENSG00000006704	GTF2IRD1	10.1		
ENSG00000006712	PAF1	98.4		
ENSG00000006715	VPS41	34.1		
ENSG00000006740	ARHGAP44	2.0		
ENSG00000006744	ELAC2	116.1		
ENSG00000006747	SCIN	0.2		
ENSG00000006756	ARSD	8.9		
ENSG00000006757	PNPLA4	20.0		
ENSG00000006788	MYH13	0.0		
ENSG00000006831	ADIPOR2	31.9		
ENSG00000006837	CDKL3	1.2		
ENSG00000007001	UPP2	0.0		
ENSG00000007038	PRSS21	0.0		
ENSG00000007047	MARK4	5.4		
ENSG00000007062	PROM1	0.0		
ENSG00000007080	CCDC124	130.5		
ENSG00000007129	CEACAM21	0.0		
ENSG00000007168	PAFAH1B1	55.9		
ENSG00000007171	NOS2	0.1		
ENSG00000007174	DNAH9	0.0		
ENSG00000007202	KIAA0100	98.0		
ENSG00000007216	SLC13A2	0.0		
ENSG00000007237	GAS7	0.6		
ENSG00000007255	TRAPPC6A	30.9		
ENSG00000007264	MATK	0.2		
ENSG00000007306	CEACAM7	0.0		
ENSG00000007312	CD79B	0.0		
ENSG00000007314	SCN4A	0.0		
ENSG00000007341	ST7L	1.4		
ENSG00000007350	TKTL1	0.0		
ENSG00000007372	PAX6	0.6		
ENSG00000007376	RPUSD1	26.9		
ENSG00000007384	RHBDF1	13.4		
ENSG00000007392	LUC7L	57.7		
ENSG00000007402	CACNA2D2	0.1		
ENSG00000007516	BAIAP3	1.2		
ENSG00000007520	TSR3	52.5		
ENSG00000007541	PIGQ	17.3		
ENSG00000007545	CRAMP1	10.7		
ENSG00000007866	TEAD3	3.5		
ENSG00000007908	SELE	0.0		
ENSG00000007923	DNAJC11	38.4		
ENSG00000007933	FMO3	0.0		
ENSG00000007944	MYLIP	4.6		
ENSG00000007952	NOX1	1.1		
ENSG00000007968	E2F2	2.6		
ENSG00000008018	PSMB1	299.7		
ENSG00000008056	SYN1	0.0		
ENSG00000008083	JARID2	7.5		
ENSG00000008086	CDKL5	8.0		
ENSG00000008118	CAMK1G	0.0		
ENSG00000008128	CDK11A	14.0		
ENSG00000008130	NADK	29.1		
ENSG00000008196	TFAP2B	0.0		
ENSG00000008197	TFAP2D	0.0		
ENSG00000008226	DLEC1	0.0		
ENSG00000008256	CYTH3	18.1		
ENSG00000008277	ADAM22	0.5		
ENSG00000008282	SYPL1	113.3		
ENSG00000008283	CYB561	27.2		
ENSG00000008294	SPAG9	63.4		
ENSG00000008300	CELSR3	2.3		
ENSG00000008311	AASS	0.0		
ENSG00000008323	PLEKHG6	4.2		
ENSG00000008324	SS18L2	16.4		
ENSG00000008382	MPND	10.5		
ENSG00000008394	MGST1	933.0		
ENSG00000008405	CRY1	20.2		
ENSG00000008438	PGLYRP1	1.7		
ENSG00000008441	NFIX	8.8		
ENSG00000008513	ST3GAL1	4.9		
ENSG00000008516	MMP25	0.0		
ENSG00000008517	IL32	22.2		
ENSG00000008710	PKD1	5.9		
ENSG00000008735	MAPK8IP2	0.9		
ENSG00000008838	MED24	54.2		
ENSG00000008853	RHOBTB2	12.1		
ENSG00000008869	HEATR5B	10.9		
ENSG00000008952	SEC62	112.8		
ENSG00000008988	RPS20	2989.6		
ENSG00000009307	CSDE1	230.7		
ENSG00000009335	UBE3C	54.3		
ENSG00000009413	REV3L	5.0		
ENSG00000009694	TENM1	0.0		
ENSG00000009709	PAX7	0.8		
ENSG00000009724	MASP2	0.3		
ENSG00000009765	IYD	0.0		
ENSG00000009780	FAM76A	7.5		
ENSG00000009790	TRAF3IP3	0.0		
ENSG00000009830	POMT2	17.2		
ENSG00000009844	VTA1	66.1		
ENSG00000009950	MLXIPL	1.5		
ENSG00000009954	BAZ1B	70.1		
ENSG00000010017	RANBP9	16.0		
ENSG00000010030	ETV7	0.0		
ENSG00000010072	SPRTN	13.6		
ENSG00000010165	EEF1AKNMT	50.7		
ENSG00000010219	DYRK4	5.0		
ENSG00000010244	ZNF207	230.7		
ENSG00000010256	UQCRC1	161.6		
ENSG00000010270	STARD3NL	66.5		
ENSG00000010278	CD9	200.2		
ENSG00000010282	HHATL	0.0		
ENSG00000010292	NCAPD2	106.1		
ENSG00000010295	IFFO1	0.0		
ENSG00000010310	GIPR	0.6		
ENSG00000010318	PHF7	0.5		
ENSG00000010319	SEMA3G	0.3		
ENSG00000010322	NISCH	12.9		
ENSG00000010327	STAB1	0.0		
ENSG00000010361	FUZ	7.8		
ENSG00000010379	SLC6A13	0.2		
ENSG00000010404	IDS	48.4		
ENSG00000010438	PRSS3	10.3		
ENSG00000010539	ZNF200	8.3		
ENSG00000010610	CD4	0.0		
ENSG00000010626	LRRC23	11.0		
ENSG00000010671	BTK	0.0		
ENSG00000010704	HFE	29.0		
ENSG00000010803	SCMH1	10.9		
ENSG00000010810	FYN	1.7		
ENSG00000010818	HIVEP2	1.5		
ENSG00000010932	FMO1	0.0		
ENSG00000011007	ELOA	25.8		
ENSG00000011009	LYPLA2	45.9		
ENSG00000011021	CLCN6	5.1		
ENSG00000011028	MRC2	23.9		
ENSG00000011052	NME1-NME2	14.0		
ENSG00000011083	SLC6A7	0.0		
ENSG00000011105	TSPAN9	13.8		
ENSG00000011114	BTBD7	3.2		
ENSG00000011132	APBA3	4.8		
ENSG00000011143	MKS1	10.7		
ENSG00000011198	ABHD5	8.0		
ENSG00000011201	ANOS1	0.0		
ENSG00000011243	AKAP8L	22.2		
ENSG00000011258	MBTD1	6.0		
ENSG00000011260	UTP18	99.0		
ENSG00000011275	RNF216	19.4		
ENSG00000011295	TTC19	7.1		
ENSG00000011304	PTBP1	291.1		
ENSG00000011332	DPF1	3.0		
ENSG00000011347	SYT7	1.3		
ENSG00000011376	LARS2	9.3		
ENSG00000011405	PIK3C2A	24.4		
ENSG00000011422	PLAUR	36.4		
ENSG00000011426	ANLN	115.6		
ENSG00000011451	WIZ	10.9		
ENSG00000011454	RABGAP1	21.9		
ENSG00000011465	DCN	0.5		
ENSG00000011478	QPCTL	9.6		
ENSG00000011485	PPP5C	88.0		
ENSG00000011523	CEP68	6.5		
ENSG00000011566	MAP4K3	19.8		
ENSG00000011590	ZBTB32	0.3		
ENSG00000011600	TYROBP	0.1		
ENSG00000011638	TMEM159	7.7		
ENSG00000011677	GABRA3	0.5		
ENSG00000012048	BRCA1	56.8		
ENSG00000012061	ERCC1	102.4		
ENSG00000012124	CD22	0.9		
ENSG00000012171	SEMA3B	5.1		
ENSG00000012174	MBTPS2	36.2		
ENSG00000012211	PRICKLE3	14.1		
ENSG00000012223	LTF	0.0		
ENSG00000012232	EXTL3	22.7		
ENSG00000012504	NR1H4	0.5		
ENSG00000012660	ELOVL5	99.6		
ENSG00000012779	ALOX5	0.0		
ENSG00000012817	KDM5D	9.8		
ENSG00000012822	CALCOCO1	12.0		
ENSG00000012963	UBR7	29.8		
ENSG00000012983	MAP4K5	24.7		
ENSG00000013016	EHD3	8.4		
ENSG00000013275	PSMC4	177.4		
ENSG00000013288	MAN2B2	10.9		
ENSG00000013293	SLC7A14	0.0		
ENSG00000013297	CLDN11	0.0		
ENSG00000013306	SLC25A39	134.9		
ENSG00000013364	MVP	129.7		
ENSG00000013374	NUB1	37.6		
ENSG00000013375	PGM3	27.7		
ENSG00000013392	RWDD2A	1.9		
ENSG00000013441	CLK1	21.6		
ENSG00000013503	POLR3B	9.3		
ENSG00000013523	ANGEL1	11.3		
ENSG00000013561	RNF14	75.8		
ENSG00000013563	DNASE1L1	20.3		
ENSG00000013573	DDX11	29.2		
ENSG00000013583	HEBP1	49.2		
ENSG00000013588	GPRC5A	295.7		
ENSG00000013619	MAMLD1	2.3		
ENSG00000013725	CD6	0.0		
ENSG00000013810	TACC3	74.0		
ENSG00000014123	UFL1	11.1		
ENSG00000014138	POLA2	22.2		
ENSG00000014164	ZC3H3	11.9		
ENSG00000014216	CAPN1	115.7		
ENSG00000014257	ACP3	0.1		
ENSG00000014641	MDH1	286.4		
ENSG00000014824	SLC30A9	7.1		
ENSG00000014914	MTMR11	5.4		
ENSG00000014919	COX15	41.9		
ENSG00000015133	CCDC88C	5.6		
ENSG00000015153	YAF2	20.1		
ENSG00000015171	ZMYND11	59.8		
ENSG00000015285	WAS	0.1		
ENSG00000015413	DPEP1	1.4		
ENSG00000015475	BID	77.1		
ENSG00000280987	MATR3	88.7		
ENSG00000015520	NPC1L1	0.0		
ENSG00000015532	XYLT2	19.7		
ENSG00000015568	RGPD5	12.7		
ENSG00000015592	STMN4	0.0		
ENSG00000015676	NUDCD3	3.6		
ENSG00000016082	ISL1	0.0		
ENSG00000016391	CHDH	3.2		
ENSG00000016402	IL20RA	0.0		
ENSG00000016490	CLCA1	0.0		
ENSG00000016602	CLCA4	0.0		
ENSG00000016864	GLT8D1	32.1		
ENSG00000017260	ATP2C1	54.4		
ENSG00000017427	IGF1	0.0		
ENSG00000017483	SLC38A5	0.2		
ENSG00000017797	RALBP1	36.3		
ENSG00000018189	RUFY3	7.2		
ENSG00000018236	CNTN1	157.0		
ENSG00000018280	SLC11A1	0.1		
ENSG00000018408	WWTR1	65.9		
ENSG00000018510	AGPS	46.5		
ENSG00000018610	CXorf56	25.7		
ENSG00000018625	ATP1A2	0.0		
ENSG00000018699	TTC27	31.9		
ENSG00000018869	ZNF582	1.8		
ENSG00000019102	VSIG2	0.2		
ENSG00000019144	PHLDB1	5.6		
ENSG00000019169	MARCO	0.0		
ENSG00000019186	CYP24A1	414.2		
ENSG00000019485	PRDM11	9.3		
ENSG00000019505	SYT13	17.0		
ENSG00000019549	SNAI2	0.7		
ENSG00000019582	CD74	0.3		
ENSG00000019991	HGF	0.1		
ENSG00000019995	ZRANB1	8.5		
ENSG00000020129	NCDN	16.0		
ENSG00000020181	ADGRA2	1.6		
ENSG00000020256	ZFP64	17.8		
ENSG00000020426	MNAT1	55.7		
ENSG00000020577	SAMD4A	3.8		
ENSG00000020633	RUNX3	6.4		
ENSG00000020922	MRE11	23.9		
ENSG00000021300	PLEKHB1	1.5		
ENSG00000021355	SERPINB1	47.9		
ENSG00000021461	CYP3A43	0.0		
ENSG00000021488	SLC7A9	0.1		
ENSG00000021574	SPAST	20.3		
ENSG00000021645	NRXN3	0.2		
ENSG00000021762	OSBPL5	3.9		
ENSG00000021776	AQR	13.6		
ENSG00000021826	CPS1	9.8		
ENSG00000021852	C8B	0.0		
ENSG00000022267	FHL1	31.1		
ENSG00000022277	RTF2	101.9		
ENSG00000022355	GABRA1	0.0		
ENSG00000022556	NLRP2	40.7		
ENSG00000022567	SLC45A4	7.6		
ENSG00000022840	RNF10	122.6		
ENSG00000022976	ZNF839	10.6		
ENSG00000023041	ZDHHC6	41.3		
ENSG00000023171	GRAMD1B	53.6		
ENSG00000023191	RNH1	91.6		
ENSG00000023228	NDUFS1	37.5		
ENSG00000023287	RB1CC1	22.4		
ENSG00000023318	ERP44	18.0		
ENSG00000023330	ALAS1	60.4		
ENSG00000023445	BIRC3	36.5		
ENSG00000023516	AKAP11	13.4		
ENSG00000023572	GLRX2	62.6		
ENSG00000023608	SNAPC1	18.1		
ENSG00000023697	DERA	58.3		
ENSG00000023734	STRAP	287.3		
ENSG00000023839	ABCC2	169.5		
ENSG00000023892	DEF6	0.1		
ENSG00000023902	PLEKHO1	3.3		
ENSG00000023909	GCLM	76.5		
ENSG00000024048	UBR2	8.5		
ENSG00000024422	EHD2	110.9		
ENSG00000024526	DEPDC1	22.7		
ENSG00000024862	CCDC28A	12.9		
ENSG00000025039	RRAGD	1.1		
ENSG00000025156	HSF2	10.2		
ENSG00000025293	PHF20	14.6		
ENSG00000025423	HSD17B6	2.6		
ENSG00000025434	NR1H3	10.7		
ENSG00000025708	TYMP	3.6		
ENSG00000025770	NCAPH2	29.5		
ENSG00000025772	TOMM34	44.0		
ENSG00000025796	SEC63	20.4		
ENSG00000025800	KPNA6	22.5		
ENSG00000026025	VIM	1099.7		
ENSG00000026103	FAS	12.2		
ENSG00000026297	RNASET2	13.9		
ENSG00000026508	CD44	285.8		
ENSG00000026559	KCNG1	4.6		
ENSG00000026652	AGPAT4	1.2		
ENSG00000026751	SLAMF7	0.7		
ENSG00000026950	BTN3A1	4.6		
ENSG00000027001	MIPEP	20.3		
ENSG00000027075	PRKCH	5.9		
ENSG00000027644	INSRR	0.0		
ENSG00000027697	IFNGR1	35.8		
ENSG00000027847	B4GALT7	25.9		
ENSG00000027869	SH2D2A	0.7		
ENSG00000028116	VRK2	40.7		
ENSG00000028137	TNFRSF1B	0.2		
ENSG00000028203	VEZT	20.9		
ENSG00000028277	POU2F2	0.9		
ENSG00000028310	BRD9	15.2		
ENSG00000028528	SNX1	84.5		
ENSG00000028839	TBPL1	22.9		
ENSG00000029153	ARNTL2	22.0		
ENSG00000029363	BCLAF1	76.7		
ENSG00000029364	SLC39A9	42.0		
ENSG00000029534	ANK1	9.0		
ENSG00000029559	IBSP	0.0		
ENSG00000029639	TFB1M	3.9		
ENSG00000029725	RABEP1	58.5		
