protein,RNA line ab,binary_RNA line ab
9606.ENSP00000000233,92.4,1
9606.ENSP00000000412,142.7,1
9606.ENSP00000001008,353.3,1
9606.ENSP00000001146,8.5,1
9606.ENSP00000002125,16.2,1
9606.ENSP00000002165,24.1,1
9606.ENSP00000002596,0,0
9606.ENSP00000002829,6.9,1
9606.ENSP00000003084,0,0
9606.ENSP00000003100,118.1,1
9606.ENSP00000003302,37.9,1
9606.ENSP00000004531,23.5,1
9606.ENSP00000005178,0.1,1
9606.ENSP00000005226,0,0
9606.ENSP00000005257,62.5,1
9606.ENSP00000005260,15.6,1
9606.ENSP00000005284,0,0
9606.ENSP00000005286,10.3,1
9606.ENSP00000005340,43.5,1
9606.ENSP00000005386,40.7,1
9606.ENSP00000005587,26.9,1
9606.ENSP00000005995,0,0
9606.ENSP00000006015,16.3,1
9606.ENSP00000006053,0,0
9606.ENSP00000006275,3.3,1
9606.ENSP00000006526,27.8,1
9606.ENSP00000006658,1.4,1
9606.ENSP00000006724,0,0
9606.ENSP00000006777,22.4,1
9606.ENSP00000007390,24.2,1
9606.ENSP00000007414,1.7,1
9606.ENSP00000007699,1,1
9606.ENSP00000007722,2.2,1
9606.ENSP00000007735,0,0
9606.ENSP00000008391,1,1
9606.ENSP00000008527,26.8,1
9606.ENSP00000008938,0,0
9606.ENSP00000009041,51.4,1
9606.ENSP00000009105,0,0
9606.ENSP00000009530,0,0
9606.ENSP00000010299,11.2,1
9606.ENSP00000011292,0,0
9606.ENSP00000011473,72.4,1
9606.ENSP00000011619,30.5,1
9606.ENSP00000011653,0,0
9606.ENSP00000011898,9.5,1
9606.ENSP00000012049,10,1
9606.ENSP00000012443,86.2,1
9606.ENSP00000013070,55.8,1
9606.ENSP00000013125,34.3,1
9606.ENSP00000013222,0,0
9606.ENSP00000013807,26,1
9606.ENSP00000014914,1,1
9606.ENSP00000014930,37.6,1
9606.ENSP00000016171,44.2,1
9606.ENSP00000016913,0.1,1
9606.ENSP00000016946,14.3,1
9606.ENSP00000017003,2.4,1
9606.ENSP00000019103,0,0
9606.ENSP00000019317,48.1,1
9606.ENSP00000020673,0.1,1
9606.ENSP00000020926,0.2,1
9606.ENSP00000023064,0,0
9606.ENSP00000023939,92.4,1
9606.ENSP00000025008,31.4,1
9606.ENSP00000025301,16.1,1
9606.ENSP00000026218,3.3,1
9606.ENSP00000027335,0.3,1
9606.ENSP00000029410,9.8,1
9606.ENSP00000033079,16.3,1
9606.ENSP00000035307,6.5,1
9606.ENSP00000035383,0.3,1
9606.ENSP00000037243,107.6,1
9606.ENSP00000037502,0,0
9606.ENSP00000037869,106.8,1
9606.ENSP00000039007,0,0
9606.ENSP00000039989,22.3,1
9606.ENSP00000040584,3.9,1
9606.ENSP00000040663,24.5,1
9606.ENSP00000040738,18.7,1
9606.ENSP00000040877,9.7,1
9606.ENSP00000043402,1.4,1
9606.ENSP00000044462,669.1,1
9606.ENSP00000046087,0,0
9606.ENSP00000046794,0,0
9606.ENSP00000052754,0.8,1
9606.ENSP00000053243,0,0
9606.ENSP00000053468,60.3,1
9606.ENSP00000053867,68.6,1
9606.ENSP00000054650,17.9,1
9606.ENSP00000054666,75.2,1
9606.ENSP00000054668,0,0
9606.ENSP00000054950,118,1
9606.ENSP00000055077,53.3,1
9606.ENSP00000055335,0.9,1
9606.ENSP00000055682,3.7,1
9606.ENSP00000056217,0,0
9606.ENSP00000056233,6,1
9606.ENSP00000061240,0.2,1
9606.ENSP00000062104,0,0
9606.ENSP00000064571,0,0
9606.ENSP00000064724,0,0
9606.ENSP00000064778,19.4,1
9606.ENSP00000064780,4.4,1
9606.ENSP00000070846,6.8,1
9606.ENSP00000072644,12.9,1
9606.ENSP00000072869,27.5,1
9606.ENSP00000074304,12.6,1
9606.ENSP00000075120,2.4,1
9606.ENSP00000075503,1.6,1
9606.ENSP00000078429,37.8,1
9606.ENSP00000078445,0,0
9606.ENSP00000080059,6.7,1
9606.ENSP00000081029,88,1
9606.ENSP00000083182,16.2,1
9606.ENSP00000084798,9.4,1
9606.ENSP00000085068,39.7,1
9606.ENSP00000085219,0,0
9606.ENSP00000086933,0,0
9606.ENSP00000155840,0.7,1
9606.ENSP00000155858,0,0
9606.ENSP00000155926,10.3,1
9606.ENSP00000156084,54.2,1
9606.ENSP00000156109,27.9,1
9606.ENSP00000156471,14.8,1
9606.ENSP00000156626,0,0
9606.ENSP00000157600,4.9,1
9606.ENSP00000157812,61.6,1
9606.ENSP00000158009,0,0
9606.ENSP00000158166,3.2,1
9606.ENSP00000158762,0,0
9606.ENSP00000158771,13.2,1
9606.ENSP00000159060,0,0
9606.ENSP00000159087,3.1,1
9606.ENSP00000159111,7.8,1
9606.ENSP00000160262,0.2,1
9606.ENSP00000160373,8.3,1
9606.ENSP00000160382,0,0
9606.ENSP00000160827,118.9,1
9606.ENSP00000161006,0,0
9606.ENSP00000161559,0,0
9606.ENSP00000161863,22,1
9606.ENSP00000162044,20.6,1
9606.ENSP00000162391,10,1
9606.ENSP00000162749,12.9,1
9606.ENSP00000163416,23.1,1
9606.ENSP00000164024,1.9,1
9606.ENSP00000164133,7.4,1
9606.ENSP00000164139,0.2,1
9606.ENSP00000164227,2.4,1
9606.ENSP00000164305,3.3,1
9606.ENSP00000164640,4.5,1
9606.ENSP00000165524,0,0
9606.ENSP00000166139,4.1,1
9606.ENSP00000166244,0,0
9606.ENSP00000166345,100.3,1
9606.ENSP00000167106,7.3,1
9606.ENSP00000167586,0,0
9606.ENSP00000167588,0,0
9606.ENSP00000168148,0,0
