Enesembl ID	Gene	RNA line ab	RNA type ab	protein type ab
ENSG00000000003	TSPAN6	0.3		
ENSG00000000005	TNMD	6.9		
ENSG00000000419	DPM1	68.5		
ENSG00000000457	SCYL3	4.7		
ENSG00000000460	C1orf112	27.6		
ENSG00000000938	FGR	0.0		
ENSG00000000971	CFH	0.0		
ENSG00000001036	FUCA2	24.1		
ENSG00000001084	GCLC	50.7		
ENSG00000001167	NFYA	30.1		
ENSG00000001460	STPG1	7.3		
ENSG00000001461	NIPAL3	12.5		
ENSG00000001497	LAS1L	63.9		
ENSG00000001561	ENPP4	4.1		
ENSG00000001617	SEMA3F	6.9		
ENSG00000001626	CFTR	0.0		
ENSG00000001629	ANKIB1	16.5		
ENSG00000001630	CYP51A1	118.1		
ENSG00000001631	KRIT1	21.9		
ENSG00000002016	RAD52	9.4		
ENSG00000002330	BAD	16.8		
ENSG00000002549	LAP3	157.7		
ENSG00000002586	CD99	124.1		
ENSG00000002587	HS3ST1	0.0		
ENSG00000002726	AOC1	0.0		
ENSG00000002745	WNT16	0.0		
ENSG00000002746	HECW1	0.0		
ENSG00000002822	MAD1L1	12.4		
ENSG00000002834	LASP1	58.5		
ENSG00000002919	SNX11	21.2		
ENSG00000002933	TMEM176A	0.0		
ENSG00000003056	M6PR	142.7		
ENSG00000003096	KLHL13	33.8		
ENSG00000003137	CYP26B1	8.5		
ENSG00000003147	ICA1	0.8		
ENSG00000003249	DBNDD1	41.3		
ENSG00000003393	ALS2	4.6		
ENSG00000003400	CASP10	0.2		
ENSG00000003402	CFLAR	9.8		
ENSG00000003436	TFPI	15.9		
ENSG00000003509	NDUFAF7	16.2		
ENSG00000003756	RBM5	90.4		
ENSG00000003987	MTMR7	2.6		
ENSG00000003989	SLC7A2	23.5		
ENSG00000004059	ARF5	92.4		
ENSG00000004139	SARM1	2.7		
ENSG00000004142	POLDIP2	153.1		
ENSG00000004399	PLXND1	25.9		
ENSG00000004455	AK2	312.5		
ENSG00000004468	CD38	0.2		
ENSG00000004478	FKBP4	353.3		
ENSG00000004487	KDM1A	169.5		
ENSG00000004534	RBM6	61.2		
ENSG00000004660	CAMKK1	3.2		
ENSG00000004700	RECQL	51.2		
ENSG00000004766	VPS50	10.4		
ENSG00000004776	HSPB6	0.4		
ENSG00000004777	ARHGAP33	1.9		
ENSG00000004779	NDUFAB1	271.2		
ENSG00000004799	PDK4	0.1		
ENSG00000004809	SLC22A16	0.0		
ENSG00000004838	ZMYND10	1.5		
ENSG00000004846	ABCB5	0.1		
ENSG00000004848	ARX	1.9		
ENSG00000004864	SLC25A13	50.1		
ENSG00000004866	ST7	24.2		
ENSG00000004897	CDC27	75.2		
ENSG00000004939	SLC4A1	0.0		
ENSG00000004948	CALCR	0.0		
ENSG00000004961	HCCS	63.2		
ENSG00000004975	DVL2	43.5		
ENSG00000005001	PRSS22	0.0		
ENSG00000005007	UPF1	38.7		
ENSG00000005020	SKAP2	26.9		
ENSG00000005022	SLC25A5	752.1		
ENSG00000005059	MCUB	24.1		
ENSG00000005073	HOXA11	16.3		
ENSG00000005075	POLR2J	89.8		
ENSG00000005100	DHX33	35.4		
ENSG00000005102	MEOX1	0.1		
ENSG00000005108	THSD7A	1.8		
ENSG00000005156	LIG3	43.9		
ENSG00000005175	RPAP3	40.7		
ENSG00000005187	ACSM3	0.2		
ENSG00000005189	REXO5	7.7		
ENSG00000005194	CIAPIN1	113.2		
ENSG00000005206	SPPL2B	3.6		
ENSG00000005238	FAM214B	2.4		
ENSG00000005243	COPZ2	0.0		
ENSG00000005249	PRKAR2B	7.1		
ENSG00000005302	MSL3	29.7		
ENSG00000005339	CREBBP	45.7		
ENSG00000005379	TSPOAP1	0.0		
ENSG00000005381	MPO	0.0		
ENSG00000005421	PON1	0.0		
ENSG00000005436	GCFC2	11.9		
ENSG00000005448	WDR54	27.8		
ENSG00000005469	CROT	2.3		
ENSG00000005471	ABCB4	0.1		
ENSG00000005483	KMT2E	27.1		
ENSG00000005486	RHBDD2	22.4		
ENSG00000005513	SOX8	5.0		
ENSG00000005700	IBTK	9.8		
ENSG00000005801	ZNF195	34.5		
ENSG00000005810	MYCBP2	22.4		
ENSG00000005812	FBXL3	21.4		
ENSG00000005844	ITGAL	0.0		
ENSG00000005882	PDK2	13.7		
ENSG00000005884	ITGA3	2.2		
ENSG00000005889	ZFX	19.4		
ENSG00000005893	LAMP2	56.7		
ENSG00000005961	ITGA2B	1.8		
ENSG00000005981	ASB4	0.0		
ENSG00000006007	GDE1	35.2		
ENSG00000006015	REX1BD	0.9		
ENSG00000006016	CRLF1	10.8		
ENSG00000006025	OSBPL7	1.7		
ENSG00000006042	TMEM98	74.2		
ENSG00000006047	YBX2	1.0		
ENSG00000006059	KRT33A	0.0		
ENSG00000006062	MAP3K14	1.5		
ENSG00000006071	ABCC8	0.0		
ENSG00000006116	CACNG3	0.0		
ENSG00000006118	TMEM132A	10.3		
ENSG00000006125	AP2B1	162.5		
ENSG00000006128	TAC1	0.0		
ENSG00000006194	ZNF263	38.6		
ENSG00000006210	CX3CL1	0.0		
ENSG00000006282	SPATA20	1.4		
ENSG00000006283	CACNA1G	1.1		
ENSG00000006327	TNFRSF12A	4.2		
ENSG00000006377	DLX6	15.3		
ENSG00000006432	MAP3K9	6.5		
ENSG00000006451	RALA	62.5		
ENSG00000006453	BAIAP2L1	15.6		
ENSG00000006459	KDM7A	3.7		
ENSG00000006468	ETV1	1.5		
ENSG00000006530	AGK	41.6		
ENSG00000006534	ALDH3B1	0.3		
ENSG00000006555	TTC22	0.0		
ENSG00000006576	PHTF2	30.1		
ENSG00000006606	CCL26	0.0		
ENSG00000006607	FARP2	35.0		
ENSG00000006611	USH1C	0.0		
ENSG00000006625	GGCT	84.1		
ENSG00000006634	DBF4	2.2		
ENSG00000006638	TBXA2R	0.7		
ENSG00000006652	IFRD1	21.5		
ENSG00000006659	LGALS14	0.0		
ENSG00000006695	COX10	16.6		
ENSG00000006704	GTF2IRD1	22.6		
ENSG00000006712	PAF1	81.3		
ENSG00000006715	VPS41	61.7		
ENSG00000006740	ARHGAP44	2.6		
ENSG00000006744	ELAC2	133.6		
ENSG00000006747	SCIN	0.1		
ENSG00000006756	ARSD	0.6		
ENSG00000006757	PNPLA4	0.0		
ENSG00000006788	MYH13	0.0		
ENSG00000006831	ADIPOR2	34.7		
ENSG00000006837	CDKL3	1.5		
ENSG00000007001	UPP2	0.0		
ENSG00000007038	PRSS21	0.0		
ENSG00000007047	MARK4	26.4		
ENSG00000007062	PROM1	7.3		
ENSG00000007080	CCDC124	60.0		
ENSG00000007129	CEACAM21	0.0		
ENSG00000007168	PAFAH1B1	74.4		
ENSG00000007171	NOS2	0.6		
ENSG00000007174	DNAH9	0.4		
ENSG00000007202	KIAA0100	91.4		
ENSG00000007216	SLC13A2	0.0		
ENSG00000007237	GAS7	0.0		
ENSG00000007255	TRAPPC6A	3.3		
ENSG00000007264	MATK	13.8		
ENSG00000007306	CEACAM7	0.0		
ENSG00000007312	CD79B	0.0		
ENSG00000007314	SCN4A	0.0		
ENSG00000007341	ST7L	10.2		
ENSG00000007350	TKTL1	0.0		
ENSG00000007372	PAX6	1.8		
ENSG00000007376	RPUSD1	18.1		
ENSG00000007384	RHBDF1	4.8		
ENSG00000007392	LUC7L	77.5		
ENSG00000007402	CACNA2D2	24.8		
ENSG00000007516	BAIAP3	0.0		
ENSG00000007520	TSR3	24.2		
ENSG00000007541	PIGQ	3.3		
ENSG00000007545	CRAMP1	18.7		
ENSG00000007866	TEAD3	5.3		
ENSG00000007908	SELE	0.0		
ENSG00000007923	DNAJC11	82.9		
ENSG00000007933	FMO3	0.0		
ENSG00000007944	MYLIP	13.0		
ENSG00000007952	NOX1	0.0		
ENSG00000007968	E2F2	12.9		
ENSG00000008018	PSMB1	446.0		
ENSG00000008056	SYN1	0.5		
ENSG00000008083	JARID2	8.0		
ENSG00000008086	CDKL5	3.2		
ENSG00000008118	CAMK1G	0.0		
ENSG00000008128	CDK11A	14.3		
ENSG00000008130	NADK	37.3		
ENSG00000008196	TFAP2B	0.0		
ENSG00000008197	TFAP2D	1.0		
ENSG00000008226	DLEC1	0.1		
ENSG00000008256	CYTH3	10.4		
ENSG00000008277	ADAM22	7.0		
ENSG00000008282	SYPL1	72.4		
ENSG00000008283	CYB561	20.3		
ENSG00000008294	SPAG9	48.5		
ENSG00000008300	CELSR3	1.9		
ENSG00000008311	AASS	33.5		
ENSG00000008323	PLEKHG6	0.0		
ENSG00000008324	SS18L2	33.9		
ENSG00000008382	MPND	9.8		
ENSG00000008394	MGST1	317.0		
ENSG00000008405	CRY1	26.8		
ENSG00000008438	PGLYRP1	0.0		
ENSG00000008441	NFIX	12.8		
ENSG00000008513	ST3GAL1	9.4		
ENSG00000008516	MMP25	0.7		
ENSG00000008517	IL32	1.0		
ENSG00000008710	PKD1	1.4		
ENSG00000008735	MAPK8IP2	6.6		
ENSG00000008838	MED24	89.7		
ENSG00000008853	RHOBTB2	5.0		
ENSG00000008869	HEATR5B	11.6		
ENSG00000008952	SEC62	92.3		
ENSG00000008988	RPS20	1731.7		
ENSG00000009307	CSDE1	442.4		
ENSG00000009335	UBE3C	52.6		
ENSG00000009413	REV3L	17.6		
ENSG00000009694	TENM1	0.3		
ENSG00000009709	PAX7	0.0		
ENSG00000009724	MASP2	0.0		
ENSG00000009765	IYD	0.0		
ENSG00000009780	FAM76A	11.2		
ENSG00000009790	TRAF3IP3	0.0		
ENSG00000009830	POMT2	8.8		
ENSG00000009844	VTA1	81.5		
ENSG00000009950	MLXIPL	0.0		
ENSG00000009954	BAZ1B	126.1		
ENSG00000010017	RANBP9	30.5		
ENSG00000010030	ETV7	0.4		
ENSG00000010072	SPRTN	15.2		
ENSG00000010165	EEF1AKNMT	51.3		
ENSG00000010219	DYRK4	3.0		
ENSG00000010244	ZNF207	282.1		
ENSG00000010256	UQCRC1	171.6		
ENSG00000010270	STARD3NL	51.4		
ENSG00000010278	CD9	92.7		
ENSG00000010282	HHATL	0.0		
ENSG00000010292	NCAPD2	188.0		
ENSG00000010295	IFFO1	4.6		
ENSG00000010310	GIPR	0.3		
ENSG00000010318	PHF7	1.2		
ENSG00000010319	SEMA3G	0.1		
ENSG00000010322	NISCH	26.1		
ENSG00000010327	STAB1	0.0		
ENSG00000010361	FUZ	2.7		
ENSG00000010379	SLC6A13	0.0		
ENSG00000010404	IDS	21.3		
ENSG00000010438	PRSS3	0.0		
ENSG00000010539	ZNF200	13.2		
ENSG00000010610	CD4	0.0		
ENSG00000010626	LRRC23	2.9		
ENSG00000010671	BTK	0.0		
ENSG00000010704	HFE	0.0		
ENSG00000010803	SCMH1	23.3		
ENSG00000010810	FYN	25.8		
ENSG00000010818	HIVEP2	2.3		
ENSG00000010932	FMO1	0.0		
ENSG00000011007	ELOA	83.0		
ENSG00000011009	LYPLA2	45.7		
ENSG00000011021	CLCN6	9.0		
ENSG00000011028	MRC2	4.0		
ENSG00000011052	NME1-NME2	25.1		
ENSG00000011083	SLC6A7	0.0		
ENSG00000011105	TSPAN9	9.5		
ENSG00000011114	BTBD7	4.6		
ENSG00000011132	APBA3	1.4		
ENSG00000011143	MKS1	14.8		
ENSG00000011198	ABHD5	16.5		
ENSG00000011201	ANOS1	0.0		
ENSG00000011243	AKAP8L	51.2		
ENSG00000011258	MBTD1	14.8		
ENSG00000011260	UTP18	89.7		
ENSG00000011275	RNF216	13.6		
ENSG00000011295	TTC19	9.9		
ENSG00000011304	PTBP1	342.7		
ENSG00000011332	DPF1	19.7		
ENSG00000011347	SYT7	0.9		
ENSG00000011376	LARS2	49.0		
ENSG00000011405	PIK3C2A	31.9		
ENSG00000011422	PLAUR	7.0		
ENSG00000011426	ANLN	63.4		
ENSG00000011451	WIZ	12.5		
ENSG00000011454	RABGAP1	25.6		
ENSG00000011465	DCN	0.8		
ENSG00000011478	QPCTL	10.0		
ENSG00000011485	PPP5C	86.2		
ENSG00000011523	CEP68	8.7		
ENSG00000011566	MAP4K3	39.0		
ENSG00000011590	ZBTB32	0.0		
ENSG00000011600	TYROBP	0.0		
ENSG00000011638	TMEM159	11.7		
ENSG00000011677	GABRA3	0.0		
ENSG00000012048	BRCA1	51.9		
ENSG00000012061	ERCC1	26.0		
ENSG00000012124	CD22	0.0		
ENSG00000012171	SEMA3B	0.4		
ENSG00000012174	MBTPS2	22.4		
ENSG00000012211	PRICKLE3	15.6		
ENSG00000012223	LTF	0.0		
ENSG00000012232	EXTL3	34.5		
ENSG00000012504	NR1H4	0.0		
ENSG00000012660	ELOVL5	168.0		
ENSG00000012779	ALOX5	0.3		
ENSG00000012817	KDM5D	0.0		
ENSG00000012822	CALCOCO1	8.2		
ENSG00000012963	UBR7	55.8		
ENSG00000012983	MAP4K5	34.3		
ENSG00000013016	EHD3	0.2		
ENSG00000013275	PSMC4	61.6		
ENSG00000013288	MAN2B2	1.0		
ENSG00000013293	SLC7A14	0.0		
ENSG00000013297	CLDN11	0.0		
ENSG00000013306	SLC25A39	147.2		
ENSG00000013364	MVP	0.8		
ENSG00000013374	NUB1	27.9		
ENSG00000013375	PGM3	38.4		
ENSG00000013392	RWDD2A	3.7		
ENSG00000013441	CLK1	27.9		
ENSG00000013503	POLR3B	19.5		
ENSG00000013523	ANGEL1	14.6		
ENSG00000013561	RNF14	55.6		
ENSG00000013563	DNASE1L1	7.6		
ENSG00000013573	DDX11	31.7		
ENSG00000013583	HEBP1	37.6		
ENSG00000013588	GPRC5A	1.0		
ENSG00000013619	MAMLD1	4.2		
ENSG00000013725	CD6	0.0		
ENSG00000013810	TACC3	142.5		
ENSG00000014123	UFL1	15.0		
ENSG00000014138	POLA2	38.8		
ENSG00000014164	ZC3H3	4.1		
ENSG00000014216	CAPN1	60.9		
ENSG00000014257	ACP3	0.0		
ENSG00000014641	MDH1	303.0		
ENSG00000014824	SLC30A9	17.3		
ENSG00000014914	MTMR11	0.3		
ENSG00000014919	COX15	44.2		
ENSG00000015133	CCDC88C	11.3		
ENSG00000015153	YAF2	15.0		
ENSG00000015171	ZMYND11	28.9		
ENSG00000015285	WAS	0.3		
ENSG00000015413	DPEP1	0.2		
ENSG00000015475	BID	14.5		
ENSG00000280987	MATR3	257.9		
ENSG00000015520	NPC1L1	0.0		
ENSG00000015532	XYLT2	2.4		
ENSG00000015568	RGPD5	14.3		
ENSG00000015592	STMN4	0.0		
ENSG00000015676	NUDCD3	4.8		
ENSG00000016082	ISL1	4.6		
ENSG00000016391	CHDH	7.4		
ENSG00000016402	IL20RA	1.2		
