protein,RNA line ab,RNA type ab,binary_RNA line ab,binary_RNA type ab,one_hot_0,one_hot_1,one_hot_2,one_hot_3
9606.ENSP00000362111,59.5,96.4,1,1,1,0,0,0
9606.ENSP00000362122,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000360644,194.5,69.5,1,1,0,0,1,0
9606.ENSP00000356746,3.6,11.4,1,1,0,1,0,0
9606.ENSP00000286031,12.5,3.2,1,1,0,0,1,0
9606.ENSP00000363117,0,1.3,0,1,1,0,0,0
9606.ENSP00000356399,0,844.7,0,1,1,0,0,0
9606.ENSP00000002165,173.7,33,1,1,1,0,0,0
9606.ENSP00000229416,128.3,106.2,1,1,0,0,1,0
9606.ENSP00000345702,42.1,6.9,1,1,1,0,0,0
9606.ENSP00000363530,2,1.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000363520,5.8,4.4,1,1,0,0,1,0
9606.ENSP00000363944,29,12.9,1,1,0,0,1,0
9606.ENSP00000318066,0,9.6,0,1,0,0,1,0
9606.ENSP00000002829,22,0.6,1,1,0,1,0,0
9606.ENSP00000003084,0,0.4,0,1,1,0,0,0
9606.ENSP00000265742,11.6,14.3,1,1,0,0,1,0
9606.ENSP00000003100,108.7,36.9,1,1,1,0,0,0
9606.ENSP00000378015,16.6,9.8,1,1,1,0,0,0
9606.ENSP00000351284,9,2.5,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000378040,29,53.3,1,1,0,0,1,0
9606.ENSP00000226299,115.3,104.1,1,1,0,0,0,1
9606.ENSP00000370588,364.9,120.6,1,1,1,0,0,0
9606.ENSP00000002596,0,0.5,0,1,1,0,0,0
9606.ENSP00000411613,0,0,0,0,1,0,0,0
9606.ENSP00000222462,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000379228,0.2,0,1,0,0,1,0,0
9606.ENSP00000385334,40.5,2.7,1,1,0,1,0,0
9606.ENSP00000325240,202.3,100.9,1,1,0,1,0,0
9606.ENSP00000377059,16.7,6.2,1,1,1,0,0,0
