Enesembl ID	Gene	RNA line ab	RNA type ab	protein type ab
ENSG00000000003	TSPAN6	59.5	96.4	Not detected
ENSG00000000005	TNMD	0.0	0.0	
ENSG00000000419	DPM1	194.5	69.5	Medium
ENSG00000000457	SCYL3	3.6	11.4	Low
ENSG00000000460	C1orf112	12.5	3.2	Medium
ENSG00000000938	FGR	0.0	1.3	Not detected
ENSG00000000971	CFH	0.0	844.7	Not detected
ENSG00000001036	FUCA2	173.7	33.0	Not detected
ENSG00000001084	GCLC	128.3	106.2	Medium
ENSG00000001167	NFYA	42.1	6.9	Not detected
ENSG00000001460	STPG1	2.0	1.9	
ENSG00000001461	NIPAL3	5.8	4.4	Medium
ENSG00000001497	LAS1L	29.0	12.9	Medium
ENSG00000001561	ENPP4	0.0	9.6	Medium
ENSG00000001617	SEMA3F	22.0	0.6	Low
ENSG00000001626	CFTR	0.0	0.4	Not detected
ENSG00000001629	ANKIB1	11.6	14.3	Medium
ENSG00000001630	CYP51A1	108.7	36.9	Not detected
ENSG00000001631	KRIT1	16.6	9.8	Not detected
ENSG00000002016	RAD52	9.0	2.5	
ENSG00000002330	BAD	29.0	53.3	Medium
ENSG00000002549	LAP3	115.3	104.1	High
ENSG00000002586	CD99	364.9	120.6	Not detected
ENSG00000002587	HS3ST1	0.0	0.5	Not detected
ENSG00000002726	AOC1	0.0	0.0	Not detected
ENSG00000002745	WNT16	0.0	0.0	
ENSG00000002746	HECW1	0.2	0.0	Low
ENSG00000002822	MAD1L1	40.5	2.7	Low
ENSG00000002834	LASP1	202.3	100.9	Low
ENSG00000002919	SNX11	16.7	6.2	Not detected
ENSG00000002933	TMEM176A	0.0	1038.0	High
ENSG00000003056	M6PR	113.4	26.6	High
ENSG00000003096	KLHL13	0.3	1.1	Medium
ENSG00000003137	CYP26B1	0.4	1.0	Medium
ENSG00000003147	ICA1	0.0	1.1	Low
ENSG00000003249	DBNDD1	54.0	1.8	Medium
ENSG00000003393	ALS2	7.2	20.6	Medium
