Enesembl ID	Gene
ENSG00000179698	WDR97
ENSG00000272297	AC018709.1
ENSG00000170925	TEX13B
ENSG00000186191	BPIFB4
ENSG00000211918	IGHD2-15
ENSG00000160307	S100B
ENSG00000075388	FGF4
ENSG00000054803	CBLN4
ENSG00000183486	MX2
ENSG00000165805	C12orf50
ENSG00000288053	AC231657.3
ENSG00000205439	KRTAP12-3
ENSG00000162490	DRAXIN
ENSG00000170948	MBD3L1
ENSG00000258472	AC005726.1
ENSG00000205642	VCX3B
ENSG00000121101	TEX14
ENSG00000183844	FAM3B
ENSG00000117501	MROH9
ENSG00000159648	TEPP
ENSG00000214216	IQCJ
ENSG00000167355	OR51B5
ENSG00000118308	IRAG2
ENSG00000152430	BOLL
ENSG00000262152	LINC00514
ENSG00000285585	AC069444.2
ENSG00000285655	AC009879.2
ENSG00000227191	TRGC2
ENSG00000167580	AQP2
ENSG00000146192	FGD2
ENSG00000158748	HTR6
ENSG00000068976	PYGM
ENSG00000178021	TSPYL6
ENSG00000042832	TG
ENSG00000164485	IL22RA2
ENSG00000211825	TRDJ1
ENSG00000131183	SLC34A1
ENSG00000072952	IRAG1
ENSG00000160185	UBASH3A
ENSG00000134571	MYBPC3
ENSG00000073734	ABCB11
ENSG00000269096	CT45A3
ENSG00000255398	HCAR3
ENSG00000180386	KRTAP9-7
ENSG00000140798	ABCC12
ENSG00000256870	SLC5A8
ENSG00000174358	SLC6A19
ENSG00000138136	LBX1
ENSG00000167139	TBC1D21
ENSG00000211893	IGHG2
ENSG00000171540	OTP
ENSG00000161896	IP6K3
ENSG00000134398	ERN2
ENSG00000211899	IGHM
ENSG00000125508	SRMS
ENSG00000125975	C20orf173
ENSG00000212899	KRTAP3-3
ENSG00000242866	STRC
ENSG00000101251	SEL1L2
ENSG00000101331	CCM2L
ENSG00000184788	SATL1
ENSG00000174667	OR7D4
ENSG00000077274	CAPN6
ENSG00000180875	GREM2
ENSG00000125816	NKX2-4
ENSG00000241233	KRTAP5-8
ENSG00000242515	UGT1A10
ENSG00000139219	COL2A1
ENSG00000116703	PDC
ENSG00000151572	ANO4
ENSG00000171446	KRT27
ENSG00000270467	IGHV3OR16-12
ENSG00000124827	GCM2
ENSG00000187959	CPSF4L
ENSG00000211808	TRAV8-7
ENSG00000212657	KRTAP16-1
ENSG00000174429	ABRA
ENSG00000109424	UCP1
ENSG00000149516	MS4A3
ENSG00000183833	CFAP91
ENSG00000133742	CA1
ENSG00000124116	WFDC3
ENSG00000254167	IGHV8-51-1
ENSG00000155011	DKK2
ENSG00000172538	FAM170B
ENSG00000206150	RNASE13
ENSG00000160505	NLRP4
ENSG00000151025	GPR158
ENSG00000196289	BECN2
ENSG00000243978	RTL9
ENSG00000111796	KLRB1
ENSG00000229769	TRBV10-2
ENSG00000109205	ODAM
ENSG00000196329	GIMAP5
ENSG00000163206	SMCP
ENSG00000187082	DEFB106B
ENSG00000114757	PEX5L
ENSG00000277322	GOLGA6L6
ENSG00000122121	XPNPEP2
ENSG00000286098	AC008770.4
ENSG00000151967	SCHIP1
ENSG00000081189	MEF2C
ENSG00000183246	RIMBP3C
ENSG00000212721	KRTAP4-11
ENSG00000162399	BSND
ENSG00000183753	BPY2
ENSG00000204548	DEFB121
ENSG00000085563	ABCB1
ENSG00000189013	KIR2DL4
ENSG00000145283	SLC10A6
ENSG00000211879	TRAJ10
ENSG00000283528	TCAF2C
ENSG00000223614	ZNF735
ENSG00000143869	GDF7
ENSG00000205126	ACCSL
ENSG00000187701	OR2T27
ENSG00000188324	OR6C6
ENSG00000196800	SPINK14
ENSG00000171954	CYP4F22
ENSG00000231824	AKAIN1
ENSG00000198851	CD3E
ENSG00000176893	OR51G2
ENSG00000173826	KCNH6
ENSG00000129864	VCY
ENSG00000136514	RTP4
ENSG00000284546	SSU72P3
ENSG00000285010	OOSP4A
ENSG00000283703	VSIG10L2
ENSG00000288661	AL451106.1
ENSG00000170279	C7orf33
ENSG00000180269	GPR139
ENSG00000196188	CTSE
ENSG00000188886	ASTL
ENSG00000131044	TTLL9
ENSG00000137392	CLPS
ENSG00000176679	TGIF2LY
ENSG00000168070	MAJIN
ENSG00000180871	CXCR2
ENSG00000288631	AC012254.7
ENSG00000125888	BANF2
ENSG00000203963	C1orf141
ENSG00000206069	TMEM211
ENSG00000106304	SPAM1
ENSG00000106772	PRUNE2
ENSG00000166391	MOGAT2
ENSG00000184350	MRGPRE
ENSG00000163424	TEX55
ENSG00000211734	TRBV5-1
ENSG00000240386	LCE1F
ENSG00000286137	SPDYE14
ENSG00000120337	TNFSF18
ENSG00000102313	ITIH6
ENSG00000198283	OR5B21
ENSG00000178372	CALML5
ENSG00000203857	HSD3B1
ENSG00000285447	ZNF883
ENSG00000154654	NCAM2
ENSG00000185610	DBX2
ENSG00000143851	PTPN7
ENSG00000198336	MYL4
ENSG00000151838	CCDC175
ENSG00000153002	CPB1
ENSG00000232258	TMEM114
ENSG00000164871	SPAG11B
ENSG00000164283	ESM1
ENSG00000182885	ADGRG3
ENSG00000171772	SYCE1
ENSG00000204021	LIPK
ENSG00000270249	AC093668.1
ENSG00000169876	MUC17
ENSG00000131142	CCL25
ENSG00000228486	C2orf92
ENSG00000160181	TFF2
ENSG00000243284	VSIG8
ENSG00000211676	IGLJ2
ENSG00000111341	MGP
ENSG00000211678	IGLJ3
ENSG00000162951	LRRTM1
ENSG00000184293	CLECL1
ENSG00000272636	DOC2B
ENSG00000169154	GOT1L1
ENSG00000181291	TMEM132E
ENSG00000174807	CD248
ENSG00000109101	FOXN1
ENSG00000124019	FAM124B
ENSG00000180785	OR51E1
ENSG00000170374	SP7
ENSG00000151067	CACNA1C
ENSG00000036448	MYOM2
ENSG00000164116	GUCY1A1
ENSG00000198633	ZNF534
ENSG00000154764	WNT7A
ENSG00000198870	STKLD1
ENSG00000172399	MYOZ2
ENSG00000205810	KLRC3
ENSG00000248993	AL645941.2
ENSG00000145975	FAM217A
ENSG00000189181	OR14I1
ENSG00000018625	ATP1A2
ENSG00000091482	SMPX
ENSG00000163285	GABRG1
ENSG00000176198	OR11H4
ENSG00000151812	SLC35F4
ENSG00000112116	IL17F
ENSG00000109047	RCVRN
ENSG00000185966	LCE3E
ENSG00000180697	C3orf22
ENSG00000114786	ABHD14A-ACY1
ENSG00000211859	TRAJ30
ENSG00000227059	ANHX
ENSG00000198797	BRINP2
ENSG00000251357	AP000350.4
ENSG00000262543	SMIM28
ENSG00000274209	ANTXRL
ENSG00000114487	MORC1
ENSG00000162571	TTLL10
ENSG00000221887	HMSD
ENSG00000178645	C10orf53
ENSG00000225698	IGHV3-72
ENSG00000126010	GRPR
ENSG00000141579	ZNF750
ENSG00000143921	ABCG8
ENSG00000235631	RNF148
ENSG00000154143	PANX3
ENSG00000107859	PITX3
ENSG00000180730	SHISA2
ENSG00000172752	COL6A5
ENSG00000211892	IGHG4
ENSG00000188909	BSX
ENSG00000142224	IL19
ENSG00000102032	RENBP
ENSG00000113088	GZMK
ENSG00000229453	SPINK8
ENSG00000119919	NKX2-3
ENSG00000100156	SLC16A8
ENSG00000179172	HNRNPCL1
ENSG00000183862	CNGA2
ENSG00000180383	DEFB124
ENSG00000144820	ADGRG7
ENSG00000197054	ZNF763
ENSG00000183629	GOLGA8G
ENSG00000211831	TRAJ61
ENSG00000185880	TRIM69
ENSG00000170162	VGLL2
ENSG00000171956	FOXB1
ENSG00000122735	DNAI1
ENSG00000142182	DNMT3L
ENSG00000145879	SPINK7
ENSG00000102021	LUZP4
ENSG00000153779	TGIF2LX
ENSG00000168843	FSTL5
ENSG00000176200	OR4D11
ENSG00000273274	ZBTB8B
ENSG00000231637	USP17L29
ENSG00000203985	LDLRAD1
ENSG00000154611	PSMA8
ENSG00000172150	OR1A2
ENSG00000177186	OR2M7
ENSG00000186439	TRDN
ENSG00000104313	EYA1
ENSG00000205718	MBD3L4
ENSG00000167941	SOST
ENSG00000105398	SULT2A1
ENSG00000160539	PLPP7
ENSG00000166342	NETO1
ENSG00000091664	SLC17A6
ENSG00000215183	MSMP
ENSG00000275302	CCL4
ENSG00000171201	SMR3B
ENSG00000236424	TSPY10
ENSG00000204301	NOTCH4
ENSG00000146383	TAAR6
ENSG00000136695	IL36RN
ENSG00000136939	OR1L4
ENSG00000242852	ZNF709
ENSG00000164946	FREM1
ENSG00000143171	RXRG
ENSG00000142538	PTH2
ENSG00000284629	SCYGR1
ENSG00000174004	NRROS
ENSG00000187922	LCN10
ENSG00000117069	ST6GALNAC5
ENSG00000174450	GOLGA6L2
ENSG00000089472	HEPH
ENSG00000241244	IGKV1D-16
ENSG00000198704	GPX6
ENSG00000277556	OR13C5
ENSG00000239571	IGKV2D-30
ENSG00000139055	ERP27
ENSG00000187026	KRTAP21-2
ENSG00000211937	IGHV2-5
ENSG00000198798	MAGEB3
ENSG00000111046	MYF6
ENSG00000106819	ASPN
ENSG00000227140	USP17L5
ENSG00000073861	TBX21
ENSG00000228927	TSPY3
ENSG00000187612	OR5W2
ENSG00000181631	P2RY13
ENSG00000211827	TRDJ2
ENSG00000214511	HIGD1C
ENSG00000177301	KCNA2
ENSG00000167554	ZNF610
ENSG00000144035	NAT8
ENSG00000185052	SLC24A3
ENSG00000187980	PLA2G2C
ENSG00000188032	C19orf67
ENSG00000151033	LYZL2
ENSG00000136059	VILL
ENSG00000162998	FRZB
ENSG00000179761	PIPOX
ENSG00000171804	WDR87
ENSG00000183747	ACSM2A
ENSG00000206113	CFAP99
ENSG00000120329	SLC25A2
ENSG00000104369	JPH1
ENSG00000173208	ABCD2
ENSG00000171944	OR52A5
ENSG00000196735	HLA-DQA1
ENSG00000135063	FAM189A2
ENSG00000163106	HPGDS
ENSG00000223997	TRDD1
ENSG00000180316	PNPLA1
ENSG00000130368	MAS1
ENSG00000187080	OR2AK2
ENSG00000189253	TRIM64B
ENSG00000171060	C8orf74
ENSG00000165841	CYP2C19
ENSG00000144331	ZNF385B
ENSG00000112936	C7
ENSG00000158481	CD1C
ENSG00000204644	ZFP57
ENSG00000230031	POTEB2
ENSG00000177551	NHLH2
ENSG00000198173	FAM47C
ENSG00000174937	OR5M3
ENSG00000282757	DUXB
ENSG00000149300	C11orf52
ENSG00000175707	KDF1
ENSG00000169488	OR4K15
ENSG00000211806	TRAV25
ENSG00000185176	AQP12B
ENSG00000285891	MSANTD5
ENSG00000140279	DUOX2
ENSG00000101425	BPI
ENSG00000211790	TRAV8-4
ENSG00000204928	GRXCR2
ENSG00000162706	CADM3
ENSG00000231475	IGHV4-31
ENSG00000233803	TSPY4
ENSG00000279111	OR10X1
ENSG00000250298	GIMD1
ENSG00000205330	OR6C1
ENSG00000211947	IGHV3-21
ENSG00000146469	VIP
