Enesembl ID	Gene
ENSG00000157005	SST
ENSG00000214518	KRTAP2-2
ENSG00000261649	GOLGA6L7
ENSG00000221852	KRTAP1-5
ENSG00000169327	OR5AU1
ENSG00000179213	SIGLECL1
ENSG00000211886	TRAJ3
ENSG00000211869	TRAJ20
ENSG00000260458	KCNJ18
ENSG00000123171	CCDC70
ENSG00000169397	RNASE3
ENSG00000285814	FAM90A14P
ENSG00000166143	PPP1R14D
ENSG00000188674	C2orf80
ENSG00000227059	ANHX
ENSG00000067646	ZFY
ENSG00000144407	PTH2R
ENSG00000181499	OR6T1
ENSG00000187566	NHLRC1
ENSG00000204161	TMEM273
ENSG00000134489	HRH4
ENSG00000235711	ANKRD34C
ENSG00000137709	POU2F3
ENSG00000164694	FNDC1
ENSG00000168754	FAM178B
ENSG00000100341	PNPLA5
ENSG00000152034	MCHR2
ENSG00000130383	FUT5
ENSG00000143631	FLG
ENSG00000285566	AL445238.1
ENSG00000089012	SIRPG
ENSG00000181963	OR52K2
ENSG00000160224	AIRE
ENSG00000270467	IGHV3OR16-12
ENSG00000185873	TMPRSS11B
ENSG00000169704	GP9
ENSG00000151418	ATP6V1G3
ENSG00000224373	IGHV4-59
ENSG00000125798	FOXA2
ENSG00000145708	CRHBP
ENSG00000211651	IGLV1-44
ENSG00000163518	FCRL4
ENSG00000204193	TXNDC8
ENSG00000121904	CSMD2
ENSG00000161021	MAML1
ENSG00000176083	ZNF683
ENSG00000188771	PLET1
ENSG00000151490	PTPRO
ENSG00000129204	USP6
ENSG00000214216	IQCJ
ENSG00000164270	HTR4
ENSG00000155052	CNTNAP5
ENSG00000167208	SNX20
ENSG00000197208	SLC22A4
ENSG00000275722	LYZL6
ENSG00000146047	H2BC1
ENSG00000135373	EHF
ENSG00000182177	ASB18
ENSG00000080573	COL5A3
ENSG00000283654	LMLN2
ENSG00000175697	GPR156
ENSG00000205445	KRTAP10-2
ENSG00000182798	MAGEB17
ENSG00000171759	PAH
ENSG00000196440	ARMCX4
ENSG00000112273	HDGFL1
ENSG00000205336	ADGRG1
ENSG00000157017	GHRL
ENSG00000204420	MPIG6B
ENSG00000128052	KDR
ENSG00000164113	ADAD1
ENSG00000153060	TEKT5
ENSG00000284895	AC119676.1
ENSG00000152969	JAKMIP1
ENSG00000164318	EGFLAM
ENSG00000114812	VIPR1
ENSG00000130368	MAS1
ENSG00000159763	PIP
ENSG00000103310	ZP2
ENSG00000146383	TAAR6
ENSG00000174016	TENT5D
ENSG00000127241	MASP1
ENSG00000168427	KLHL30
ENSG00000198010	DLGAP2
