Enesembl ID	Gene
ENSG00000163519	TRAT1
ENSG00000213417	KRTAP2-4
ENSG00000179673	RPRML
ENSG00000256394	ASIC5
ENSG00000270806	C17orf50
ENSG00000040731	CDH10
ENSG00000257987	TEX49
ENSG00000185634	SHC4
ENSG00000074276	CDHR2
ENSG00000169208	OR10G3
ENSG00000054803	CBLN4
ENSG00000184560	SPEM2
ENSG00000284484	AC025287.4
ENSG00000162621	LRRC53
ENSG00000166342	NETO1
ENSG00000178358	OR2D3
ENSG00000113303	BTNL8
ENSG00000140749	IGSF6
ENSG00000181631	P2RY13
ENSG00000211938	IGHV3-7
ENSG00000279395	OR5L1
ENSG00000283776	TAF11L13
ENSG00000230430	USP17L25
ENSG00000111199	TRPV4
ENSG00000164749	HNF4G
ENSG00000179172	HNRNPCL1
ENSG00000164744	SUN3
ENSG00000204252	HLA-DOA
ENSG00000108417	KRT37
ENSG00000142449	FBN3
ENSG00000196172	ZNF681
ENSG00000167531	LALBA
ENSG00000178796	RIIAD1
ENSG00000198471	RTP2
ENSG00000197238	H4C11
ENSG00000169248	CXCL11
ENSG00000169488	OR4K15
ENSG00000188655	RNASE9
ENSG00000122420	PTGFR
ENSG00000227196	IGHD4-23
ENSG00000165799	RNASE7
ENSG00000197360	ZNF98
ENSG00000106128	GHRHR
ENSG00000211833	TRAJ58
ENSG00000009709	PAX7
ENSG00000227729	RD3L
ENSG00000167104	BPIFB6
ENSG00000185294	SPPL2C
ENSG00000158901	WFDC8
ENSG00000255569	TRAV1-1
ENSG00000185304	RGPD2
ENSG00000197430	OPALIN
ENSG00000183798	EMILIN3
ENSG00000172554	SNTG2
ENSG00000240432	KRTAP13-3
ENSG00000183310	OR2T34
ENSG00000183580	FBXL7
ENSG00000163508	EOMES
ENSG00000174521	TTC9B
ENSG00000184032	KRTAP20-2
ENSG00000145692	BHMT
ENSG00000064835	POU1F1
ENSG00000158077	NLRP14
ENSG00000235034	C19orf81
ENSG00000166884	OR4D6
ENSG00000240386	LCE1F
ENSG00000105251	SHD
ENSG00000130656	HBZ
ENSG00000162641	AKNAD1
ENSG00000196228	SULT1C3
ENSG00000134460	IL2RA
ENSG00000175868	CALCB
ENSG00000124602	UNC5CL
ENSG00000222038	POTEJ
ENSG00000282872	C1orf232
ENSG00000162753	SLC9C2
ENSG00000230054	TEX53
ENSG00000169744	LDB2
ENSG00000185274	GALNT17
ENSG00000124449	IRGC
ENSG00000166984	TCP10L2
ENSG00000160883	HK3
ENSG00000129455	KLK8
ENSG00000149609	C20orf144
ENSG00000186038	HTR3E
ENSG00000184650	ODF4
ENSG00000189099	PRSS48
ENSG00000187474	FPR3
ENSG00000118231	CRYGD
ENSG00000224659	GAGE12J
ENSG00000145850	TIMD4
ENSG00000227507	LTB
ENSG00000232258	TMEM114
ENSG00000075035	WSCD2
ENSG00000239732	TLR9
ENSG00000120952	PRAMEF2
ENSG00000180644	PRF1
ENSG00000095917	TPSD1
ENSG00000257591	ZNF625
ENSG00000211667	IGLV3-12
ENSG00000257335	MGAM
ENSG00000146006	LRRTM2
ENSG00000168158	OR2C1
ENSG00000147869	CER1
ENSG00000117600	PLPPR4
ENSG00000171115	GIMAP8
ENSG00000143631	FLG
ENSG00000271178	IGHV3OR16-13
ENSG00000235942	LCE6A
ENSG00000160111	CPAMD8
ENSG00000244411	KRTAP5-7
ENSG00000165061	ZMAT4
ENSG00000173421	IHO1
ENSG00000242766	IGKV1D-17
ENSG00000125522	NPBWR2
ENSG00000157502	PWWP3B
ENSG00000282278	AC058822.1
ENSG00000211973	IGHV1-69
ENSG00000249931	GOLGA8K
ENSG00000165443	PHYHIPL
