Enesembl ID	Gene
ENSG00000178882	RFLNA
ENSG00000172985	SH3RF3
ENSG00000196218	RYR1
ENSG00000123171	CCDC70
ENSG00000205363	INSYN1
ENSG00000115705	TPO
ENSG00000169129	AFAP1L2
ENSG00000235942	LCE6A
ENSG00000215182	MUC5AC
ENSG00000270765	GAS2L2
ENSG00000189433	GJB4
ENSG00000171189	GRIK1
ENSG00000162426	SLC45A1
ENSG00000185294	SPPL2C
ENSG00000211633	IGKV1D-42
ENSG00000149021	SCGB1A1
ENSG00000130656	HBZ
ENSG00000173401	GLIPR1L1
ENSG00000143595	AQP10
ENSG00000204548	DEFB121
ENSG00000213085	CFAP45
ENSG00000178033	CALHM5
ENSG00000167434	CA4
ENSG00000169031	COL4A3
ENSG00000163295	ALPI
ENSG00000148386	LCN9
ENSG00000116996	ZP4
ENSG00000244395	RBMY1D
ENSG00000157060	SHCBP1L
ENSG00000187642	PERM1
ENSG00000183638	RP1L1
ENSG00000170477	KRT4
ENSG00000115616	SLC9A2
ENSG00000239961	LILRA4
ENSG00000010282	HHATL
ENSG00000183770	FOXL2
ENSG00000147081	AKAP4
ENSG00000186393	KRT26
ENSG00000126262	FFAR2
ENSG00000159871	LYPD5
ENSG00000214107	MAGEB1
ENSG00000205420	KRT6A
ENSG00000137203	TFAP2A
ENSG00000183166	CALN1
ENSG00000138435	CHRNA1
ENSG00000224041	IGKV3D-15
ENSG00000184388	PABPC1L2B
ENSG00000164756	SLC30A8
ENSG00000211625	IGKV3D-20
ENSG00000171595	DNAI2
ENSG00000183423	LRIT3
ENSG00000243480	AMY2A
ENSG00000242076	IGKV1-33
ENSG00000186867	QRFPR
ENSG00000134007	ADAM20
ENSG00000203867	RBM20
ENSG00000204347	BTBD17
ENSG00000242362	CT47A2
ENSG00000168269	FOXI1
ENSG00000150201	FXYD4
ENSG00000092345	DAZL
ENSG00000148053	NTRK2
ENSG00000118231	CRYGD
ENSG00000152611	CAPSL
ENSG00000144406	UNC80
ENSG00000176136	MC5R
ENSG00000186265	BTLA
ENSG00000189064	GAGE2A
ENSG00000183307	TMEM121B
ENSG00000188778	ADRB3
ENSG00000117598	PLPPR5
ENSG00000278289	CT45A6
ENSG00000124507	PACSIN1
ENSG00000122733	PHF24
ENSG00000185069	KRT76
ENSG00000204296	TSBP1
ENSG00000081277	PKP1
ENSG00000139200	PIANP
ENSG00000125851	PCSK2
ENSG00000064270	ATP2C2
ENSG00000268009	SSX4
ENSG00000197653	DNAH10
ENSG00000124812	CRISP1
ENSG00000036565	SLC18A1
ENSG00000183760	ACP7
ENSG00000151704	KCNJ1
ENSG00000124237	C20orf85
ENSG00000180785	OR51E1
ENSG00000206073	SERPINB4
ENSG00000118432	CNR1
ENSG00000198729	PPP1R14C
ENSG00000145864	GABRB2
ENSG00000171478	SPACA5B
ENSG00000150510	FAM124A
ENSG00000251546	IGKV1D-39
ENSG00000140478	GOLGA6D
ENSG00000170390	DCLK2
ENSG00000174885	NLRP6
ENSG00000188011	RTP5
ENSG00000178796	RIIAD1
ENSG00000155961	RAB39B
ENSG00000185988	PLK5
ENSG00000073756	PTGS2
ENSG00000128482	RNF112
ENSG00000203805	PLPP4
ENSG00000167653	PSCA
ENSG00000183960	KCNH8
ENSG00000130377	ACSBG2
ENSG00000186572	DEFB107A
ENSG00000183318	SPDYE4
ENSG00000169059	VCX3A
ENSG00000171094	ALK
ENSG00000129455	KLK8
ENSG00000197467	COL13A1
ENSG00000145526	CDH18
ENSG00000104921	FCER2
ENSG00000170486	KRT72
ENSG00000179142	CYP11B2
ENSG00000112499	SLC22A2
ENSG00000197826	CFAP299
ENSG00000214376	VSTM5
ENSG00000233999	IGKV3OR2-268
ENSG00000196664	TLR7
ENSG00000204612	FOXB2
ENSG00000136244	IL6
ENSG00000124818	OPN5
ENSG00000149380	P4HA3
ENSG00000134200	TSHB
ENSG00000171431	KRT20
ENSG00000253457	SMIM18
ENSG00000100146	SOX10
ENSG00000187581	COX8C
ENSG00000113722	CDX1
ENSG00000184148	SPRR4
ENSG00000222028	PSMB11
ENSG00000212725	KRTAP2-1
ENSG00000137634	NXPE4
ENSG00000171509	RXFP1
ENSG00000173557	FAM166C
ENSG00000143107	FNDC7
ENSG00000178031	ADAMTSL1
ENSG00000172399	MYOZ2
ENSG00000183347	GBP6
ENSG00000164334	FAM170A
ENSG00000180871	CXCR2
ENSG00000174562	KLK15
ENSG00000077009	NMRK2
ENSG00000125780	TGM3
ENSG00000170423	KRT78
ENSG00000204897	KRT25
ENSG00000165966	PDZRN4
ENSG00000230347	CT47A8
ENSG00000132702	HAPLN2
ENSG00000242550	SERPINB10
ENSG00000160683	CXCR5
ENSG00000240864	IGKV1-16
