,go_feature_0,go_feature_1,go_feature_2,go_feature_3,go_feature_4,go_feature_5,go_feature_6,go_feature_7,go_feature_8,go_feature_9,go_feature_10,go_feature_11,go_feature_12,go_feature_13,go_feature_14,go_feature_15,go_feature_16,go_feature_17,go_feature_18,go_feature_19,go_feature_20,go_feature_21,go_feature_22,go_feature_23,go_feature_24,go_feature_25,go_feature_26,go_feature_27,go_feature_28,go_feature_29,go_feature_30,go_feature_31,go_feature_32,go_feature_33,go_feature_34,go_feature_35,go_feature_36,go_feature_37,go_feature_38,go_feature_39,go_feature_40,go_feature_41,go_feature_42,go_feature_43,go_feature_44,go_feature_45,go_feature_46,go_feature_47,go_feature_48,go_feature_49,go_feature_50,go_feature_51,go_feature_52,go_feature_53,go_feature_54,go_feature_55,go_feature_56,go_feature_57,go_feature_58,go_feature_59,go_feature_60,go_feature_61,go_feature_62,go_feature_63,string_id
ZG16B,0.243309945,0.017081099,0.231886029,0.238845229,0.105166145,-0.604047656,0.320596963,0.38511765,-0.042799976,-0.22712329,0.047433816,-0.095401399,0.073384762,0.238794252,-0.175060064,0.049663492,-0.049559459,0.297220737,-0.181329891,-0.271769524,0.135823295,0.470837384,0.759827435,0.166394666,0.330530792,0.090497136,0.211916134,0.030191939,-0.534068644,0.473284364,0.189452812,0.126596674,-0.13425976,0.056273419,-0.235095561,-0.002849692,-0.116435938,0.253182203,0.072198562,-0.324583501,-0.169146016,-0.984862924,-0.244502544,-0.167479798,0.070033044,-0.159601241,-0.177655876,0.055593546,0.122438937,-0.65222615,0.612971902,-0.097159624,-0.216541246,0.171527609,0.241351321,-0.854788005,0.488058358,0.054267835,0.093987793,-0.412401408,-0.076843582,-0.202892542,-0.194921434,-0.133581907,9606.ENSP00000371715
THPO,0.215454087,0.729857624,0.713268876,-0.140517607,-0.364618093,-0.03086431,-0.152079836,0.106151924,0.499471009,0.713790059,0.143010914,-0.015277265,-0.213072568,0.251515687,0.254511267,0.017548496,-0.019579645,-0.022174701,0.219456017,-0.027168738,0.118442275,0.128932729,0.18955414,-0.000599195,-0.315909803,-0.004309467,0.070241742,-0.588768661,0.105722792,-0.23118782,-0.15636909,0.037334614,-0.134261876,-0.172702894,-0.511956751,0.202223018,-0.114891119,0.142787263,0.347415835,-0.450108081,0.374287158,0.575830638,-0.450829804,-0.121140651,0.122733079,-0.171901554,-0.53986305,-0.376851261,-0.278290778,0.001220577,0.387632579,0.236152008,-0.215531707,-0.19211787,0.239892453,0.004889681,0.10052155,-0.359332204,0.183074772,-0.160404876,0.095560662,0.491139174,0.110175118,-0.066833451,9606.ENSP00000204615
DLL3,-0.034655564,-0.200357765,0.060923014,-0.176762432,-0.102428906,-0.255713642,0.133956283,-0.143997446,-0.222992912,0.050405264,-0.139246926,-0.129965663,0.190179765,-0.076061539,-0.074405,-0.008436115,-0.086809501,-0.163534313,-0.164560601,0.14263922,0.013282073,0.030712495,-0.137852773,-0.136899531,-0.06750568,-0.152407303,0.148813203,0.110479899,0.030224895,-0.009534381,0.057168759,-0.129975826,0.261682302,0.280812711,-0.193031281,0.224462032,0.034114193,-0.548808694,0.034062505,0.01566172,0.020028681,0.052909292,0.176905558,0.069619454,-0.01737567,-0.072984956,-0.121321037,-0.131695658,-0.084621333,-0.03169518,-0.295998663,-0.174608022,0.049162917,-0.045986094,0.077591762,0.101560384,0.085742384,-0.081591509,0.13415648,-0.34647429,-0.106658027,0.142767027,0.346172422,0.060236901,9606.ENSP00000205143
ZNF735P,0.014511442,-0.594220459,-0.081979878,-0.185014874,0.093769543,0.192562565,-0.384222418,-0.099123903,-0.474966496,-0.114695609,0.35346657,-0.188719437,0.114035815,-0.023496307,1.256791949,-0.198741108,0.044014517,-0.17581743,0.335215122,0.070989244,-0.19121483,-0.169841319,-0.00839611,0.242263243,-0.245026365,0.03494896,0.211035073,0.498026371,0.230500564,-0.059934895,0.299140185,0.057710301,-0.009172026,-0.129962027,-0.097455718,-0.0494987,-0.073662579,0.195141524,0.335665524,-0.023907796,-0.107134357,0.126290023,-0.139726281,0.164334863,0.24545534,-0.473313987,0.091255702,0.044538409,0.120682053,-0.25596717,-0.094483152,0.280712396,-0.063967101,0.009123906,-1.031360984,-0.100635566,1.181545258,0.090381332,-0.031831078,0.08281856,-0.231355116,0.189842969,0.001462013,-0.280016363,9606.ENSP00000485193
EXTL2,-0.052427411,0.319686949,0.218829334,-0.192550451,0.019405758,-0.078221567,0.0669806,-0.123743169,0.003839258,-0.147340879,-0.078233376,-0.159322783,0.086653374,0.308433324,-0.044749007,0.199238256,-0.264906019,-0.131750479,-0.282423228,0.046008818,0.224059492,0.049882278,0.139958277,-0.219170168,-0.152401209,-0.002387245,-0.193177864,0.204505652,-0.150883764,0.151834458,0.069754459,0.131426156,-0.209655672,-0.262084305,-0.133977994,0.027124992,-0.171426281,0.110731021,-0.069146596,0.214556113,-0.131599933,-0.053298037,0.006272146,0.075799674,-0.11062938,-0.041783959,0.184678912,0.012262078,-0.023807354,-0.223169059,-0.082710415,0.189086869,0.137488171,-0.050708693,-0.017038254,0.10546682,-0.126698688,0.186471075,-0.210420489,-0.117779545,-0.25471589,0.014208354,-0.093510702,-0.197033644,9606.ENSP00000359132
ZNF71,0.04265872,0.029988809,-0.168474674,0.555306494,-0.015887713,-0.158280686,0.105299942,0.135377601,-0.043811526,-0.041945763,-0.113102019,0.340935618,0.179398879,0.147158638,-0.009605866,0.020828905,0.021163823,-0.142071754,0.227819443,0.282635003,-1.013661385,0.067712627,0.251173496,0.215727866,0.190657213,0.358387858,-0.199089676,0.283969343,0.123598784,-0.174793094,-0.590379417,0.107532099,-0.137181401,-0.194944233,-0.102052636,0.39910236,-0.049730781,-0.115605615,-0.083724231,-0.583569407,0.081887312,-0.143837303,-0.167307913,0.031095531,-0.042476945,0.032713097,-0.248843342,0.164034367,-0.111992255,0.524590373,0.092285678,-0.270458728,-0.285490155,-0.359685928,0.010968663,0.193545714,-0.144252196,-0.159357667,-1.36239624,0.036994632,-0.326239139,0.385376632,0.130809292,0.067637734,9606.ENSP00000328245
LRRC8D,0.262061089,-0.034093931,0.025903402,-0.650910258,-0.100770362,0.447877705,0.050810378,0.170036241,0.135687619,0.142122313,-0.230879307,-0.577087462,-0.141233444,-0.234010011,0.176402718,0.201331317,0.104412667,-0.148629352,0.217546597,0.525279522,-0.083643943,-0.060159683,0.009354425,-0.47166732,-0.090705834,0.488130033,0.304497331,0.33440426,0.233536094,0.068837807,-0.370227575,0.153351724,0.013835758,1.083136916,0.085011922,0.005314963,0.231131852,0.171018258,-0.380010903,-0.212981671,-0.142272204,-0.248644367,-0.328548223,-0.043559399,-0.526034296,0.336005598,-0.088251889,0.240515172,-0.018150471,-0.228035972,-0.514116406,0.103632778,0.509825349,0.226660714,0.025752582,0.086413324,0.082984895,-0.169702083,0.224599913,-0.852140546,-0.265122324,-0.426186919,-0.026374742,-0.485573381,9606.ENSP00000338887
PLA2G4C,0.339817315,0.030970391,0.058538128,0.317645431,-0.032934457,0.022982512,0.277605116,-0.048005678,0.032286271,-0.019245621,-0.025662564,-0.229688838,-0.124135688,0.018987639,0.036762748,-0.255298615,-0.04480356,-0.090393662,0.174637303,0.208091557,-0.156409681,0.192941457,-0.735951006,-0.270284176,-0.366501451,-0.019414928,-0.331846446,0.071163699,0.223062456,-0.039602976,-0.239494473,-0.043990001,0.202624753,-0.349407256,0.130972683,0.367640227,-0.528432846,0.80216068,0.155623227,-0.004438531,-0.008033279,-0.029950306,-0.039180409,-0.183593512,0.292219311,0.062185761,-0.104926214,-0.152824506,0.075880431,-0.107488587,-0.130455896,0.204297855,-0.104420446,0.062449407,-0.014683914,-0.05338984,-0.184389055,-0.334084243,0.559825301,0.125911623,0.002853619,0.020857051,0.327077538,0.034485087,9606.ENSP00000472546
ANKEF1,-0.180710688,0.142364934,0.063578382,-0.249644861,0.048605263,-0.335138172,0.111211471,-9.52E-05,0.250380784,-0.029840667,-0.848152637,-0.200454667,0.113640539,-0.03922496,-0.261057556,-0.696119905,-0.011576535,-0.259234995,0.011783915,0.392431051,0.213790208,-0.707942367,0.494456619,-0.080549389,0.097340912,-0.131980553,0.131270126,0.10543476,0.148182362,-0.235562533,-0.06667988,-0.028626531,0.239099786,0.014143243,0.063330106,0.005754273,-0.016421396,0.024002975,-0.642642438,0.394961983,-0.227790669,0.525027812,0.551469564,0.092922159,-0.098067239,0.058281947,-0.471066982,-0.351912856,-0.163327783,-0.062047578,0.424539804,-0.15507479,-0.00791833,-0.12110316,0.222370192,-0.116118312,0.314769447,0.297130823,-0.137987435,0.187338024,-0.133050859,0.024654863,0.038430378,-0.528451085,9606.ENSP00000367631
HOXA11,-0.182991043,-0.459911048,-0.0134461,0.214673653,0.001499846,-0.560881972,-0.256278068,-0.273654908,0.317378104,0.480297267,0.125307187,0.34662661,0.053202093,0.023740863,-0.09690433,0.214902014,0.140652344,0.462311208,0.067588389,0.511670709,0.273642957,0.261881232,-0.029856879,0.38374573,0.287463516,0.075798161,-0.153263777,0.368737817,0.069814824,0.210654408,-0.341730773,0.220959082,0.232720241,0.095714018,-0.342712283,0.152704179,-0.158417344,0.340745687,-0.54608953,-0.052258059,0.064613692,0.074460439,-0.056202397,0.001950166,0.151272714,-0.191040099,0.352161318,0.140705213,0.04062828,-0.281690538,-0.433060229,0.270705342,0.076348715,0.18058461,0.362512529,-0.042187508,0.620046496,0.150134355,-0.017410256,0.373638153,-0.124446377,-0.330866784,-0.04220809,-0.277427882,9606.ENSP00000006015
