,gene_id,hpa_location,provenance,StringID
4,PIGBOS1,mitochondria:cytoplasm,uniprot,9606.ENSP00000484893
5,PIGBOS1,plasma membrane:endomembrane system,uniprot,9606.ENSP00000484893
15,SLC12A8,plasma membrane:endomembrane system,uniprot,9606.ENSP00000377112
16,SLC12A8,nuclear membrane:nucleus,uniprot,9606.ENSP00000377112
17,RBM47,nucleus,uniprot,9606.ENSP00000371212
18,RBM47,cytoplasm,uniprot,9606.ENSP00000371212
19,IFT56,plasma membrane:endomembrane system,uniprot,9606.ENSP00000419279
20,IFT56,microtubules:cytoplasm,uniprot,9606.ENSP00000419279
21,IFT56,actin filaments:cytoplasm,uniprot,9606.ENSP00000419279
22,IFT56,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000419279
23,TMEM129,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000372394
24,TMEM129,plasma membrane:endomembrane system,uniprot,9606.ENSP00000372394
25,E2F8,nucleus,uniprot,9606.ENSP00000481103
26,ESYT2,plasma membrane:endomembrane system,uniprot,9606.ENSP00000251527
27,ESYT2,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000251527
28,ESYT3,plasma membrane:endomembrane system,uniprot,9606.ENSP00000374218
29,ESYT3,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000374218
30,MED19,nucleus,uniprot,9606.ENSP00000337340
36,SHTN1,plasma membrane:endomembrane system,uniprot,9606.ENSP00000347532
37,SHTN1,microtubules:cytoplasm,uniprot,9606.ENSP00000347532
38,SHTN1,actin filaments:cytoplasm,uniprot,9606.ENSP00000347532
39,SHTN1,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000347532
40,SHTN1,cytoplasm,uniprot,9606.ENSP00000347532
41,SLC5A10,plasma membrane:endomembrane system,uniprot,9606.ENSP00000379008
42,FEZF1,nucleus,uniprot,9606.ENSP00000411145
43,TMEM120B,nuclear membrane:nucleus,uniprot,9606.ENSP00000404991
44,TMEM120B,plasma membrane:endomembrane system,uniprot,9606.ENSP00000404991
45,CLRN2,plasma membrane:endomembrane system,uniprot,9606.ENSP00000424711
46,CLRN2,microtubules:cytoplasm,uniprot,9606.ENSP00000424711
47,CLRN2,actin filaments:cytoplasm,uniprot,9606.ENSP00000424711
48,CLRN2,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000424711
