protein,Heat_target_0.1,Heat_target_0.2,Heat_target_0.3
9606.ENSP00000348234,5.132330261403695e-05,5.870837776456028e-05,5.820941078127362e-05
9606.ENSP00000355330,6.179347110446543e-05,5.903016426600516e-05,5.76140773773659e-05
9606.ENSP00000261600,6.321719411062077e-05,5.936597881373018e-05,5.77284736209549e-05
9606.ENSP00000443291,9.921364835463464e-05,7.399938476737589e-05,6.408099579857662e-05
9606.ENSP00000239223,6.392099749064073e-05,5.958848487352952e-05,5.7843913964461535e-05
9606.ENSP00000419471,6.245699478313327e-05,5.9195714129600674e-05,5.769185008830391e-05
9606.ENSP00000427552,6.1034384998492897e-05,5.89924275118392e-05,5.7649387599667534e-05
9606.ENSP00000348019,6.238562491489574e-05,6.052750541130081e-05,5.8344823628431186e-05
9606.ENSP00000266066,5.391631202655845e-05,5.849110311828554e-05,5.777383194072172e-05
9606.ENSP00000312134,5.5020282161422074e-05,5.735718514188193e-05,5.6863183999666944e-05
9606.ENSP00000457466,6.439573917305097e-05,5.956264794804156e-05,5.7795918110059574e-05
9606.ENSP00000284503,7.039372576400638e-05,6.179235788295045e-05,5.863340993528254e-05
9606.ENSP00000415836,5.735450758947991e-05,5.9455276641529053e-05,5.794205571874045e-05
9606.ENSP00000310880,6.77835414535366e-05,5.5933964176801965e-05,5.495876393979415e-05
9606.ENSP00000343629,6.409258639905602e-05,5.959311602055095e-05,5.784285895060748e-05
9606.ENSP00000452780,5.8461508160689846e-05,5.7939869293477386e-05,5.7266122894361615e-05
9606.ENSP00000364691,5.504616274265573e-05,5.889889143873006e-05,5.7878140069078654e-05
9606.ENSP00000258229,2.7064632377005186e-05,3.85854764317628e-05,4.524420728557743e-05
9606.ENSP00000398211,5.5755546782165766e-05,5.920309922657907e-05,5.7901845138985664e-05
9606.ENSP00000356375,2.403997496003285e-05,3.696014027809724e-05,4.43768258264754e-05
9606.ENSP00000303522,5.893138950341381e-05,5.8230292779626325e-05,5.723987123928964e-05
9606.ENSP00000346466,4.7501303924946114e-05,5.6249467888846993e-05,5.752273864345625e-05
9606.ENSP00000399968,7.035900489427149e-05,6.028597636031918e-05,5.8046385674970224e-05
9606.ENSP00000226299,6.217745249159634e-05,5.960183989373036e-05,5.792516458313912e-05
9606.ENSP00000383118,6.189570558490232e-05,5.911287371418439e-05,5.766728281741962e-05
9606.ENSP00000184956,6.268691504374146e-05,5.930418774369173e-05,5.76793281652499e-05
9606.ENSP00000370781,6.428696360671893e-05,5.9557998611126095e-05,5.77984974370338e-05
9606.ENSP00000366280,6.434984970837831e-05,5.951416096650064e-05,5.7880002714227885e-05
9606.ENSP00000251363,6.007699994370341e-05,5.8578541938913986e-05,5.726114250137471e-05
9606.ENSP00000372394,5.908382809138857e-05,6.0780217609135434e-05,5.89122500969097e-05
9606.ENSP00000302579,6.113286508480087e-05,5.9318699641153216e-05,5.778297418146394e-05
9606.ENSP00000431759,5.335719833965413e-06,1.13895102913375e-05,1.6873467757250182e-05
9606.ENSP00000294818,6.27950721536763e-05,5.944932490820065e-05,5.7802571973297745e-05
9606.ENSP00000246532,2.531332654598373e-07,8.85823396856722e-07,1.7120914890256245e-06
9606.ENSP00000295297,5.894572041142965e-06,1.1892612747033128e-05,1.7457257854402997e-05
9606.ENSP00000354723,6.488201324827969e-05,5.9693345974665135e-05,5.7862278481479734e-05
9606.ENSP00000319006,3.3292206353507936e-05,4.4166088628116995e-05,4.966951019014232e-05
9606.ENSP00000439807,5.9637168305926025e-05,5.829559813719243e-05,5.719560795114376e-05
9606.ENSP00000339404,6.318862142506987e-05,5.940622213529423e-05,5.77707432967145e-05
9606.ENSP00000364035,5.500691258930601e-05,5.956321183475666e-05,5.826597771374509e-05
9606.ENSP00000384273,6.36347322142683e-05,5.9180878452025354e-05,5.758229235652834e-05
9606.ENSP00000302276,5.888399391551502e-05,5.833815157529898e-05,5.7327455579070374e-05
9606.ENSP00000426421,2.6710269594332203e-05,4.309597352403216e-05,5.0588976591825485e-05
9606.ENSP00000402152,5.149162461748347e-05,5.726067320210859e-05,5.7223431213060394e-05
9606.ENSP00000301141,6.343791756080464e-05,6.00643215875607e-05,5.80946471018251e-05
9606.ENSP00000295718,5.974369196337648e-05,5.838777724420652e-05,5.729558688472025e-05
9606.ENSP00000375066,2.165381192753557e-05,3.465305417194031e-05,4.278119740774855e-05
9606.ENSP00000333019,6.160951306810603e-05,5.954504376859404e-05,5.791661169496365e-05
9606.ENSP00000412461,5.457652150653303e-05,5.896881339140237e-05,5.789369606645778e-05
9606.ENSP00000385579,1.2995525139558596e-05,2.5640256353653967e-05,3.481054227449931e-05
9606.ENSP00000386125,2.295003469043877e-05,3.770877447095699e-05,4.580738823278807e-05
9606.ENSP00000284116,6.760729593224823e-05,6.003091766615398e-05,5.791348667116836e-05
9606.ENSP00000384851,7.003630889812484e-05,5.999959830660373e-05,5.793206946691498e-05
9606.ENSP00000346643,6.179328920552507e-05,5.955656888545491e-05,5.790527575300075e-05
9606.ENSP00000288462,1.4750096852367278e-05,2.65151775238337e-05,3.469900184427388e-05
9606.ENSP00000350024,0.0001983239490073,8.527598401997238e-05,6.413003575289622e-05
9606.ENSP00000319417,5.574245005846024e-05,5.812258677906357e-05,5.7473585911793634e-05
9606.ENSP00000379217,6.287509313551709e-05,5.941365452599712e-05,5.7796456530923024e-05
9606.ENSP00000339813,6.369935726979747e-05,5.93938966630958e-05,5.775948375230655e-05
9606.ENSP00000370372,6.110378308221698e-05,5.874493217561394e-05,5.735841114073992e-05
9606.ENSP00000218348,6.29081332590431e-05,5.932497879257426e-05,5.773394514108077e-05
9606.ENSP00000374071,1.0094977369590197e-05,1.8917015040642585e-05,2.5844690753729083e-05
9606.ENSP00000323795,4.267935946700163e-05,5.3244875743985176e-05,5.543891165871173e-05
9606.ENSP00000378286,5.11092584929429e-05,5.813113966723904e-05,5.774144301540218e-05
9606.ENSP00000366843,6.383359141182154e-05,5.947587487753481e-05,5.7782293879427016e-05
9606.ENSP00000246186,5.225983841228299e-05,5.787928603240289e-05,5.744080772274174e-05
9606.ENSP00000462729,6.275704072322696e-05,5.940152914263308e-05,5.7806635595625266e-05
