,protein,RWR_positive_0.4_0.1,RWR_positive_0.4_0.2,RWR_positive_0.4_0.3,RWR_positive_0.4_0.4,RWR_positive_0.4_0.5,RWR_positive_0.4_0.6,RWR_positive_0.4_0.7,RWR_positive_0.4_0.8,RWR_positive_0.4_0.9,RWR_positive_0.4_1.0
0,9606.ENSP00000348234,1.2843628832217982e-05,4.4715424995528646e-05,8.62615099683387e-05,0.00011518963664086008,0.00019462817309992921,0.00022552253950577708,0.000274650178647433,0.00048307228281276016,0.0005212439566075939,0.0005684050080949071
1,9606.ENSP00000355330,0.0006621659063831106,0.0010739452070237638,0.0015820922712389976,0.0020773410827307093,0.002677127654293457,0.0029946799516795343,0.003443209962941729,0.004031343520100253,0.004572427579329172,0.004848842511777525
2,9606.ENSP00000261600,0.00015006116464974062,0.0005048190255700687,0.0025002141464182375,0.0027688295081010465,0.0031886208175677996,0.0036700368685062762,0.0038673305798417874,0.00415000015328739,0.0073082605192043215,0.007715700467784093
3,9606.ENSP00000443291,4.888351654817542e-05,7.583137119773691e-05,0.0001223639681776694,0.00015165358452436513,0.00017750455019967574,0.00020785122366484261,0.0002202012300871761,0.0002356206576252327,0.0002609358601763882,0.00029139891337291024
4,9606.ENSP00000239223,0.0001280235330937666,0.0003402458929339609,0.0010614127346735198,0.0016727860283625184,0.0019413719762458447,0.0024044676561052747,0.00259629407936858,0.0029861983090393915,0.003234129396591656,0.0036411022287861096
5,9606.ENSP00000419471,0.0004550368765243291,0.000768233326959197,0.0011534373629967154,0.0015163229164653629,0.001892223090418319,0.002298412223457878,0.002522438441942945,0.0027092832340929415,0.002879103517243671,0.0032959624957706506
6,9606.ENSP00000427552,0.00031285990550349626,0.0005136592840079482,0.0008166772763285622,0.0012336787284421547,0.0016606080266727088,0.0021278396095121568,0.002265251562542318,0.002466350813965192,0.0028926028501895878,0.0031482555493284577
7,9606.ENSP00000348019,2.778840120371356e-05,0.00010272853400053027,0.00021823287436993345,0.0003073751653964389,0.001692465850479444,0.0017533001553079203,0.0018141079471428081,0.0018872167871355754,0.0021031031401666732,0.002237914930758292
8,9606.ENSP00000266066,3.360752434820368e-05,8.309527309580494e-05,0.00014751268618061377,0.00019428921692932793,0.00022260622497622838,0.0003335774487680105,0.00039700494126067873,0.0009190021179387758,0.006123665024892374,0.006160323156334297
9,9606.ENSP00000312134,9.910422011415713e-05,0.0001814047326521518,0.0002895071232522112,0.0003645033957481677,0.0005357783406432492,0.0006842840740136089,0.0008029234147213871,0.0009205184077773485,0.0010434572957837252,0.0011134710292884115
10,9606.ENSP00000457466,0.00046492904006467325,0.0013826235333736915,0.0021920830593102924,0.002695794753617276,0.0031697343093328697,0.0038535703261292084,0.0041602477435431166,0.004751736559663782,0.005197919143990357,0.0059292463799194535
