protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000348234,5.082077491677931e-06,1.9337680179810327e-06,5.238205015681901e-07
9606.ENSP00000355330,5.077494395051431e-05,2.8057922106166972e-05,1.203741027967456e-05
9606.ENSP00000261600,4.63192317464906e-05,2.3128721848742695e-05,9.287938786390211e-06
9606.ENSP00000443291,2.2058486920805425e-05,2.226372566230449e-05,1.4128442261896375e-05
9606.ENSP00000239223,5.7625611625294246e-05,4.042579170692047e-05,2.164103537495564e-05
9606.ENSP00000419471,5.4737171685471986e-05,2.78640235348406e-05,1.117750480525951e-05
9606.ENSP00000427552,2.9279952350576853e-05,1.3038376832127215e-05,4.570954426483644e-06
9606.ENSP00000348019,1.187814521190167e-05,5.466434806499929e-06,1.711893326166661e-06
9606.ENSP00000266066,6.720273133514998e-06,2.74223315939419e-06,7.90357261052809e-07
9606.ENSP00000312134,1.2800666898524996e-05,5.718179599897131e-06,1.7738484238017096e-06
9606.ENSP00000457466,0.0001274105659194,7.290912292889211e-05,3.2127128511412855e-05
9606.ENSP00000284503,1.6375933125186452e-05,1.2877940693846365e-05,7.04334308770309e-06
9606.ENSP00000415836,6.845135822847068e-06,3.0212778683159703e-06,9.183630553719832e-07
9606.ENSP00000310880,2.2864535765966924e-05,2.0361089344498404e-05,1.2228557972636831e-05
9606.ENSP00000343629,4.207214309074547e-05,2.4454780180943497e-05,1.1126334794127464e-05
9606.ENSP00000452780,0.0001124622483896,8.2368281234286e-05,4.339307804312711e-05
9606.ENSP00000364691,6.661331777703842e-06,2.9971930914564113e-06,1.088020721451853e-06
9606.ENSP00000258229,2.684447371416854e-06,2.0597968925639557e-06,1.0919275821772518e-06
9606.ENSP00000398211,8.399824078118065e-06,3.5446789244961867e-06,1.2452536221223396e-06
9606.ENSP00000356375,1.9333712756966605e-06,1.1520090347504078e-06,5.185350203113404e-07
9606.ENSP00000303522,2.7338533488716668e-05,1.1838924921607747e-05,3.8632778938665995e-06
9606.ENSP00000346466,5.330747881676661e-06,3.4599518915285384e-06,1.7534830492280554e-06
9606.ENSP00000399968,0.0002334314885593,0.0001976603110537,0.0001101005000072
9606.ENSP00000226299,5.77605529915648e-05,2.999084721335528e-05,1.2535480837125778e-05
9606.ENSP00000383118,0.0003416036079362,0.0002037616608946,9.820939428007694e-05
9606.ENSP00000184956,5.9449102152362984e-05,1.797959015850424e-05,4.123037037066058e-06
9606.ENSP00000370781,0.0001065366388829,6.0556926048223965e-05,2.7136550661328553e-05
9606.ENSP00000366280,7.642682144183772e-05,6.113416723878998e-05,3.3463036889920915e-05
9606.ENSP00000251363,2.2770942219112025e-05,1.4227000356309374e-05,6.814502218063388e-06
9606.ENSP00000372394,8.17521686277669e-06,4.254238758300225e-06,1.4372977603633302e-06
9606.ENSP00000302579,1.2328684961846588e-05,4.179536153110523e-06,1.0174910828168668e-06
9606.ENSP00000431759,4.31143391644851e-07,1.0190792759023381e-07,1.5326459976558517e-08
9606.ENSP00000294818,2.4825775452562867e-05,7.224073712229516e-06,1.591460762719526e-06
9606.ENSP00000246532,2.1467118945822878e-07,4.4426383187028915e-08,7.023922327974256e-09
9606.ENSP00000295297,4.114708760875468e-07,1.4372272791844972e-07,3.643371523358427e-08
9606.ENSP00000354723,5.921777583898809e-05,2.771335825994902e-05,9.63763170649451e-06
9606.ENSP00000319006,2.6963565307539366e-06,1.94274820981215e-06,1.01139240025909e-06
9606.ENSP00000439807,4.4399323120762656e-05,1.9551876727389475e-05,6.916492227441739e-06
9606.ENSP00000339404,7.063270119766059e-05,3.338223255554268e-05,1.2341835746394456e-05
9606.ENSP00000364035,5.553479474597687e-06,2.099887096262029e-06,5.704209107935766e-07
9606.ENSP00000384273,0.0002514080379379,0.0001757026135824,8.871984332090724e-05
9606.ENSP00000302276,1.1486965890893004e-05,5.325961013381336e-06,1.8314145819780776e-06
9606.ENSP00000426421,1.5302250707550503e-06,5.443928265123424e-07,1.3623856267207578e-07
9606.ENSP00000402152,7.694908543012985e-06,3.0385840572112565e-06,8.361473225128201e-07
9606.ENSP00000301141,6.383939719844267e-05,4.1413439328066966e-05,2.064321338823216e-05
9606.ENSP00000295718,2.4254276259014476e-05,1.1791475029048286e-05,4.522095797058907e-06
9606.ENSP00000375066,1.5027603429102324e-06,6.871225464544715e-07,2.139368808646923e-07
9606.ENSP00000333019,2.5285294851660932e-05,1.0207540480258607e-05,3.1165049335157344e-06
9606.ENSP00000412461,6.585295266521098e-06,2.8003893009722914e-06,8.325523817616438e-07
9606.ENSP00000385579,7.159780354300879e-07,2.2333156583879845e-07,4.962706584018941e-08
9606.ENSP00000386125,1.2088515996996762e-06,4.647609608643358e-07,1.2434199639758276e-07
