,protein,RW_positive_10_0.1,RW_positive_10_0.2,RW_positive_10_0.3,RW_positive_10_0.4,RW_positive_10_0.5,RW_positive_10_0.6,RW_positive_10_0.7,RW_positive_10_0.8,RW_positive_10_0.9,RW_positive_10_1.0
0,9606.ENSP00000348234,8.888489901437424e-05,0.00025873248978314223,0.0005153329211680102,0.0006844665958851692,0.0008516425868947408,0.0010165254525418277,0.0011413064439693699,0.0013197433263485436,0.0014979441366449464,0.001709692472104507
1,9606.ENSP00000355330,0.001266746097826399,0.0023148857944761403,0.003909447172190994,0.005179380030313041,0.006465592581662349,0.007422820868669078,0.00858400366269052,0.009944794030161574,0.01130561056197621,0.01227674882102292
2,9606.ENSP00000261600,0.0006463006575359032,0.0018545754282968119,0.0037281803888618015,0.004945654538460076,0.006151372239401098,0.007386094148387201,0.008269504025520291,0.009574102543410845,0.01085459184832871,0.0123898010715493
3,9606.ENSP00000443291,9.250181619790965e-05,0.00016519253813385149,0.0002693426886253292,0.00037337160711103934,0.00045159694218455115,0.0005292523251227976,0.0005852670351487177,0.0006325737276711152,0.0006788808445890027,0.0007924191249912838
4,9606.ENSP00000239223,0.0005535088566830382,0.0015887710032984614,0.0031990934585337527,0.004243279676302336,0.005282198209897615,0.006338960687571671,0.00709954683406977,0.008219361916417256,0.00932459655450657,0.01064510180731304
5,9606.ENSP00000419471,0.0016227337837335654,0.0028522437714855187,0.004617826336470898,0.006369907743646763,0.0077123139053583145,0.009056182636413723,0.010037136358732823,0.01083048339933157,0.011617638716415968,0.013586605651653372
6,9606.ENSP00000427552,0.0010768455103971064,0.0018318379879929125,0.002786664877930889,0.003511879975121701,0.004620921885361895,0.005862074351171032,0.00646246629912639,0.007221164254588075,0.008193612924515037,0.009083695524168434
7,9606.ENSP00000348019,0.0001602353950147517,0.00046664211549796164,0.000925110309253796,0.001228294539032504,0.0015327222026826348,0.0018280624281032942,0.0020514672996796435,0.002368748742810567,0.0026918564435618464,0.003085854146775091
8,9606.ENSP00000266066,0.00019478827562124934,0.00041994652019639034,0.0006855096153230988,0.0008739119421079522,0.0010111360024893656,0.0013192415635785437,0.0015179662013906636,0.0017228908945980947,0.0019546805988284177,0.00215046022185561
9,9606.ENSP00000312134,0.0003658778496173909,0.0006661437237198697,0.001122668109019287,0.0014884433749102755,0.0018571422351669753,0.002132554098352557,0.002459960893247626,0.0028502778186521027,0.0032416780122730415,0.0035191830193070928
