,protein,heat_positive_0.3_0.1,heat_positive_0.3_0.2,heat_positive_0.3_0.3,heat_positive_0.3_0.4,heat_positive_0.3_0.5,heat_positive_0.3_0.6,heat_positive_0.3_0.7,heat_positive_0.3_0.8,heat_positive_0.3_0.9,heat_positive_0.3_1.0
0,9606.ENSP00000348234,0.00044785493446397595,0.0013073349145997781,0.002633815118315397,0.0034261971140949754,0.004291860992452712,0.005161819224667852,0.005803748716061818,0.00671977467573015,0.007614253383508185,0.008715200583537808
1,9606.ENSP00000355330,0.0008897665720724035,0.001644098389078863,0.0028028791675751563,0.0036838987725786865,0.004603952842444414,0.005284874969220255,0.006095672706578625,0.0070758477377239615,0.008013964040401333,0.008697672404196055
2,9606.ENSP00000261600,0.00045246605077409185,0.0013080263961455785,0.0026326307306590024,0.0034374530314380536,0.004293696974855266,0.005164450727534131,0.005795832168587367,0.006652088640294096,0.007554482851446664,0.008635749073619081
3,9606.ENSP00000443291,0.0009606265848560724,0.0016997722377709579,0.002773727148451144,0.0038104674786154646,0.004523664956650464,0.00528326109633781,0.005825013970024884,0.006297693740634713,0.006724884928189567,0.007809100094164023
4,9606.ENSP00000239223,0.00045417194269248284,0.0013131281921232585,0.0026410022073832806,0.0034675377883104375,0.0043272032253298676,0.005202832691793446,0.005837056565724197,0.0066970427351407125,0.007602949342071952,0.008688414857715543
5,9606.ENSP00000419471,0.0010393984339316376,0.0018442030159349088,0.002985963481478393,0.00413592060431256,0.004930335082462989,0.005771190189989284,0.006380978180459351,0.006897903409480932,0.007382293037153431,0.008593575984377821
6,9606.ENSP00000427552,0.0010088448852911824,0.0017585398691153387,0.0026463024969416438,0.003344838400153094,0.004437402882103925,0.005647237403536565,0.006162618336020387,0.006913663042723783,0.007823884572644602,0.008636203584501345
7,9606.ENSP00000348019,0.0004519926369539462,0.0013188069133320823,0.002650493373948848,0.0034556213813630166,0.004319773493989487,0.00519055409131397,0.005834243429490016,0.006689689407721744,0.007595406232212554,0.00868509247629845
8,9606.ENSP00000266066,0.0007878325595811475,0.0017007465758069884,0.0028007815380988177,0.0035711801619981998,0.0041390990272702766,0.0053821237679585465,0.006181845875289582,0.007014485251602309,0.007978401333275542,0.00878234378342313
9,9606.ENSP00000312134,0.0008500800922774943,0.0015920073037705151,0.0027266422785032773,0.0035862077102137846,0.004485714141083008,0.005163301176253299,0.0059619758185363025,0.00691430478127586,0.0078370812079811,0.008503156928782118
10,9606.ENSP00000457466,0.00045424787094816566,0.001311766158323735,0.0026374974877398927,0.0034425380763423163,0.0043004869658034295,0.005171558030269807,0.00580433610957698,0.006667908382951282,0.0075688425640692,0.00865193345816806
11,9606.ENSP00000284503,0.0008719489469513064,0.0016317340905516176,0.002799304855216178,0.003685764838337491,0.004605858689501474,0.005293772975164757,0.006099215782342071,0.007074392681715835,0.008016943985239777,0.008698837583324348
12,9606.ENSP00000415836,0.0010018697939813137,0.0017528748976474162,0.002631543267852976,0.003329522491185344,0.004444113919817028,0.0056468759994459106,0.0061426641022990225,0.006906157146659098,0.007806496099874494,0.008988351130028605
13,9606.ENSP00000310880,0.0009804885667108465,0.0017527186100778636,0.0029874076026317198,0.00408050770056434,0.004867886277679645,0.005652216218550166,0.00622020035461901,0.006703360512801737,0.007176401738433924,0.008308964293973986
14,9606.ENSP00000343629,0.0007933189626783133,0.0017026720561261754,0.00280371973713045,0.0035770984686678275,0.004148660154896788,0.00539562616359035,0.006182471823194646,0.006990319821852609,0.007921460457509966,0.008725659083211212
15,9606.ENSP00000452780,0.0010003281004173914,0.0017436227044527186,0.0026340767381043406,0.003326384021420381,0.0044061133867216995,0.005612095848846366,0.006145097709122638,0.0068851862097289995,0.007780202690810256,0.008580231310588715
16,9606.ENSP00000364691,0.0010052938414446544,0.0017759900802047923,0.002657535867911065,0.0033568062135600485,0.004450477223144844,0.005654773751302855,0.006150553521365509,0.0069034452844789485,0.007823404483133345,0.008632173708065238
17,9606.ENSP00000258229,0.00030390611027542036,0.000896675586773199,0.0018274815520271659,0.0023484238799937884,0.00294694618696667,0.00354920953304827,0.003982316250585427,0.004611603321336588,0.00522422267431466,0.005983828600164998
18,9606.ENSP00000398211,0.0008729119472263847,0.0016302535514114425,0.0027979472833976615,0.0036976865067117615,0.004617096530637355,0.0053014921159046935,0.00610654340016481,0.00707879146830237,0.008033531439650687,0.008714892506759497
19,9606.ENSP00000356375,0.0006201416645126301,0.0011730895084838266,0.002036303619206592,0.0026806364271578786,0.0033434528791076445,0.0038581550338676607,0.004448157580100087,0.005156761531452503,0.0058361666101518495,0.007301007758997002
20,9606.ENSP00000303522,0.0004474351371754892,0.001300118750805268,0.0026171527679252904,0.0034130891090171644,0.004266082692993223,0.005126840658704168,0.005756640819527092,0.0066031723536070785,0.007511205239097762,0.008585573580603523
21,9606.ENSP00000346466,0.0008630033516965341,0.0016202788247028366,0.0027788138067990076,0.003708177952830738,0.004616208393599663,0.005294324725582555,0.006092505068409082,0.007051385125123488,0.0080347978091595,0.008709873620318831
22,9606.ENSP00000399968,0.0008747791562200291,0.0016296307603624882,0.0027930608612223295,0.003678650191432098,0.00459641995257698,0.0052804542901867535,0.0060849903311464,0.0070594048556813505,0.007999759192898637,0.008688331785378978
