protein,RNA line ab,binary_RNA line ab,RNA line ab_y,binary_RNA line ab_y,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000348234,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000355330,14.2,1,73.7,1.0,-59.5,59.5,0
9606.ENSP00000261600,21.5,1,73.7,1.0,-52.2,52.2,0
9606.ENSP00000443291,12.9,1,73.7,1.0,-60.8,60.8,0
9606.ENSP00000239223,73.5,1,73.7,1.0,-0.2000000000000028,0.2000000000000028,0
9606.ENSP00000419471,4.1,1,73.7,1.0,-69.60000000000001,69.60000000000001,0
9606.ENSP00000427552,13.8,1,73.7,1.0,-59.900000000000006,59.900000000000006,0
9606.ENSP00000348019,5.9,1,73.7,1.0,-67.8,67.8,0
9606.ENSP00000266066,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000312134,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000457466,9.3,1,73.7,1.0,-64.4,64.4,0
9606.ENSP00000284503,7.0,1,73.7,1.0,-66.7,66.7,0
9606.ENSP00000415836,11.5,1,73.7,1.0,-62.2,62.2,0
9606.ENSP00000310880,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000343629,55.8,1,73.7,1.0,-17.900000000000006,17.900000000000006,0
9606.ENSP00000452780,2905.4,1,73.7,1.0,2831.7000000000003,2831.7000000000003,0
9606.ENSP00000364691,5.5,1,73.7,1.0,-68.2,68.2,0
9606.ENSP00000258229,6.1,1,73.7,1.0,-67.60000000000001,67.60000000000001,0
9606.ENSP00000398211,0.2,1,73.7,1.0,-73.5,73.5,0
9606.ENSP00000356375,5.4,1,73.7,1.0,-68.3,68.3,0
9606.ENSP00000303522,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000346466,4.0,1,73.7,1.0,-69.7,69.7,1
9606.ENSP00000399968,6.5,1,73.7,1.0,-67.2,67.2,0
9606.ENSP00000226299,50.9,1,73.7,1.0,-22.800000000000004,22.800000000000004,0
9606.ENSP00000383118,230.8,1,73.7,1.0,157.10000000000002,157.10000000000002,0
9606.ENSP00000184956,8.6,1,73.7,1.0,-65.10000000000001,65.10000000000001,0
9606.ENSP00000370781,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000366280,20.3,1,73.7,1.0,-53.400000000000006,53.400000000000006,0
9606.ENSP00000251363,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000372394,15.9,1,73.7,1.0,-57.8,57.8,0
9606.ENSP00000302579,0.4,1,73.7,1.0,-73.3,73.3,0
9606.ENSP00000431759,1.8,1,73.7,1.0,-71.9,71.9,0
9606.ENSP00000294818,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000246532,2.8,1,73.7,1.0,-70.9,70.9,0
9606.ENSP00000295297,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000354723,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000319006,23.0,1,73.7,1.0,-50.7,50.7,0
9606.ENSP00000439807,21.4,1,73.7,1.0,-52.3,52.3,0
