protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,go_sim,sub_sim,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000348234,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005795678,0.004678363,0.005385996,0.016806723,0.008196721,0.0,0.00623053,0.029411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.006304886,0.525028728,1.18e-06,5.08e-06,1.93e-06,5.24e-07,1,1,1,1,0,0,0.4714045207910316,-0.0617163335700119,-73.7,73.7,0
9606.ENSP00000355330,0,0,0,0,0.038461538,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.046561886,0.078947368,0.032315978,0.050420168,0.081967213,0.043478261,0.040498442,0.014705882,0.0,0.121646912,0.132075472,0.045454545,0.244604317,0.177966102,0.045454545,0.03030303,0.307692308,0.0,0.007846556,0.004273504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.076784508,0.641247,4.09e-05,5.08e-05,2.81e-05,1.2e-05,1,1,1,0,0,0,0.5892556509887895,0.1897277987969227,-59.5,59.5,0
9606.ENSP00000261600,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05540275,0.050292398,0.046678636,0.052521008,0.045081967,0.043478261,0.034267913,0.073529412,0.0,0.011852776,0.01048218,0.0,0.021582734,0.025423729,0.0,0.0,0.0,0.0,0.066259808,0.038461538,0.0,0.019607843,0.04,0.0,0.0,0.0,0.0,1,0.063724386,0.55721952,4.93e-05,4.63e-05,2.31e-05,9.29e-06,1,1,1,0,0,0,0.5,0.0505884050711262,-52.2,52.2,0
9606.ENSP00000443291,0,0,0,0,0.038461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003831041,0.00994152,0.008976661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.004728665,0.050394,0.000121418,2.21e-05,2.23e-05,1.41e-05,1,1,1,0,0,0,0.629940788348712,0.0966428087125538,-60.8,60.8,0
9606.ENSP00000239223,0,0,0,0,0.076923077,0.133333333,0.0,0.0,0.083333333,0.0,0.0,0.0,0.0,0.071316306,0.116374269,0.014362657,0.067226891,0.131147541,0.086956522,0.056074766,0.044117647,0.014084507,0.036182158,0.020964361,0.011363636,0.057553957,0.016949153,0.0,0.060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.083389627,0.436356802,8.37e-05,5.76e-05,4.04e-05,2.16e-05,1,1,1,0,0,0,0.5962847939999439,0.0819773040589104,-0.2000000000000028,0.2000000000000028,0
9606.ENSP00000419471,0,0,0,0,0.134615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111787819,0.104678363,0.120287253,0.054621849,0.049180328,0.0,0.015576324,0.044117647,0.0,0.042420462,0.004192872,0.011363636,0.028776978,0.008474576,0.045454545,0.015151515,0.0,0.0,0.040104621,0.02991453,0.01459854,0.107843137,0.0,0.0,0.059210526,0.0,0.0,1,0.11934249,0.66915086,1.13e-05,5.47e-05,2.79e-05,1.12e-05,1,1,1,0,0,0,0.3849001794597505,-0.0455057293686829,-69.60000000000001,69.60000000000001,0
9606.ENSP00000427552,0,0,0,0,0.038461538,0.066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035658153,0.065497076,0.023339318,0.084033613,0.098360656,0.086956522,0.056074766,0.0,0.0,0.024329382,0.025157233,0.0,0.050359712,0.008474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.04758688,0.38840064,9.17e-06,2.93e-05,1.3e-05,4.57e-06,1,1,1,0,0,0,0.5039526306789696,0.0598154905161357,-59.900000000000006,59.900000000000006,0
9606.ENSP00000348019,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010019646,0.016374269,0.005385996,0.023109244,0.032786885,0.0,0.0,0.0,0.0,0.001871491,0.002096436,0.0,0.014388489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.011859191,0.10767323,4.79e-06,1.19e-05,5.47e-06,1.71e-06,1,1,1,1,0,0,0.6804138174397718,-0.1354848414493283,-67.8,67.8,0
9606.ENSP00000266066,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010903733,0.039766082,0.005385996,0.012605042,0.012295082,0.043478261,0.00623053,0.014705882,0.0,0.001247661,0.008385744,0.0,0.007194245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.01516175,0.140685146,6.33e-07,6.72e-06,2.74e-06,7.9e-07,1,1,1,1,0,0,0.0,-0.0511487669750424,-73.7,73.7,0
9606.ENSP00000312134,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008546169,0.011695906,0.003590664,0.012605042,0.012295082,0.0,0.00623053,0.0,0.084507042,0.010605115,0.008385744,0.011363636,0.0,0.008474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.011183667,0.346464,1.21e-05,1.28e-05,5.72e-06,1.77e-06,1,1,1,1,0,0,0.4472135954999579,-0.0282693639231508,-73.7,73.7,0
