,protein,heat_positive_0.3_0.1,heat_positive_0.3_0.2,heat_positive_0.3_0.3,heat_positive_0.3_0.4,heat_positive_0.3_0.5,heat_positive_0.3_0.6,heat_positive_0.3_0.7,heat_positive_0.3_0.8,heat_positive_0.3_0.9,heat_positive_0.3_1.0
0,9606.ENSP00000290122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9606.ENSP00000345563,0.00033977006933127996,0.000628146974122501,0.000881148280313937,0.0011131652281619608,0.001356950157060055,0.0016729106173443142,0.0019691826646521804,0.0022424641190355032,0.0024754144185408222,0.002661779227992156
2,9606.ENSP00000415436,0.0013978010974824429,0.0030139778900775127,0.004336397782026324,0.005416175303253112,0.006429537945223274,0.007605875853187172,0.008763605626882054,0.009927094186423346,0.010608166874590097,0.011786110309913056
3,9606.ENSP00000370215,0.0014105882364674471,0.002675710609764792,0.003782661551667843,0.0048181286547333,0.005905529476876836,0.007310428321943618,0.008636857906822115,0.00985091828442819,0.010893142234635889,0.011759074282963411
4,9606.ENSP00000355593,0.001389285571349319,0.0026353783177910373,0.003729548021510709,0.004752371729409788,0.005826851389429066,0.00722810495790327,0.008536256747902371,0.009722652339405613,0.01074830166544416,0.011610023164394079
5,9606.ENSP00000311679,0.0013804657937726006,0.00334951383410953,0.00477626398060238,0.0055268848955165595,0.006377453810273437,0.007339997162489453,0.008904939062631456,0.00956422842500615,0.010672514370526187,0.011677173417410813
6,9606.ENSP00000371800,0.001401951303705573,0.002670947540536872,0.0036279524847486755,0.005029891855883761,0.00596211380798195,0.006846691425380413,0.008103213893264183,0.009134051369983354,0.010725008565714234,0.011686243526128237
7,9606.ENSP00000483570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9606.ENSP00000233997,0.0013926544779678807,0.002993767222505994,0.004306167138565797,0.005375243486923864,0.0063801176111155655,0.007548201432655333,0.008704020587174455,0.00985483226395445,0.010532325579333701,0.011697508141878643
9,9606.ENSP00000230256,0.02108835769467987,0.02157038321456639,0.022461193879280472,0.023220604027301306,0.024024945310429757,0.02469219669137601,0.025319055393538292,0.02601810248552283,0.026613887440817052,0.027097631603737682
10,9606.ENSP00000458570,0.001352337611024268,0.002576662907813443,0.003511572711431654,0.004852254500292474,0.005729765678552212,0.006578702617844101,0.007779222039971501,0.008752329827984795,0.010249339899019105,0.011165110063302564
11,9606.ENSP00000322450,0.0013962349039502442,0.003014417838130612,0.004343310771218967,0.005423838330898434,0.006439209420932457,0.007617498078616336,0.0087760408896429,0.009954226825357182,0.010639652882673545,0.011817013215477346
12,9606.ENSP00000377470,0.001393785045365803,0.0030055987372179516,0.00432429898501141,0.005402529630373465,0.006415786814613966,0.0075895633453910705,0.008745984709094046,0.009906983010296244,0.010586101074295584,0.011759030101529788
13,9606.ENSP00000386597,0.0009875110044959001,0.0018551722896518186,0.002613993678096449,0.0033310588223685045,0.004069059923494933,0.005041307820647489,0.006018600905008498,0.0074487967681307055,0.008507769754487526,0.009075416266114189
14,9606.ENSP00000398089,0.001567814022564562,0.0022861469878989737,0.0035082538415736053,0.004572580877720611,0.0055889886689328705,0.006509942785669409,0.007387101720269129,0.008340695755578054,0.00917062153439474,0.009831349790147215
15,9606.ENSP00000303963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,9606.ENSP00000433919,0.0014734775759279728,0.0026461767411092296,0.004187803671811707,0.004998107528081164,0.005936069308518199,0.006966587014176184,0.008660074254294159,0.009379032817378175,0.010603578397422098,0.011723128773155622
17,9606.ENSP00000343129,0.0013923261722084135,0.0026393822772661224,0.003733368059329223,0.0047572018156643026,0.0058608994804671966,0.007252739247633144,0.008558461326174438,0.009747535665155738,0.0107748231075675,0.011624789278357639
18,9606.ENSP00000261318,0.0011214999722142238,0.002197302772401599,0.003104858740698546,0.0037924754888081225,0.0044491107528301654,0.0052209313016646774,0.005986917507470935,0.006794100290790084,0.007302956838429964,0.008098749251985282
19,9606.ENSP00000343890,0.0006992760354478378,0.0012551139298011549,0.001990767297684215,0.0023880259577708784,0.0028217772269272245,0.0033113770150521304,0.004141056680964539,0.00447993682064407,0.0050807753614208195,0.0056042615869955625
20,9606.ENSP00000420465,0.0013978639544802718,0.0026404052623547614,0.0037251422545523383,0.004736034119559918,0.005807929184811655,0.007200531137641519,0.008513189866789617,0.01002613577293232,0.011080218995630275,0.011913268099306151
21,9606.ENSP00000478305,0.001397515217831824,0.0030132791216601618,0.004334090241172817,0.0054148113158589695,0.006427444252040004,0.00760342801004299,0.008760462245845702,0.00992255580422352,0.01060360052906617,0.011781813407651498
22,9606.ENSP00000173229,0.0013927334948675707,0.002641502578626387,0.0037366630058386363,0.00476187071762979,0.005836463435116457,0.007225955410831375,0.008531940995453624,0.009721359052491607,0.01074931693074177,0.011612712831265526
23,9606.ENSP00000485582,0.0014044522104086354,0.0030249075061874464,0.004351927796960808,0.005433968035504222,0.006448430023738183,0.007631385124113876,0.008796219215582823,0.009962677802832332,0.010644801159287454,0.011821861620774143
24,9606.ENSP00000308032,0.0014036790817044675,0.002661676968273241,0.003781502600759268,0.00481226639385568,0.005895356061955681,0.0072998002760868985,0.008614337417384377,0.009815217475988902,0.010851698069018312,0.01170883448139648
25,9606.ENSP00000301399,0.0009969053244276438,0.001856451366620604,0.0026050014057545923,0.0033071468060370535,0.004119873827221454,0.0050763091476255795,0.005971837401375524,0.006806404707731417,0.007507341837026615,0.008080357186827314
26,9606.ENSP00000263736,0.0018838870309991762,0.002689788590942044,0.004159356780292001,0.005408530982094817,0.00667127245105803,0.007770740587147884,0.008801922740531154,0.009956470301403897,0.010965542136545992,0.011769702494348167
27,9606.ENSP00000252809,0.0014718795646331273,0.002643039551912807,0.004184111814538483,0.004993555077817291,0.005926810354139889,0.006959687609196408,0.008650389430840733,0.009367652819491923,0.010593507162411697,0.01168174201666261
28,9606.ENSP00000282096,0.0014012042083777487,0.002673601367860101,0.0036320647195680067,0.005033627225202508,0.0059656844423443545,0.006846349500847282,0.008102433323074365,0.009136206204857444,0.010730314203101443,0.01169012437821948
29,9606.ENSP00000355621,0.0019003282250196207,0.0027104363580292556,0.004196506368316477,0.005465815131174168,0.006736431346325844,0.007846661838811997,0.008891133419638209,0.010055090234345698,0.011068214843362512,0.011886041508660128
30,9606.ENSP00000441405,0.001125690101616783,0.002110531564539997,0.0029807228784193285,0.0037911251492914744,0.004683922954427544,0.005800668095616857,0.006855514122435125,0.007796428993060545,0.00860419512991939,0.009273830587517295
31,9606.ENSP00000313922,0.0013234005236881785,0.0025079164797716658,0.0034015040100712213,0.004718056075034838,0.005586371719800809,0.006406302373761719,0.007624492659488169,0.008566502604480775,0.010028407999016054,0.010929134786238137
32,9606.ENSP00000361595,0.001256508483493235,0.0023476467540604062,0.0033057777072826866,0.004200738811050542,0.005131927100592293,0.006361096115142573,0.007510552673920756,0.008562943487049779,0.00946707877665176,0.010200831678957911
33,9606.ENSP00000230640,0.0013948375562904403,0.003008473227964714,0.004328387964051217,0.005410229918197729,0.0064240467218041886,0.007598271713504801,0.008757115341722965,0.009919280350004556,0.01059982323931763,0.011775168983149342
