protein,shortest_path_length,label
9606.ENSP00000290122,-6,0.0
9606.ENSP00000345563,-4,0.0
9606.ENSP00000415436,-3,0.0
9606.ENSP00000370215,-3,0.0
9606.ENSP00000355593,-3,0.0
9606.ENSP00000311679,-3,0.0
9606.ENSP00000371800,-3,0.0
9606.ENSP00000483570,-6,0.0
9606.ENSP00000233997,-3,0.0
9606.ENSP00000230256,-3,0.0
9606.ENSP00000458570,-3,0.0
9606.ENSP00000322450,-3,0.0
9606.ENSP00000377470,-2,0.0
9606.ENSP00000386597,-4,1.0
9606.ENSP00000398089,-3,0.0
9606.ENSP00000303963,-6,0.0
9606.ENSP00000433919,-3,0.0
9606.ENSP00000343129,-2,0.0
9606.ENSP00000261318,-2,0.0
9606.ENSP00000343890,-3,0.0
9606.ENSP00000420465,-3,0.0
9606.ENSP00000478305,-3,0.0
9606.ENSP00000173229,-3,0.0
9606.ENSP00000485582,-3,0.0
9606.ENSP00000308032,-3,0.0
9606.ENSP00000301399,-3,0.0
9606.ENSP00000263736,-3,0.0
9606.ENSP00000252809,-3,0.0
9606.ENSP00000282096,-3,0.0
9606.ENSP00000355621,-3,0.0
9606.ENSP00000441405,-3,0.0
9606.ENSP00000313922,-3,0.0
9606.ENSP00000361595,-3,0.0
9606.ENSP00000230640,-2,0.0
9606.ENSP00000351250,-3,0.0
9606.ENSP00000350260,-3,0.0
9606.ENSP00000349884,-6,0.0
9606.ENSP00000369921,-3,0.0
9606.ENSP00000380378,-2,0.0
9606.ENSP00000285419,-2,0.0
9606.ENSP00000472474,-3,0.0
9606.ENSP00000306335,-2,0.0
9606.ENSP00000340864,-3,0.0
9606.ENSP00000249910,-3,0.0
9606.ENSP00000325377,-2,0.0
9606.ENSP00000253362,-3,0.0
9606.ENSP00000404432,-6,0.0
9606.ENSP00000325266,-3,0.0
9606.ENSP00000255262,-6,0.0
9606.ENSP00000333037,-2,0.0
9606.ENSP00000264059,-3,0.0
9606.ENSP00000373312,-2,1.0
9606.ENSP00000349401,-3,0.0
9606.ENSP00000351430,-6,0.0
9606.ENSP00000337510,-6,0.0
9606.ENSP00000332973,-2,0.0
9606.ENSP00000432688,-3,0.0
9606.ENSP00000474032,-3,0.0
9606.ENSP00000273062,-3,0.0
9606.ENSP00000377895,-3,0.0
9606.ENSP00000370589,-2,0.0
9606.ENSP00000261712,-2,0.0
9606.ENSP00000337838,-2,0.0
9606.ENSP00000356811,-2,0.0
9606.ENSP00000222374,-3,0.0
9606.ENSP00000472620,-3,0.0
9606.ENSP00000476603,-3,0.0
9606.ENSP00000285670,-6,0.0
9606.ENSP00000376213,-3,0.0
9606.ENSP00000405327,-3,0.0
9606.ENSP00000313933,-3,0.0
9606.ENSP00000281834,-3,0.0
9606.ENSP00000358016,-3,0.0
9606.ENSP00000357189,-3,0.0
9606.ENSP00000259782,-4,0.0
9606.ENSP00000355583,-3,0.0
9606.ENSP00000302898,-3,0.0
9606.ENSP00000255108,-3,0.0
9606.ENSP00000367878,-3,0.0
9606.ENSP00000430432,-2,0.0
9606.ENSP00000272198,-6,0.0
9606.ENSP00000359571,-6,0.0
9606.ENSP00000233615,-3,0.0
9606.ENSP00000298717,-2,0.0
9606.ENSP00000363229,-6,0.0
9606.ENSP00000351015,-3,0.0
9606.ENSP00000376077,-2,0.0
9606.ENSP00000424870,-2,1.0
9606.ENSP00000349629,-3,0.0
9606.ENSP00000291890,-6,0.0
9606.ENSP00000354497,-3,0.0
9606.ENSP00000318195,-2,0.0
9606.ENSP00000338413,-2,0.0
9606.ENSP00000308610,-3,0.0
9606.ENSP00000347433,-6,0.0
9606.ENSP00000353132,-3,0.0
9606.ENSP00000375986,-3,0.0
9606.ENSP00000359991,-3,0.0
9606.ENSP00000339958,-2,0.0
9606.ENSP00000298746,-2,0.0
9606.ENSP00000379503,-3,0.0
9606.ENSP00000295228,-3,0.0
9606.ENSP00000361158,-2,0.0
9606.ENSP00000381549,-3,0.0
9606.ENSP00000225823,-3,0.0
9606.ENSP00000410758,-3,0.0
9606.ENSP00000347710,-3,0.0
9606.ENSP00000351631,-3,0.0
9606.ENSP00000255674,-3,0.0
9606.ENSP00000358831,-3,0.0
9606.ENSP00000258200,-3,0.0
9606.ENSP00000260643,-3,1.0
9606.ENSP00000351314,-2,0.0
9606.ENSP00000481721,-3,0.0
9606.ENSP00000355053,-3,1.0
9606.ENSP00000364883,-3,0.0
9606.ENSP00000358525,-2,0.0
9606.ENSP00000367239,-3,0.0
9606.ENSP00000465638,-6,0.0
9606.ENSP00000275198,-6,0.0
9606.ENSP00000386439,-3,0.0
9606.ENSP00000227524,-2,0.0
9606.ENSP00000355923,-3,0.0
9606.ENSP00000417418,-6,0.0
9606.ENSP00000359958,-3,0.0
9606.ENSP00000388713,-3,0.0
9606.ENSP00000244061,-3,0.0
9606.ENSP00000369014,-6,0.0
9606.ENSP00000385461,-6,0.0
9606.ENSP00000479964,-3,0.0
9606.ENSP00000256953,-3,0.0
9606.ENSP00000298355,-3,0.0
9606.ENSP00000356540,-3,0.0
9606.ENSP00000462355,-2,0.0
9606.ENSP00000220420,-6,0.0
9606.ENSP00000265641,-3,0.0
9606.ENSP00000262551,-6,0.0
9606.ENSP00000426964,-3,0.0
9606.ENSP00000480043,-3,0.0
9606.ENSP00000333633,-2,0.0
9606.ENSP00000362260,-3,0.0
9606.ENSP00000362328,-6,0.0
9606.ENSP00000355306,-3,0.0
9606.ENSP00000255224,-6,0.0
9606.ENSP00000392452,-3,0.0
9606.ENSP00000385727,-3,0.0
9606.ENSP00000352182,-3,0.0
9606.ENSP00000311977,-3,0.0
9606.ENSP00000338671,-2,0.0
9606.ENSP00000370208,-3,0.0
9606.ENSP00000373895,-3,0.0
9606.ENSP00000477817,-3,0.0
9606.ENSP00000265097,-2,0.0
9606.ENSP00000477017,-3,0.0
9606.ENSP00000262340,-6,0.0
9606.ENSP00000389554,-6,0.0
9606.ENSP00000335006,-6,0.0
9606.ENSP00000360372,-6,0.0
9606.ENSP00000254854,-6,0.0
9606.ENSP00000274026,-2,0.0
9606.ENSP00000249071,-2,0.0
9606.ENSP00000361653,-2,0.0
9606.ENSP00000245312,-6,0.0
9606.ENSP00000377664,-3,0.0
9606.ENSP00000370621,-3,0.0
9606.ENSP00000388550,-3,0.0
9606.ENSP00000378323,-2,0.0
9606.ENSP00000287916,-3,0.0
9606.ENSP00000309439,-3,0.0
9606.ENSP00000257787,-3,0.0
9606.ENSP00000367787,-3,0.0
9606.ENSP00000362968,-6,0.0
9606.ENSP00000356357,-3,0.0
9606.ENSP00000267549,-6,0.0
9606.ENSP00000369989,-2,0.0
9606.ENSP00000418008,-2,0.0
9606.ENSP00000263791,-3,0.0
9606.ENSP00000235332,-3,0.0
9606.ENSP00000264690,-6,0.0
9606.ENSP00000221922,-3,0.0
9606.ENSP00000474412,-3,0.0
9606.ENSP00000356150,-2,0.0
9606.ENSP00000434729,-3,1.0
9606.ENSP00000373783,-3,0.0
9606.ENSP00000349709,-3,0.0
9606.ENSP00000419901,-6,0.0
9606.ENSP00000363680,-3,0.0
9606.ENSP00000397312,-3,0.0
9606.ENSP00000254928,-3,0.0
9606.ENSP00000244336,-3,0.0
9606.ENSP00000363398,-6,0.0
9606.ENSP00000332659,-3,0.0
9606.ENSP00000269491,-6,0.0
9606.ENSP00000281631,-3,0.0
9606.ENSP00000315915,-3,0.0
9606.ENSP00000417763,-3,0.0
9606.ENSP00000409346,-2,0.0
9606.ENSP00000353652,-3,0.0
