protein,RNA line ab,binary_RNA line ab,RNA line ab_y,binary_RNA line ab_y,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000290122,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000345563,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000415436,31.1,1.0,298.6,1.0,-267.5,267.5,0
9606.ENSP00000370215,0.6,1.0,298.6,1.0,-298.0,298.0,0
9606.ENSP00000355593,0.3,1.0,298.6,1.0,-298.3,298.3,0
9606.ENSP00000311679,2.3,1.0,298.6,1.0,-296.3,296.3,0
9606.ENSP00000371800,14.0,1.0,298.6,1.0,-284.6,284.6,0
9606.ENSP00000483570,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000233997,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000230256,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000458570,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000322450,113.3,1.0,298.6,1.0,-185.3,185.3,0
9606.ENSP00000377470,75.3,1.0,298.6,1.0,-223.3,223.3,0
9606.ENSP00000386597,38.6,1.0,298.6,1.0,-260.0,260.0,1
9606.ENSP00000398089,1.3,1.0,298.6,1.0,-297.3,297.3,0
9606.ENSP00000303963,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000433919,163.7,1.0,298.6,1.0,-134.90000000000003,134.90000000000003,0
9606.ENSP00000343129,1.9,1.0,298.6,1.0,-296.70000000000005,296.70000000000005,0
9606.ENSP00000261318,13.8,1.0,298.6,1.0,-284.8,284.8,0
9606.ENSP00000343890,10.6,1.0,298.6,1.0,-288.0,288.0,0
9606.ENSP00000420465,3.8,1.0,298.6,1.0,-294.8,294.8,0
9606.ENSP00000478305,101.5,1.0,298.6,1.0,-197.1,197.1,0
9606.ENSP00000173229,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000485582,2.9,1.0,298.6,1.0,-295.70000000000005,295.70000000000005,0
9606.ENSP00000308032,62.4,1.0,298.6,1.0,-236.2,236.2,0
9606.ENSP00000301399,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000263736,12.4,1.0,298.6,1.0,-286.20000000000005,286.20000000000005,0
9606.ENSP00000252809,65.6,1.0,298.6,1.0,-233.00000000000003,233.00000000000003,0
9606.ENSP00000282096,2.5,1.0,298.6,1.0,-296.1,296.1,0
9606.ENSP00000355621,13.0,1.0,298.6,1.0,-285.6,285.6,0
9606.ENSP00000441405,69.0,1.0,298.6,1.0,-229.6,229.6,0
9606.ENSP00000313922,1.8,1.0,298.6,1.0,-296.8,296.8,0
9606.ENSP00000361595,5.8,1.0,298.6,1.0,-292.8,292.8,0
9606.ENSP00000230640,44.7,1.0,298.6,1.0,-253.90000000000003,253.90000000000003,0
9606.ENSP00000351250,13.3,1.0,298.6,1.0,-285.3,285.3,0
9606.ENSP00000350260,9.6,1.0,298.6,1.0,-289.0,289.0,0
9606.ENSP00000349884,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000369921,0.2,1.0,298.6,1.0,-298.40000000000003,298.40000000000003,0
9606.ENSP00000380378,55.9,1.0,298.6,1.0,-242.7,242.7,0
9606.ENSP00000285419,4.4,1.0,298.6,1.0,-294.20000000000005,294.20000000000005,0
9606.ENSP00000472474,0.7,1.0,298.6,1.0,-297.90000000000003,297.90000000000003,0
9606.ENSP00000306335,3.2,1.0,298.6,1.0,-295.40000000000003,295.40000000000003,0
9606.ENSP00000340864,19.2,1.0,298.6,1.0,-279.40000000000003,279.40000000000003,0
9606.ENSP00000249910,28.8,1.0,298.6,1.0,-269.8,269.8,0
9606.ENSP00000325377,24.2,1.0,298.6,1.0,-274.40000000000003,274.40000000000003,0
9606.ENSP00000253362,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000404432,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000325266,34.5,1.0,298.6,1.0,-264.1,264.1,0
9606.ENSP00000255262,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000333037,3.1,1.0,298.6,1.0,-295.5,295.5,0
9606.ENSP00000264059,2.9,1.0,298.6,1.0,-295.70000000000005,295.70000000000005,0
9606.ENSP00000373312,179.4,1.0,298.6,1.0,-119.20000000000002,119.20000000000002,1
9606.ENSP00000349401,1.4,1.0,298.6,1.0,-297.20000000000005,297.20000000000005,0
9606.ENSP00000351430,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000337510,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000332973,133.9,1.0,298.6,1.0,-164.70000000000002,164.70000000000002,0
9606.ENSP00000432688,30.3,1.0,298.6,1.0,-268.3,268.3,0
9606.ENSP00000474032,17.6,1.0,298.6,1.0,-281.0,281.0,0
9606.ENSP00000273062,30.3,1.0,298.6,1.0,-268.3,268.3,0
9606.ENSP00000377895,12.8,1.0,298.6,1.0,-285.8,285.8,0
9606.ENSP00000370589,163.3,1.0,298.6,1.0,-135.3,135.3,0
9606.ENSP00000261712,153.1,1.0,298.6,1.0,-145.50000000000003,145.50000000000003,0
9606.ENSP00000337838,401.3,1.0,298.6,1.0,102.7,102.7,0
9606.ENSP00000356811,57.2,1.0,298.6,1.0,-241.40000000000003,241.40000000000003,0
9606.ENSP00000222374,11.2,1.0,298.6,1.0,-287.40000000000003,287.40000000000003,0
9606.ENSP00000472620,0.5,1.0,298.6,1.0,-298.1,298.1,0
9606.ENSP00000476603,7.0,1.0,298.6,1.0,-291.6,291.6,0
9606.ENSP00000285670,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000376213,1.2,1.0,298.6,1.0,-297.40000000000003,297.40000000000003,0
9606.ENSP00000405327,3.2,1.0,298.6,1.0,-295.40000000000003,295.40000000000003,0
9606.ENSP00000313933,4.0,1.0,298.6,1.0,-294.6,294.6,0
9606.ENSP00000281834,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000358016,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000357189,298.3,1.0,298.6,1.0,-0.3000000000000113,0.3000000000000113,0
9606.ENSP00000259782,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000355583,17.5,1.0,298.6,1.0,-281.1,281.1,0
9606.ENSP00000302898,0.5,1.0,298.6,1.0,-298.1,298.1,0
9606.ENSP00000255108,26.7,1.0,298.6,1.0,-271.90000000000003,271.90000000000003,0
9606.ENSP00000367878,22.5,1.0,298.6,1.0,-276.1,276.1,0
9606.ENSP00000430432,99.5,1.0,298.6,1.0,-199.1,199.1,0
9606.ENSP00000272198,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000359571,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000233615,63.0,1.0,298.6,1.0,-235.6,235.6,0
9606.ENSP00000298717,58.4,1.0,298.6,1.0,-240.2,240.2,0
9606.ENSP00000363229,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000351015,21.0,1.0,298.6,1.0,-277.6,277.6,0
9606.ENSP00000376077,171.6,1.0,298.6,1.0,-127.00000000000004,127.00000000000004,0
9606.ENSP00000424870,67.1,1.0,298.6,1.0,-231.50000000000003,231.50000000000003,1
9606.ENSP00000349629,13.5,1.0,298.6,1.0,-285.1,285.1,0
9606.ENSP00000291890,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000354497,10.9,1.0,298.6,1.0,-287.70000000000005,287.70000000000005,0
9606.ENSP00000318195,914.1,1.0,298.6,1.0,615.5,615.5,0
9606.ENSP00000338413,222.8,1.0,298.6,1.0,-75.80000000000001,75.80000000000001,0
9606.ENSP00000308610,30.8,1.0,298.6,1.0,-267.8,267.8,0
9606.ENSP00000347433,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000353132,0.8,1.0,298.6,1.0,-297.8,297.8,0
9606.ENSP00000375986,7.2,1.0,298.6,1.0,-291.40000000000003,291.40000000000003,0
9606.ENSP00000359991,641.2,1.0,298.6,1.0,342.6,342.6,0
9606.ENSP00000339958,12.9,1.0,298.6,1.0,-285.70000000000005,285.70000000000005,0
9606.ENSP00000298746,24.4,1.0,298.6,1.0,-274.20000000000005,274.20000000000005,0
9606.ENSP00000379503,8.7,1.0,298.6,1.0,-289.90000000000003,289.90000000000003,0
9606.ENSP00000295228,30.8,1.0,298.6,1.0,-267.8,267.8,0
9606.ENSP00000361158,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000381549,2.5,1.0,298.6,1.0,-296.1,296.1,0
9606.ENSP00000225823,0.4,1.0,298.6,1.0,-298.20000000000005,298.20000000000005,0
