protein,Heat_target_0.1,Heat_target_0.2,Heat_target_0.3
9606.ENSP00000262306,6.274461338762194e-05,6.259081419557333e-05,6.150062836240977e-05
9606.ENSP00000338512,4.623562563210726e-05,5.961639180895872e-05,6.143466453067958e-05
9606.ENSP00000266987,6.215246685314924e-05,6.300946552073583e-05,6.182843935675919e-05
9606.ENSP00000344729,1.0062894034490457e-05,1.9172030079062097e-05,2.652290822879877e-05
9606.ENSP00000379496,6.305221177171916e-05,6.373149517457932e-05,6.214073800947517e-05
9606.ENSP00000395389,6.663727981504053e-05,6.590079283341765e-05,6.318656960502267e-05
9606.ENSP00000376445,6.74061884637922e-05,6.404291343642399e-05,6.216656765900552e-05
9606.ENSP00000354163,2.910317198256962e-05,4.865416121901944e-05,5.639738810714334e-05
9606.ENSP00000280800,6.614717131014913e-05,6.370204937411472e-05,6.201858923304826e-05
9606.ENSP00000344724,6.116901204222813e-05,6.276821659412235e-05,6.173242582008243e-05
9606.ENSP00000438468,5.734823571401648e-05,6.345697329379618e-05,6.303528061835095e-05
9606.ENSP00000357122,6.447893247241154e-05,6.312940968200564e-05,6.176850001793355e-05
9606.ENSP00000480421,6.332376506179571e-05,6.308816955424845e-05,6.177551404107362e-05
9606.ENSP00000448680,2.5221153919119388e-05,4.235628875903785e-05,5.123272057971917e-05
9606.ENSP00000226105,5.698091990780085e-05,6.230276630958542e-05,6.163144280435517e-05
9606.ENSP00000286827,6.872167432447895e-05,6.382435094565153e-05,6.196743197506294e-05
9606.ENSP00000415203,3.924232441931963e-05,5.3453000873560086e-05,5.8190838899463415e-05
9606.ENSP00000365048,6.188748375279829e-05,6.260674126679078e-05,6.157786992844194e-05
9606.ENSP00000419923,6.23091182205826e-05,6.277234206208959e-05,6.166863022372127e-05
9606.ENSP00000324557,7.810072929714806e-06,1.326794608758064e-05,1.7785274394555017e-05
9606.ENSP00000234310,6.503004260594025e-05,6.333475175779313e-05,6.184349331306294e-05
9606.ENSP00000177694,6.0116100939922035e-05,6.238101195776835e-05,6.16207325947471e-05
9606.ENSP00000335094,5.8777237427420914e-05,5.981621507089585e-05,6.011737423250452e-05
9606.ENSP00000474230,6.839186244178563e-05,6.384265725500882e-05,6.198678602231666e-05
9606.ENSP00000322270,7.069044659147039e-05,6.446776387747377e-05,6.231645966181532e-05
9606.ENSP00000355657,6.262017996050417e-05,6.284767732722685e-05,6.168481922941282e-05
9606.ENSP00000382349,4.4420521589927375e-05,5.9630787291098386e-05,6.17407204117626e-05
9606.ENSP00000255681,6.365506851579994e-05,6.371490599121898e-05,6.205117097124457e-05
9606.ENSP00000383376,9.075280104298145e-05,6.850231875432655e-05,6.326802395051345e-05
9606.ENSP00000454623,8.651689859107137e-05,6.722920079482719e-05,6.296949868556112e-05
9606.ENSP00000355185,6.241233495529741e-05,6.307091825874522e-05,6.181961362017319e-05
9606.ENSP00000295082,6.393323565134779e-05,6.319900421658531e-05,6.181070784805343e-05
9606.ENSP00000484552,5.024677739129402e-05,5.7389635912841186e-05,5.947006866335869e-05
9606.ENSP00000320081,5.778531703981571e-05,6.359818507917225e-05,6.240435322979465e-05
9606.ENSP00000257626,4.1987445001723245e-05,5.210430026636459e-05,5.636209971271455e-05
9606.ENSP00000358799,6.300603854469955e-05,6.306025898084044e-05,6.178852345328778e-05
9606.ENSP00000296591,5.68184295843821e-05,6.287931319093332e-05,6.253838364500552e-05
9606.ENSP00000412922,6.30215581622906e-05,6.294179183896631e-05,6.177788600325584e-05
9606.ENSP00000295448,5.768787741544657e-05,6.225780089152977e-05,6.155543815111741e-05
9606.ENSP00000471191,6.284681876422837e-05,6.29131609457545e-05,6.171668064780533e-05
9606.ENSP00000400646,6.219925126060843e-05,6.264766125241295e-05,6.148527609184384e-05
9606.ENSP00000264234,0.0001213382565765,8.790146239334717e-05,7.094477041391656e-05
9606.ENSP00000415579,4.691534923040308e-05,5.6559478252893314e-05,5.911514017498121e-05
9606.ENSP00000249284,5.196634901949437e-06,1.019430419546552e-05,1.4436832316278014e-05
9606.ENSP00000254770,6.478217983385548e-05,6.382424180628732e-05,6.211343134054914e-05
9606.ENSP00000382828,2.4895543901948255e-05,4.449777043191716e-05,5.3748801292385906e-05
9606.ENSP00000339692,4.68336911580991e-05,6.0191468946868554e-05,6.187514372868463e-05
9606.ENSP00000299155,0.0001412227575201,0.0001096407722798,8.754845475777984e-05
