,protein,RWR_positive_0.2_0.1,RWR_positive_0.2_0.2,RWR_positive_0.2_0.3,RWR_positive_0.2_0.4,RWR_positive_0.2_0.5,RWR_positive_0.2_0.6,RWR_positive_0.2_0.7,RWR_positive_0.2_0.8,RWR_positive_0.2_0.9,RWR_positive_0.2_1.0
0,9606.ENSP00000262306,0.007351770629434774,0.01378516299373287,0.019156488294652167,0.027281487331016083,0.035660391674231594,0.04057613245808952,0.04486627598523736,0.05035348370665095,0.061870016761195704,0.06830723318431299
1,9606.ENSP00000338512,0.00024198653029118287,0.0003746857969662503,0.0008160954837862378,0.0010516214179278644,0.0017625230130866214,0.0020466597564495616,0.002322743772385174,0.0025234409178921577,0.0027285088663821077,0.0029388383173981256
2,9606.ENSP00000266987,0.0018178763198295179,0.003340299681668147,0.005351379089478662,0.006674610512747861,0.008005112218604919,0.010760999596106548,0.011817435857445822,0.013283561705924228,0.014425107040906144,0.015697794433933224
3,9606.ENSP00000344729,2.67502340522256e-05,5.196583045544708e-05,8.074216013039964e-05,0.00011107043596557953,0.00013452134199759105,0.0001585465010510394,0.00017488688396616938,0.0002607271788000809,0.00027963559068774755,0.00029995639687583784
4,9606.ENSP00000379496,0.0007726108966377493,0.0014985191319935218,0.0023520673412671398,0.0029761112039626207,0.003651168442262082,0.0042905403080734025,0.009101452468453395,0.009826305533891813,0.010601643679514711,0.011343260981081836
5,9606.ENSP00000395389,0.0003474147903866713,0.0005481959373973849,0.0006868051643870041,0.0008813814820295074,0.0010441259063595778,0.0011917946827291544,0.001381997672199081,0.001555646613605546,0.0017415271211145829,0.002041919356008864
6,9606.ENSP00000376445,0.0007341877352851178,0.0019065481469550782,0.002671734056371881,0.0034179846912957405,0.00448150891829225,0.005445218033176657,0.006237053070049938,0.00801903509469767,0.008967749595430754,0.009815114794910339
7,9606.ENSP00000354163,0.00010751286837709612,0.0002696786513311361,0.00039440150433770306,0.0005320773334849162,0.0006611231740909614,0.0007704576505300412,0.0009235799662423907,0.0010596323426834177,0.0012138150744293173,0.0013303503816107462
8,9606.ENSP00000280800,0.001254902392001757,0.0026523749135425427,0.004963123713255661,0.007984115277365656,0.009331732768057292,0.010543862967023162,0.012253646003065317,0.01377314444594375,0.016059272417989483,0.017418772117397757
9,9606.ENSP00000344724,0.0019564252264898355,0.0030057977639516642,0.003915251816558702,0.005056647433944213,0.005951630676826935,0.007051369277582035,0.007774234264523811,0.008726490868878247,0.009913137037620147,0.010913166325552198
10,9606.ENSP00000438468,0.00011473160284024797,0.00027599493972993926,0.00043184699319656535,0.0005678940577575846,0.0007075352617541938,0.0008438181196251784,0.0010189723633736323,0.0011532933269455216,0.0013136465299158119,0.0014692439725876515
11,9606.ENSP00000357122,0.006098877675892095,0.01126145563122296,0.017409182577767045,0.026467851312942256,0.032079220337291596,0.03818588788859422,0.04525154611624904,0.051386432236794684,0.05702549568064468,0.062345960262599504
12,9606.ENSP00000480421,0.0028378828583855136,0.005408517398904208,0.007510499679729025,0.009549110725349879,0.013518962024901736,0.015484123059952126,0.016759348610708692,0.019001404075621616,0.0208559118232274,0.022541310710464564
13,9606.ENSP00000448680,9.88529372377155e-05,0.00019199985015536341,0.0002796102147059533,0.0003624032927538966,0.00046969636536539904,0.0005432341212047969,0.0006415178482024968,0.0007121443240124652,0.0007983358927449397,0.0008838155557679455
14,9606.ENSP00000226105,0.0005484539459141398,0.0012673160437964167,0.0018569423854323758,0.0025330683460333507,0.0030366514208450923,0.0035990082354293014,0.003947641251822691,0.004478787500986058,0.004871447882706089,0.005301331660922362
15,9606.ENSP00000286827,0.0032446573412210755,0.006900260819176285,0.010919076771567098,0.013728034110281541,0.017181220298839936,0.021316019881633032,0.025036925843999712,0.028659862628738167,0.03112387382699321,0.03533339419656929
16,9606.ENSP00000415203,0.0006450850692529862,0.000759563942830308,0.0008605659901698577,0.0009985895596955775,0.0011362393742601223,0.0012714420344351603,0.001469633109477025,0.001615746440407801,0.0021519662295204213,0.0022501542099213692
17,9606.ENSP00000365048,0.0014748871631827501,0.0032652171602277295,0.0038422939567104436,0.004904923585487928,0.005769402045996406,0.0065478360463522255,0.007699919463932528,0.008433309920049285,0.009429597875553499,0.010194686421370693
18,9606.ENSP00000419923,0.0010357599966109472,0.002058092199277356,0.0030609241317533517,0.004100851424021928,0.005172695152711031,0.006072115777650162,0.00726390778150389,0.008067976812222127,0.00919041861607202,0.00986078590632636
19,9606.ENSP00000324557,9.786413635660014e-06,2.3773886462247978e-05,3.647356035114998e-05,4.6799258038673366e-05,5.735456243106826e-05,6.714708480632335e-05,7.925450601047054e-05,8.89239984853412e-05,9.954521673476746e-05,0.00011073444757513856
20,9606.ENSP00000234310,0.0075079224116901795,0.01115339180044759,0.015868536526511885,0.024551791784686194,0.028938225059766128,0.034337290183240124,0.040489386562780026,0.04551593484692906,0.05022977415905755,0.05423857512586235
21,9606.ENSP00000177694,0.0020142183118850568,0.003480151724196702,0.004809808706560716,0.0075809445544606545,0.009694738523026554,0.011353871669957879,0.012449541690358909,0.013277017286558517,0.014780156014288207,0.017736810750956705
22,9606.ENSP00000335094,0.0006014976812101442,0.0008486094872365498,0.000964370876514525,0.001141612554138832,0.0012948801729373875,0.0014993405573667333,0.0016854041939678684,0.0018554267288710595,0.002011591303338786,0.0021495595299437418
23,9606.ENSP00000474230,0.0024588755525621624,0.004776330938394371,0.008343368362028326,0.010545422307026524,0.012567264128362189,0.017049591562759037,0.01871050424530147,0.021077221085331284,0.02313012815917033,0.026477079670038255
24,9606.ENSP00000322270,0.001930897229366086,0.002769466727500192,0.0033303906428439724,0.004414857000468525,0.0054237165887709386,0.0062237547482802205,0.00745472348430479,0.008012582249686317,0.008713678813243137,0.009164622147599458
