,protein,RW_positive_30_0.1,RW_positive_30_0.2,RW_positive_30_0.3,RW_positive_30_0.4,RW_positive_30_0.5,RW_positive_30_0.6,RW_positive_30_0.7,RW_positive_30_0.8,RW_positive_30_0.9,RW_positive_30_1.0
0,9606.ENSP00000262306,0.0077099082845961675,0.015612499220878817,0.021973050461383536,0.031032129409140907,0.038742064192774706,0.04548822157084942,0.05165615268924739,0.057438595744315535,0.06514851647079922,0.07228019351896364
1,9606.ENSP00000338512,0.00035617820321931504,0.0005559846094911336,0.0008426636177318869,0.0012075264276063535,0.0015376352457678877,0.0018851206077670213,0.002276037803312647,0.002597465143480804,0.0029710029402849614,0.0032403096492998884
2,9606.ENSP00000266987,0.0024932086816988885,0.004986454383470118,0.007601297420478659,0.009729671357490588,0.01179722595406929,0.014351243025885196,0.01593228606725461,0.018364686795393936,0.02043221733038081,0.022621356842137175
3,9606.ENSP00000344729,4.452161476820038e-05,8.90436838290043e-05,0.00013573728926985495,0.00017374387698509963,0.00021066460919882957,0.00025627263335081807,0.0002845057949798502,0.0003279417552448649,0.00036486208989572333,0.00040395412929683516
4,9606.ENSP00000379496,0.0014631118101533502,0.0029681115302082617,0.004556723692076048,0.005936342331551714,0.0074414246482774615,0.008946378500695573,0.010535064222494839,0.012123750282626133,0.013879612470191205,0.01555164819365018
5,9606.ENSP00000395389,0.0003572742093638226,0.000676534653393901,0.0008817671191536647,0.001208621698879142,0.001505065324181487,0.0017787099477573065,0.0020827727139476337,0.0023259869676621747,0.002630027525810874,0.0028352466370051843
6,9606.ENSP00000376445,0.0013111719163134694,0.002659842062712414,0.004083435203938279,0.005319729825714603,0.006668432793958345,0.008017084084713133,0.009440709502086975,0.010864331059565302,0.012437792258424452,0.013936232353444211
7,9606.ENSP00000354163,0.00022803994943387806,0.00046259599230324966,0.0007101859268914268,0.0009251961619156646,0.0011597561124290223,0.001394311796502734,0.0016419014318671543,0.00188949290304663,0.002163141944038216,0.0024237595180238714
8,9606.ENSP00000280800,0.0022613066103076562,0.004587290990457404,0.007042463810648769,0.009174644583254121,0.01150065912224818,0.01382660867238883,0.016281855627312325,0.018737082173174713,0.02145074995496543,0.024035009650106076
9,9606.ENSP00000344724,0.0014117178034211975,0.002858732063032221,0.004023428187792888,0.005682227387296734,0.007093900825566379,0.008329159314598655,0.009458491134864744,0.010517256861930946,0.011928958410862833,0.013234762143838452
10,9606.ENSP00000438468,0.00020904570237689768,0.0004240572552589583,0.0006510188995889621,0.0008481108452542685,0.0010631214877321327,0.0012781354284925328,0.001505090096998174,0.0017320492393082532,0.001982894380489597,0.0022218124986466137
11,9606.ENSP00000357122,0.00794719415716827,0.015894412077614106,0.024229270915384404,0.031013457220979035,0.0376037911628373,0.04574472656531725,0.05078438077180181,0.05853769808891229,0.06512804236263037,0.07210605025466066
12,9606.ENSP00000480421,0.003161035740049556,0.006322123350400943,0.00963737559504807,0.01233585600857623,0.014957224018871784,0.01819536762923235,0.020199906248308253,0.02328384737484157,0.02590518390206853,0.02868070225667907
13,9606.ENSP00000448680,0.00011401949382161547,0.0002312974243068311,0.000355090794755597,0.00046259589316832717,0.0005798752688406239,0.000697153047667598,0.0008209474283376039,0.0009447415004615323,0.001081566022548941,0.0012118734421164845
14,9606.ENSP00000226105,0.0009126860604737885,0.0018253916859976016,0.0027826108307635877,0.003561749868822517,0.004318623399740318,0.005253590188658563,0.005832363871377311,0.006722799140334246,0.007479657995645539,0.008281035257823532
15,9606.ENSP00000286827,0.0059211635089013726,0.011842474952572957,0.018052626648568548,0.023107484041247517,0.028017846576403826,0.034083848833688535,0.03783876899979077,0.043615721180685796,0.04852595372358337,0.05372501899546478
16,9606.ENSP00000415203,0.0001710171109152725,0.000346928191902407,0.0005326129867171403,0.0006938680839994049,0.0008697860771462729,0.0010456922559569648,0.0012313830193306785,0.001417075239260157,0.0016223074121626269,0.0018177465854023467
17,9606.ENSP00000365048,0.0017863494540506508,0.003382645245437743,0.004408813689224189,0.006043097149813548,0.007525341603468405,0.008893576170521555,0.010413869022158906,0.011629993619862944,0.013150217891961802,0.014176351483911276
18,9606.ENSP00000419923,0.0013133974898664746,0.0020501905055425595,0.003107307209575083,0.004452821816812502,0.005670380895026028,0.006951956151169725,0.00839377724332735,0.00957905065297382,0.010957004142255755,0.011950060968956677
19,9606.ENSP00000324557,1.9002337865003938e-05,3.854820721471697e-05,5.917997214055504e-05,7.709726173743547e-05,9.664366228889776e-05,0.00011618921507761115,0.00013682147488225382,0.0001574537461124237,0.0001802574569751414,0.0002019737211185202
20,9606.ENSP00000234310,0.009438783425139263,0.014733665651874617,0.022330703563056886,0.03199952117574867,0.04074712788860779,0.04995530987798702,0.060314316346193664,0.06883217678114306,0.07873039001424331,0.08586707490030676
21,9606.ENSP00000177694,0.001867892573500285,0.0037825368308403995,0.00532376144110458,0.00751867329745437,0.009386460114910733,0.011020871977962088,0.012515102731413208,0.013915929619543022,0.015783748815010767,0.017511476144136395
22,9606.ENSP00000335094,0.00040831299611454597,0.0007731832829449559,0.0010077441265821108,0.0013812943034281489,0.0017200892043547356,0.0020328305045040906,0.002380332040047506,0.00265830888383789,0.0030057958774705185,0.0032403422310380847
