protein,heat_0.1_0.1,heat_0.1_0.2,heat_0.1_0.3,heat_0.1_0.4,heat_0.1_0.5,heat_0.1_0.6,heat_0.1_0.7,heat_0.1_0.8,heat_0.1_0.9,heat_0.1_1.0
9606.ENSP00000360266,0.0023724091515759,0.0045654282002942,0.0068497218298944,0.0090811066347669,0.0110519708523497,0.0133652758186144,0.0156478324815907,0.0181404433815259,0.0215732225888132,0.0236875278869774
9606.ENSP00000421686,0.0002138332777974,0.0004495074488488,0.000644078781562,0.0008560082601718,0.0010527113509226,0.0012669268728302,0.001457941032271,0.0016900031214106,0.0018675525986395,0.0020585708246017
9606.ENSP00000356989,0.0024501445004716,0.0046702982272108,0.0069380066765916,0.0091238889667693,0.0111285642137772,0.013272935450459,0.015392797125969,0.0180790506619814,0.0202507170524768,0.0223503878787596
9606.ENSP00000476117,0.0024128006916726,0.0046093614691926,0.006934014388662,0.0092782919923593,0.0112124885667981,0.0135589142050775,0.0156658282180615,0.0182524764863956,0.0201747115493162,0.0222690842051633
9606.ENSP00000386597,0.0008709626172276,0.0015403906901383,0.0195022433332496,0.0203836559554702,0.0210937007592519,0.0218088050604592,0.0233137963522267,0.02417712661952,0.0248884986089024,0.0255679079303945
9606.ENSP00000300291,0.0024306364139192,0.0045982085557625,0.0068870720765517,0.0090768840814234,0.01109227322695,0.0132347522048803,0.0153330886714684,0.0179319539047355,0.0201131592248202,0.0221959286964192
9606.ENSP00000416002,0.001538865499242,0.0030475357552859,0.004499999102336,0.0058498547932686,0.0071032412033673,0.0085639870076192,0.0099933207084177,0.0114741152101487,0.0134512664922112,0.0147701562714246
9606.ENSP00000292114,0.0021826759184477,0.0042457130784896,0.0065277006451651,0.0086686937702324,0.0105336643700866,0.0128781106209316,0.0149337586931324,0.0173365711521,0.0195954673995402,0.0215019141101038
9606.ENSP00000426909,0.0024789700473775,0.0044654066014118,0.006663607298833,0.0087817959174572,0.0106987385443062,0.0131238841659069,0.015148006606978,0.0176688719202502,0.019758932357945,0.0220055359204707
9606.ENSP00000233893,0.0023493991357099,0.0045541744748334,0.0069095416483833,0.0091132612824367,0.0110312305869229,0.0132618035968334,0.0155438545443757,0.0179840494674863,0.0199598329181753,0.0221017881285661
9606.ENSP00000281828,0.0024384235503021,0.0044987568048782,0.0067474640759428,0.0090955472383029,0.0112198950096171,0.0136493311260892,0.015786371514423,0.0184119258651662,0.0204757364058423,0.0225686472590496
9606.ENSP00000445162,0.0024638012746436,0.0046593017050327,0.0070080969803711,0.0093958244892746,0.0113326884770685,0.013698197409667,0.0158441464732277,0.0184667936841833,0.0204228360430533,0.0226290610748947
9606.ENSP00000262320,0.0024422510978183,0.0043751586417783,0.0065176580146726,0.0085938616366547,0.0104741079348968,0.012835074024224,0.0148220139208206,0.017849528948318,0.0198743457358432,0.0220519665590472
9606.ENSP00000363944,0.0024278001292259,0.0046727857934456,0.0070215526557149,0.0092894101080673,0.0112978228326028,0.0136462679388387,0.0160093067484012,0.0185390044448467,0.0206224624084825,0.022837129475647
9606.ENSP00000421246,0.0023608842875546,0.0044393446969479,0.0065927880223171,0.0088163322488981,0.0109501753559015,0.0132569534885078,0.0153233285832357,0.0178897596883871,0.0199077882584788,0.021925749883394
9606.ENSP00000376506,0.002614542892843,0.0047016952266858,0.0068140153407512,0.0088617091623746,0.0107736279733217,0.0128142668108921,0.0147915313145858,0.0172328226099125,0.0193225708653699,0.0213000937774268
9606.ENSP00000252674,0.0024383410163864,0.0046748361055506,0.0070112818684719,0.0092851020335729,0.0113073072525367,0.0136513059687786,0.0160362095257369,0.0185907727091034,0.0207379853354723,0.0229271481812247
9606.ENSP00000245787,0.0024131144964485,0.0046214485464588,0.0070467880905198,0.0093419632612494,0.0113510092378419,0.0136782174590734,0.016008958067232,0.0185188185710103,0.0205809397443772,0.0227688037844018
9606.ENSP00000377148,0.0024190230797103,0.0045540523933595,0.0067167757670176,0.008936398181504,0.0109398672202587,0.0131176604686515,0.0151660374890525,0.0176777688097899,0.0198099226995509,0.0218525897121253
9606.ENSP00000240079,0.0022048351347621,0.0039686345471636,0.0059476885294316,0.0078315905416275,0.0095483300196974,0.0121235409437758,0.0139965213943469,0.0161991502550336,0.018138580039249,0.0203718709076383
9606.ENSP00000378307,0.0025506436541036,0.0045949466284582,0.0068675394904857,0.009048920666828,0.0109898611353855,0.0134656966583861,0.0155755833839066,0.0181287960804183,0.0202868672104159,0.0225650164184116
9606.ENSP00000244709,0.0019620133298303,0.0045701910867137,0.0063817562090662,0.0080456439104636,0.0095283415389531,0.0114319328954479,0.0130048994819844,0.0149231967211562,0.0165529346745643,0.0183646722930461
9606.ENSP00000244050,0.0021888863338972,0.0052572784916264,0.0074198267002429,0.0095556757814847,0.0112974281300921,0.0140258835904205,0.0160029665962611,0.0182501186659465,0.0215097107952715,0.0236287018974508
9606.ENSP00000308000,0.0024223778418672,0.0046466299536405,0.0069888552743577,0.0092391577754824,0.0112197050630129,0.0135071414870253,0.0158370223716701,0.0183594056206857,0.0203879120881538,0.0225908924358009
9606.ENSP00000369757,0.0023934477831062,0.0045944160046929,0.0068923589401492,0.0092268137318569,0.0111350218699044,0.013472787826231,0.0155568260211111,0.0181227798798317,0.0201916625924241,0.0222743628114585
9606.ENSP00000355013,0.0028687369731414,0.0049402040708628,0.0071972070941228,0.0094647479886589,0.0116063992677482,0.0140299541039894,0.0161553187886056,0.0187980087043797,0.0208591304112815,0.022964576882714
9606.ENSP00000309430,0.0020796992976102,0.0040003972990234,0.006023631620792,0.0082714559289343,0.0099137376132603,0.0128573554438844,0.0146822828201038,0.0170205465610706,0.0250062373950186,0.0268149114424431
9606.ENSP00000358307,0.0024295760267705,0.0043539549551496,0.0064755338903523,0.0085366539410642,0.0103826069230308,0.0127394194155385,0.0146928204253526,0.0174177130779753,0.0195491763693098,0.0217235980594523
9606.ENSP00000332604,0.0024425709225397,0.0045176933908805,0.0067505257629818,0.0090339073631184,0.0111791906110738,0.0138202393682149,0.0159466387522115,0.0185861861509692,0.020659274805439,0.0227947211442369
9606.ENSP00000446880,0.0024117922675941,0.0045843173375033,0.0069145296793067,0.0092627438089039,0.0111848995320542,0.0135299384346581,0.015647564730898,0.018192540952441,0.0201259799500803,0.0222154693933589
9606.ENSP00000416951,0.0025283213399234,0.0045441003840096,0.0067589341156235,0.0089122189124282,0.010826412087681,0.0132777791436637,0.0153577219602993,0.0179006703360755,0.0200501479480408,0.0223309017524115
9606.ENSP00000354742,0.0024077963498712,0.0046227814818848,0.0069734453900309,0.0092256013849691,0.0111999373766593,0.0135090011472129,0.0158278563840212,0.0183392355475007,0.0203867071222703,0.0225643397652675
9606.ENSP00000359295,0.0024545625474274,0.0046352591216418,0.0069897861358185,0.009413513544132,0.0113559527417237,0.0137219445368828,0.0158554613317392,0.0184578173411864,0.0203672524221474,0.0224740330731947
9606.ENSP00000309092,0.0024576453979534,0.0046718491630599,0.0070389660013461,0.009281895308959,0.0112636392259446,0.0136473890092929,0.0159699745058787,0.0184535981029512,0.0204883327701281,0.0227006689442532
9606.ENSP00000345361,0.0023868820571806,0.0045691581890423,0.0068708811086253,0.0090615079470808,0.0109962195901971,0.0132642004273293,0.0155464898334685,0.0180114451422923,0.0200033120327134,0.022154062278787
9606.ENSP00000462799,0.0025300523848272,0.0047261570871341,0.0070144709702617,0.0091953436890435,0.0111127607228809,0.0134680642177045,0.0158382781837644,0.0182923225520426,0.020372221542857,0.0225617129453894
9606.ENSP00000318297,0.0025643207045504,0.0045848407389712,0.0068247528679421,0.0089779242216536,0.0108991585284456,0.0133513770315403,0.0154408266580503,0.0179836725737914,0.0200986806257787,0.0223859560692289
9606.ENSP00000294409,0.0024316389353771,0.0045040051099931,0.0067197650187154,0.0089818159776768,0.0111297319763252,0.0135677475427655,0.0157752221766713,0.0184004917346101,0.0204374271343112,0.0225335140503375
9606.ENSP00000242804,0.0004943186236232,0.0009606903664689,0.0014475656263925,0.0018966590266131,0.0021521154201877,0.0027613808303499,0.0032153802332572,0.0042907099395392,0.0046460918906632,0.0049526175884011
9606.ENSP00000340823,0.002433771311189,0.004612281678419,0.0069407149803737,0.0095319193151226,0.0114599243079283,0.0138338496644792,0.0159526671441199,0.018541648444625,0.0208275832233084,0.0229826556064836
9606.ENSP00000334553,0.0024565784560763,0.0045079743035785,0.0067692909256038,0.0090719746735885,0.0112156873915409,0.0136172749171237,0.01575047517872,0.0184083284157168,0.0204858931883791,0.0225907457497669
9606.ENSP00000444850,0.0024566050960856,0.0043930433939749,0.006578318073025,0.0086390562514679,0.0106221986620766,0.0129953081473104,0.0150291803570326,0.0175035576162372,0.0195540106974476,0.021744853070686
9606.ENSP00000218068,0.0006443909535391,0.0011147923671614,0.0016392531511542,0.0021240556589532,0.0025573003748036,0.0030417070000225,0.0035681291990954,0.004034543499813,0.0044432687580808,0.0048436191022744
9606.ENSP00000445633,0.0024215097364503,0.0046644783924421,0.0070059498302725,0.009279987562877,0.0112872508570944,0.01363964300117,0.015992279475995,0.0185524816829456,0.0206348413780688,0.0228214220155678
9606.ENSP00000477597,0.0014659837493127,0.0026997342736194,0.004202163704349,0.0055674049933713,0.0068737618300929,0.0085033702662258,0.0098099794531663,0.0113607000012052,0.0125981910655355,0.0138461656183608
9606.ENSP00000258418,0.002443679373755,0.0044824146739301,0.0067427882336232,0.0090061794567191,0.0112549362734171,0.0136010419896592,0.0157289529483932,0.0183269113417736,0.0203673732462448,0.0224553740013107
9606.ENSP00000347646,0.0021189417493587,0.0038384923063858,0.0058623878721846,0.0077923522676428,0.0095369258579012,0.0117963839147705,0.015214210270642,0.0173203042613749,0.0193944114921578,0.0214521262937523
9606.ENSP00000300413,0.0025312225006928,0.0045586950236611,0.0067838898808076,0.0089374841659264,0.0108567237507486,0.0133165052334334,0.0153871619563688,0.0179384028465392,0.0200662364563868,0.0223541057252987
9606.ENSP00000218089,0.0024286320622195,0.0046192831232474,0.0068917974467694,0.0091210972723274,0.0111458332439724,0.0134493772088717,0.0157209216408773,0.0181948573876979,0.0202272421115594,0.0223429391076024
9606.ENSP00000366746,0.002363800726016,0.0044762612978956,0.006685369871775,0.008829450356643,0.0108083308605273,0.0128965195267483,0.0149563940931329,0.0174852201143949,0.0195954932023596,0.0238660580180294
