,protein,heat_positive_0.1_0.1,heat_positive_0.1_0.2,heat_positive_0.1_0.3,heat_positive_0.1_0.4,heat_positive_0.1_0.5,heat_positive_0.1_0.6,heat_positive_0.1_0.7,heat_positive_0.1_0.8,heat_positive_0.1_0.9,heat_positive_0.1_1.0
0,9606.ENSP00000262306,0.002717422084970167,0.0053771067468915135,0.007579401877592318,0.010703645466492162,0.013406054213191965,0.015716449648607522,0.017656702868407592,0.019601148285346426,0.022328596367060527,0.024663122601396026
1,9606.ENSP00000338512,0.0022300233540590852,0.0034800297260062507,0.005539357529187328,0.00774891692321944,0.010872456743300063,0.013165884929321692,0.015556237985720145,0.01746897506359346,0.019620647423607807,0.021482570648686306
2,9606.ENSP00000266987,0.0027665286943374667,0.005434132930531632,0.008211523144382227,0.010594943182695715,0.012961133456883545,0.015817672742741706,0.01757498756160203,0.02012684697729128,0.022296405526503804,0.024614108072000818
3,9606.ENSP00000344729,0.00045836877234251006,0.0008985310835214477,0.0013431036655902062,0.00177312965524834,0.0021822191715727968,0.0026327939108341525,0.002911886498225158,0.0034407098035558192,0.0037763119251508215,0.004138172251941796
4,9606.ENSP00000379496,0.002229594552773051,0.00463152972588432,0.007141575967580138,0.009152934326266404,0.011408783037495596,0.013447317861846386,0.0166671247989143,0.019025552704988513,0.02152372814998671,0.024086603149044095
5,9606.ENSP00000395389,0.00230676633418625,0.004175368028882076,0.005362839634472039,0.0071323383567687415,0.008789252834958461,0.010379377036770165,0.012070077361386211,0.01349543876858661,0.015154654291109182,0.016332003911884385
6,9606.ENSP00000376445,0.0022464815046987496,0.004738485506095458,0.007235133300127927,0.009293410886130005,0.011788911866005947,0.014011169462719408,0.016512117101228796,0.018994255073266686,0.021586788408058055,0.024218756146183296
7,9606.ENSP00000354163,0.0011165710775458138,0.0025478588677287917,0.0038482774543808773,0.004984445914942626,0.006191902630234836,0.007252815580159222,0.008649928681734309,0.009918712153194065,0.0112993278689828,0.012648991481910343
8,9606.ENSP00000280800,0.0022739714295312297,0.004767657992488239,0.007348730967351003,0.009473781858105212,0.011840873609799019,0.013983677034957509,0.0165179682926464,0.018999206414264336,0.02164518768313428,0.02430729203570081
9,9606.ENSP00000344724,0.002911968455009628,0.0057430476817899034,0.007940823636999994,0.011274003735707083,0.013990680929964583,0.016414810234891775,0.018357637482040445,0.020362772600037715,0.02323733272305617,0.025745977050519286
10,9606.ENSP00000438468,0.0014311787454062141,0.0031789046133781085,0.0049080991511800676,0.006282090184868139,0.007817805064632921,0.009220429310289546,0.01100194339483096,0.012548457626280651,0.0142640201145241,0.0160764938216289
11,9606.ENSP00000357122,0.002782899679004913,0.005421991520051961,0.008168917622242589,0.010517470636841608,0.012851388772105565,0.015651795925805345,0.017385377543178038,0.019906542878743494,0.02207064656977309,0.024367989048187155
12,9606.ENSP00000480421,0.0027763106118072756,0.0054524097440662445,0.008231840683038172,0.010619445521570015,0.012997873963740858,0.015836284761007846,0.01756895732250996,0.020143240303241328,0.022343760816966096,0.024668266749813483
13,9606.ENSP00000448680,0.0011916033436136786,0.0024633141310914652,0.0037185180608503288,0.004754449573283637,0.005997331192020283,0.007013867529394702,0.008309291005843988,0.009404851549788873,0.010633066716309258,0.01193894190237188
14,9606.ENSP00000226105,0.0026464809125172906,0.005334213600690418,0.007960188302604365,0.01036722177923366,0.012714391303234152,0.015432846772455378,0.017073913566491683,0.01951376709575925,0.021552103441990766,0.023742428668356297
15,9606.ENSP00000286827,0.002724925070651807,0.005295757789099298,0.007993457964403206,0.01030277516656497,0.012588987241542782,0.015394374580864678,0.017065561659364903,0.019564863704545132,0.0217063203908765,0.023969532566297858
16,9606.ENSP00000415203,0.0029523844132199883,0.004222398335514299,0.005436842693143262,0.0065617686836958455,0.007811534286247479,0.00891336733116077,0.010531180270390905,0.011871591698309203,0.014276843477091461,0.015548279317044944
17,9606.ENSP00000365048,0.002711228516545816,0.005259954365556041,0.0067801160535054805,0.00923114730812813,0.011500256036924839,0.013623823341276875,0.016036297638947872,0.017878834825296508,0.020167225522982335,0.021730227811076475
18,9606.ENSP00000419923,0.002657272043506964,0.004165618333900056,0.00617967560492616,0.008874100812136021,0.011486329452054633,0.014175572955537064,0.017101094089412072,0.019443911462076358,0.022324067480440135,0.024397261664489633
19,9606.ENSP00000324557,0.00018409350207093667,0.00042107319052320236,0.0006478749708094256,0.0008239876339075636,0.0010186063371975251,0.0011955406940842295,0.0014132286028427643,0.0016014354823994381,0.0018078947138917556,0.0020374389509640878
20,9606.ENSP00000234310,0.002769087058823061,0.0042944278657159884,0.006407862831110833,0.009175866459372628,0.011722823684067407,0.014460347397289297,0.01738360862236732,0.019810419912573707,0.022599287848606764,0.02475398894330283
21,9606.ENSP00000177694,0.003111765985522652,0.005865037945113727,0.008108437597911688,0.01151649966959667,0.014189508143317653,0.016548536645132117,0.01845484680370646,0.020384138787449047,0.023222359343890275,0.025779270097700646
22,9606.ENSP00000335094,0.0022912816561984073,0.003765533644127572,0.004605599237038405,0.00589977729759994,0.007123512350517558,0.0084730539025486,0.009735859342868025,0.01083004276426891,0.012018207071264442,0.012810593345761845
23,9606.ENSP00000474230,0.002742930460954085,0.005330454841896426,0.008049171108723385,0.010378331923220685,0.01268161123016398,0.015494085897898913,0.01718226053753824,0.019713504501851276,0.021877833137295966,0.024160121211480146
24,9606.ENSP00000322270,0.002778007700726448,0.005345000588022231,0.007005755950558523,0.0096872034896478,0.012218209183174622,0.0144306491097268,0.017148741459550365,0.019051130394927895,0.021342177286442165,0.022851869949136017
25,9606.ENSP00000355657,0.002802739163598744,0.004347921334556304,0.0065065656544902595,0.009305952375143534,0.011909795677638613,0.014683443814647035,0.017691618097160244,0.02016244518745225,0.02304449141047371,0.02521386812986748
