protein,shortest_path_length,label
9606.ENSP00000262306,-3,0.0
9606.ENSP00000338512,-4,0.0
9606.ENSP00000266987,-4,0.0
9606.ENSP00000344729,-4,0.0
9606.ENSP00000379496,-4,0.0
9606.ENSP00000395389,-3,0.0
9606.ENSP00000376445,-4,0.0
9606.ENSP00000354163,-4,0.0
9606.ENSP00000280800,-3,0.0
9606.ENSP00000344724,-3,0.0
9606.ENSP00000438468,-3,0.0
9606.ENSP00000357122,-3,0.0
9606.ENSP00000480421,-3,0.0
9606.ENSP00000448680,-4,0.0
9606.ENSP00000226105,-4,0.0
9606.ENSP00000286827,-3,0.0
9606.ENSP00000415203,-4,0.0
9606.ENSP00000365048,-4,0.0
9606.ENSP00000419923,-4,1.0
9606.ENSP00000324557,-4,0.0
9606.ENSP00000234310,-3,0.0
9606.ENSP00000177694,-3,0.0
9606.ENSP00000335094,-3,0.0
9606.ENSP00000474230,-3,0.0
9606.ENSP00000322270,-3,0.0
9606.ENSP00000355657,-3,0.0
9606.ENSP00000382349,-4,0.0
9606.ENSP00000255681,-4,0.0
9606.ENSP00000383376,-4,0.0
9606.ENSP00000454623,-3,0.0
9606.ENSP00000355185,-3,0.0
9606.ENSP00000295082,-4,0.0
9606.ENSP00000484552,-4,0.0
9606.ENSP00000320081,-4,0.0
9606.ENSP00000257626,-3,0.0
9606.ENSP00000358799,-3,0.0
9606.ENSP00000296591,-4,0.0
9606.ENSP00000412922,-4,0.0
9606.ENSP00000295448,-4,0.0
9606.ENSP00000471191,-3,0.0
9606.ENSP00000400646,-3,0.0
9606.ENSP00000264234,-3,0.0
9606.ENSP00000415579,-4,0.0
9606.ENSP00000249284,-4,0.0
9606.ENSP00000254770,-4,0.0
9606.ENSP00000382828,-4,0.0
9606.ENSP00000339692,-4,0.0
9606.ENSP00000299155,-3,0.0
9606.ENSP00000414202,-3,0.0
9606.ENSP00000249647,-3,0.0
9606.ENSP00000345808,-3,0.0
9606.ENSP00000314505,-3,0.0
9606.ENSP00000303532,-4,0.0
9606.ENSP00000420686,-4,0.0
9606.ENSP00000362480,-3,0.0
9606.ENSP00000349131,-3,0.0
9606.ENSP00000362817,-4,0.0
9606.ENSP00000423399,-4,0.0
9606.ENSP00000317379,-3,0.0
9606.ENSP00000336701,-3,0.0
9606.ENSP00000426909,-3,1.0
9606.ENSP00000355251,-4,0.0
9606.ENSP00000357069,-3,0.0
9606.ENSP00000321455,-4,0.0
9606.ENSP00000378958,-3,0.0
9606.ENSP00000342832,-4,0.0
9606.ENSP00000270238,-4,0.0
9606.ENSP00000262193,-3,0.0
9606.ENSP00000379762,-2,0.0
9606.ENSP00000367668,-4,0.0
9606.ENSP00000275730,-4,0.0
9606.ENSP00000342793,-3,0.0
9606.ENSP00000280295,-4,0.0
9606.ENSP00000380903,-3,0.0
9606.ENSP00000416561,-3,0.0
9606.ENSP00000284727,-4,0.0
9606.ENSP00000370849,-7,0.0
9606.ENSP00000305480,-4,0.0
9606.ENSP00000392025,-3,0.0
9606.ENSP00000386456,-3,0.0
9606.ENSP00000353332,-4,1.0
9606.ENSP00000334246,-4,0.0
9606.ENSP00000318318,-4,0.0
9606.ENSP00000330070,-5,0.0
9606.ENSP00000465295,-4,0.0
9606.ENSP00000413520,-4,0.0
9606.ENSP00000298569,-3,0.0
9606.ENSP00000384551,-4,0.0
9606.ENSP00000296824,-3,0.0
9606.ENSP00000466799,-4,0.0
9606.ENSP00000331983,-3,0.0
9606.ENSP00000249499,-3,0.0
9606.ENSP00000423190,-4,0.0
9606.ENSP00000371212,-3,0.0
9606.ENSP00000314099,-4,0.0
9606.ENSP00000225430,-3,0.0
9606.ENSP00000462729,-3,0.0
9606.ENSP00000215570,-3,0.0
9606.ENSP00000280362,-3,0.0
9606.ENSP00000313420,-3,0.0
9606.ENSP00000255390,-3,0.0
9606.ENSP00000261883,-3,0.0
9606.ENSP00000297258,-3,0.0
9606.ENSP00000360782,-3,0.0
9606.ENSP00000368727,-4,0.0
9606.ENSP00000384234,-5,0.0
9606.ENSP00000302855,-4,0.0
9606.ENSP00000231487,-3,0.0
9606.ENSP00000242108,-3,0.0
9606.ENSP00000339161,-3,0.0
9606.ENSP00000420723,-4,0.0
9606.ENSP00000324901,-4,0.0
9606.ENSP00000328340,-4,0.0
9606.ENSP00000261965,-4,0.0
