protein,RNA line ab,RNA type ab,binary_RNA line ab,binary_RNA type ab,one_hot_0,one_hot_1,one_hot_2,one_hot_3,RNA line ab_y,RNA type ab_y,binary_RNA line ab_y,binary_RNA type ab_y,one_hot_0_y,one_hot_1_y,one_hot_2_y,one_hot_3_y,cell_ab_diff,cell_ab_diff_abs,cell_type_ab_diff,cell_type_ab_diff_abs,cell_protein_ab_diff,label
9606.ENSP00000262306,474.5,1113.5,1.0,1.0,0.0,0.0,1.0,0.0,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,421.6,421.6,991.3,991.3,0,0.0
9606.ENSP00000338512,9.7,2.8,1.0,1.0,0.0,0.0,1.0,0.0,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,-43.2,43.2,-119.4,119.4,0,0.0
9606.ENSP00000266987,36.4,16.1,1.0,1.0,0.0,1.0,0.0,0.0,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,-16.5,16.5,-106.1,106.1,1,0.0
9606.ENSP00000344729,0.1,0.4,1.0,1.0,1.0,0.0,0.0,0.0,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,-52.8,52.8,-121.8,121.8,2,0.0
9606.ENSP00000379496,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,-52.9,52.9,-122.2,122.2,-1,0.0
9606.ENSP00000395389,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,-52.9,52.9,-122.2,122.2,-1,0.0
9606.ENSP00000376445,6.8,5.7,1.0,1.0,0.25,0.25,0.25,0.25,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,-46.1,46.1,-116.5,116.5,-1,0.0
9606.ENSP00000354163,5.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,-47.5,47.5,-121.2,121.2,2,0.0
9606.ENSP00000280800,37.0,16.1,1.0,1.0,1.0,0.0,0.0,0.0,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,-15.9,15.9,-106.1,106.1,2,0.0
9606.ENSP00000344724,0.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,-52.9,52.9,-121.0,121.0,2,0.0
9606.ENSP00000438468,1.5,1.6,1.0,1.0,0.0,0.0,0.0,1.0,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,-51.4,51.4,-120.6,120.6,1,0.0
9606.ENSP00000357122,0.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,-52.9,52.9,-121.6,121.6,2,0.0
9606.ENSP00000480421,112.9,12.6,1.0,1.0,0.0,0.0,1.0,0.0,52.9,122.2,1.0,1.0,0.0,0.0,1.0,0.0,60.00000000000001,60.00000000000001,-109.6,109.6,0,0.0
