protein,RWR_positive_0.4_0.1,RWR_positive_0.4_0.2,RWR_positive_0.4_0.3,RWR_positive_0.4_0.4,RWR_positive_0.4_0.5,RWR_positive_0.4_0.6,RWR_positive_0.4_0.7,RWR_positive_0.4_0.8,RWR_positive_0.4_0.9,RWR_positive_0.4_1.0,Target,label
9606.ENSP00000372191,0.001236386071934,0.0012569328668617,0.0013513245964362,0.0014319899959168,0.0014319899959168,0.0014539471183682,0.0014539471183682,0.001697410009829,0.001697410009829,0.001697410009829,9606.ENSP00000264932,0
9606.ENSP00000325562,5.171147579937956e-05,0.0001534441521076,0.0001815025651992,0.0002165672520241,0.0002165672520241,0.0002232473375285,0.0002232473375285,0.0003501675691376,0.0003501675691376,0.0003501675691376,9606.ENSP00000264932,0
9606.ENSP00000363419,2.5857705187061848e-06,4.157534128772439e-06,5.8240706503250615e-06,1.0818751842492762e-05,1.0818751842492762e-05,1.1265269378980303e-05,1.1265269378980303e-05,1.6091142413972764e-05,1.6091142413972764e-05,1.6091142413972764e-05,9606.ENSP00000264932,0
9606.ENSP00000310547,0.0001120152649738,0.00021293871832,0.0002334401217599,0.0002496420370748,0.0002496420370748,0.0002528958900621,0.0002528958900621,0.0004500534107445,0.0004500534107445,0.0004500534107445,9606.ENSP00000264932,0
9606.ENSP00000292147,4.380069255486232e-05,5.0740338976623374e-05,0.0001105077096239,0.0003766944842207,0.0003766944842207,0.0003822806357872,0.0003822806357872,0.000470545597494,0.000470545597494,0.000470545597494,9606.ENSP00000264932,0
9606.ENSP00000379563,5.373074010264406e-05,0.0001041277758109,0.0001640954415044,0.0002382134882384,0.0002382134882384,0.000248618359504,0.000248618359504,0.0003307973504856,0.0003307973504856,0.0003307973504856,9606.ENSP00000264932,0
9606.ENSP00000407560,1.5839478568229191e-06,1.980725615414919e-06,2.953980351991333e-06,3.7813317282386808e-06,3.7813317282386808e-06,4.213800661718654e-06,4.213800661718654e-06,9.218180029702789e-06,9.218180029702789e-06,9.218180029702789e-06,9606.ENSP00000264932,0
9606.ENSP00000360541,9.908183313221884e-05,0.0001559493107795,0.0002789674184754,0.0003607837331157,0.0003607837331157,0.0003709070265817,0.0003709070265817,0.0006140042861545,0.0006140042861545,0.0006140042861545,9606.ENSP00000264932,0
9606.ENSP00000263774,0.0082229723228104,0.0091198696298966,0.009458261951728,0.0143411401336243,0.0143411401336243,0.0145108327307434,0.0145108327307434,0.0181100828661987,0.0181100828661987,0.0181100828661987,9606.ENSP00000264932,0
9606.ENSP00000357535,0.0002221420113898,0.0003429827039368,0.0005074820987719,0.000812155845485,0.000812155845485,0.0008421098504419,0.0008421098504419,0.0014829411694179,0.0014829411694179,0.0014829411694179,9606.ENSP00000264932,0
9606.ENSP00000346173,0.0003419588672396,0.0004239970963955,0.0011598935708396,0.0013511917289963,0.0013511917289963,0.001385471112984,0.001385471112984,0.0017694365076836,0.0017694365076836,0.0017694365076836,9606.ENSP00000264932,0
9606.ENSP00000346255,0.0001406185017475,0.0002177504267945,0.0002810857519373,0.0004001414046323,0.0004001414046323,0.0004629945622492,0.0004629945622492,0.0009449574657627,0.0009449574657627,0.0009449574657627,9606.ENSP00000264932,0
9606.ENSP00000371586,7.588698042618732e-06,1.6699235628990573e-05,5.8359339573130555e-05,8.60360928848804e-05,8.60360928848804e-05,8.932762961708063e-05,8.932762961708063e-05,0.000103021574621,0.000103021574621,0.000103021574621,9606.ENSP00000264932,0
