protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,Target,label
9606.ENSP00000372191,0.0007367474384201,0.0010254359545431,0.000988676527715,9606.ENSP00000264932,0
9606.ENSP00000325562,5.198598470765321e-05,3.404327925438906e-05,1.5109613633037958e-05,9606.ENSP00000264932,0
9606.ENSP00000363419,2.235061839965353e-06,1.0366834902177728e-06,3.2159270709281356e-07,9606.ENSP00000264932,0
9606.ENSP00000310547,2.311838399144787e-05,1.3908851494299604e-05,5.4255152904093975e-06,9606.ENSP00000264932,0
9606.ENSP00000292147,4.208844808150095e-05,3.316105277045738e-05,1.8134025707758208e-05,9606.ENSP00000264932,0
9606.ENSP00000379563,5.571712975136153e-05,4.1312310256923946e-05,2.1399239440741824e-05,9606.ENSP00000264932,0
9606.ENSP00000407560,1.6510357871284088e-06,7.997744122511845e-07,2.6705096925747644e-07,9606.ENSP00000264932,0
9606.ENSP00000360541,7.874724940706023e-05,5.5465912214300094e-05,2.698002521976391e-05,9606.ENSP00000264932,0
9606.ENSP00000263774,0.0012979068953353,0.0014859403805236,0.0012336470630216,9606.ENSP00000264932,0
9606.ENSP00000357535,0.0001885748649477,0.0001191534869988,5.582078851123367e-05,9606.ENSP00000264932,0
9606.ENSP00000346173,0.0001683119037791,0.0001217843971743,6.209687329339925e-05,9606.ENSP00000264932,0
9606.ENSP00000346255,0.0001279068412055,8.511138305132046e-05,4.211864512412658e-05,9606.ENSP00000264932,0
9606.ENSP00000371586,9.21684180786374e-06,3.5569342935525247e-06,9.469824227759138e-07,9606.ENSP00000264932,0
9606.ENSP00000322316,7.230994374571919e-05,5.915599253438211e-05,3.209845016068154e-05,9606.ENSP00000264932,0
9606.ENSP00000258080,9.303866532118084e-05,6.70871186650254e-05,3.481627532847512e-05,9606.ENSP00000264932,0
9606.ENSP00000320043,1.7136051645157704e-05,9.12699314064508e-06,3.6695841075751862e-06,9606.ENSP00000264932,0
9606.ENSP00000384867,4.852533142343779e-05,4.2537417938523514e-05,2.466146660448126e-05,9606.ENSP00000264932,0
9606.ENSP00000366939,1.4541249473639706e-05,1.0428512432003376e-05,5.214411566784614e-06,9606.ENSP00000264932,0
9606.ENSP00000355467,2.399764972153835e-05,1.554459915720728e-05,7.278873467853907e-06,9606.ENSP00000264932,0
9606.ENSP00000341213,1.6323206924180975e-05,1.1572251097867027e-05,5.460055617888204e-06,9606.ENSP00000264932,0
9606.ENSP00000308515,1.4410910444475432e-05,7.171868628933209e-06,2.4921891632459087e-06,9606.ENSP00000264932,0
9606.ENSP00000264451,1.4811187090945202e-05,1.070299379959733e-05,5.490164904694406e-06,9606.ENSP00000264932,0
9606.ENSP00000260953,4.063990497545718e-06,1.822324928976866e-06,5.5601371683411e-07,9606.ENSP00000264932,0
9606.ENSP00000418008,7.435617249021663e-05,4.080168878919437e-05,1.7493703460857118e-05,9606.ENSP00000264932,0
9606.ENSP00000371607,2.664488942362999e-05,2.0266339870062248e-05,1.1129405510762073e-05,9606.ENSP00000264932,0
9606.ENSP00000401980,8.31666504382736e-05,4.603795748668219e-05,1.938883908503896e-05,9606.ENSP00000264932,0
9606.ENSP00000328570,9.859204945086768e-05,7.412556196318946e-05,3.864965202762929e-05,9606.ENSP00000264932,0
9606.ENSP00000359675,2.8906742808087633e-05,1.150985692803534e-05,3.275357577035081e-06,9606.ENSP00000264932,0
9606.ENSP00000308610,0.0007445506907111,0.0010358209163424,0.0009943682271567,9606.ENSP00000264932,0
9606.ENSP00000085068,6.549767087100344e-05,4.243714165579808e-05,2.007132006419442e-05,9606.ENSP00000264932,0
9606.ENSP00000389903,7.618136436821169e-06,4.15241884648233e-06,1.700417124437013e-06,9606.ENSP00000264932,0
9606.ENSP00000245816,3.7169043067793014e-05,2.5827383941761144e-05,1.23240254214076e-05,9606.ENSP00000264932,1
9606.ENSP00000238379,2.784493283625164e-05,1.5459690955123543e-05,6.503520022445076e-06,9606.ENSP00000264932,0
9606.ENSP00000310873,7.430874156451724e-05,5.852902251001965e-05,3.072575368896381e-05,9606.ENSP00000264932,0
