protein,RW_positive_30_0.1,RW_positive_30_0.2,RW_positive_30_0.3,RW_positive_30_0.4,RW_positive_30_0.5,RW_positive_30_0.6,RW_positive_30_0.7,RW_positive_30_0.8,RW_positive_30_0.9,RW_positive_30_1.0,Target,label
9606.ENSP00000372191,0.0003204602908226,0.0003204602908226,0.0003204602908226,0.0004806877404917,0.0006409138732124,0.0006409138732124,0.0007210257972474,0.0008011386016733,0.0008812519881757,0.0008812519881757,9606.ENSP00000264932,0
9606.ENSP00000325562,0.000142440192576,0.000142440192576,0.000142440192576,0.0002136555158358,0.0002848702752089,0.0002848702752089,0.0003204765780537,0.0003560816912795,0.0003916888599633,0.0003916888599633,9606.ENSP00000264932,0
9606.ENSP00000363419,1.369488199998159e-05,1.369488199998159e-05,1.369488199998159e-05,2.0542252968880348e-05,2.7389468186811428e-05,2.7389468186811428e-05,3.081298928009346e-05,3.423658245083061e-05,3.7660241787307314e-05,3.7660241787307314e-05,9606.ENSP00000264932,0
9606.ENSP00000310547,7.3957582571893e-05,7.3957582571893e-05,7.3957582571893e-05,0.0001109341046685,0.0001479111069784,0.0001479111069784,0.0001663994098635,0.0001848866577347,0.0002033748514804,0.0002033748514804,9606.ENSP00000264932,0
9606.ENSP00000292147,0.0001095613133657,0.0001095613133657,0.0001095613133657,0.0001643399245949,0.0002191193743783,0.0002191193743783,0.000246509020144,0.0002738975163083,0.0003012867546203,0.0003012867546203,9606.ENSP00000264932,0
9606.ENSP00000379563,0.0001588660306879,0.0001588660306879,0.0001588660306879,0.0002382966376899,0.0003177257458446,0.0003177257458446,0.0003574389011191,0.0003971525911765,0.0004368674381112,0.0004368674381112,9606.ENSP00000264932,0
9606.ENSP00000407560,1.0955559446301775e-05,1.0955559446301775e-05,1.0955559446301775e-05,1.6433375094493385e-05,2.19111036585673e-05,2.19111036585673e-05,2.4649920078445575e-05,2.7388785156290396e-05,3.0127680247460376e-05,3.0127680247460376e-05,9606.ENSP00000264932,0
9606.ENSP00000360541,0.0002027026894211,0.0002027026894211,0.0002027026894211,0.0003040474039153,0.0004053919437865,0.0004053919437865,0.0004560627348837,0.0005067315069027,0.0005574032766162,0.0005574032766162,9606.ENSP00000264932,0
9606.ENSP00000263774,0.000797227374278,0.000797227374278,0.000797227374278,0.0011957807582803,0.0015943395264912,0.0015943395264912,0.001793609917513,0.0019928608671762,0.00219213332457,0.00219213332457,9606.ENSP00000264932,0
9606.ENSP00000357535,0.0008463502890663,0.0008463502890663,0.0008463502890663,0.00126951195125,0.0016926881799008,0.0016926881799008,0.0019042810454266,0.0021158552262932,0.0023274366249097,0.0023274366249097,9606.ENSP00000264932,0
9606.ENSP00000346173,0.0004957768978783,0.0004957768978783,0.0004957768978783,0.0007436550076818,0.0009915336268022,0.0009915336268022,0.0011154707608511,0.0012394039949867,0.0013633423222927,0.0013633423222927,9606.ENSP00000264932,0
9606.ENSP00000346255,0.0005916068912483,0.0005916068912483,0.0005916068912483,0.0008874138729879,0.0011832072341348,0.0011832072341348,0.001331096078502,0.0014789958950132,0.0016268981271423,0.0016268981271423,9606.ENSP00000264932,0
9606.ENSP00000371586,7.395252396236174e-05,7.395252396236174e-05,7.395252396236174e-05,0.0001109285767597,0.0001479034963267,0.0001479034963267,0.000166390400409,0.0001848777810664,0.0002033655873674,0.0002033655873674,9606.ENSP00000264932,0
9606.ENSP00000322316,0.0001177873655251,0.0001177873655251,0.0001177873655251,0.0001766767054505,0.0002355665819777,0.0002355665819777,0.000265010890871,0.0002944533771369,0.0003238977424189,0.0003238977424189,9606.ENSP00000264932,0
