protein,heat_target_0.1,heat_target_0.2,heat_target_0.3,Target,label
9606.ENSP00000372191,9.218169725500049e-05,8.156529656844214e-05,7.882915087975562e-05,9606.ENSP00000264932,0
9606.ENSP00000325562,0.0001106840645661,8.436173084191978e-05,7.948267011670396e-05,9606.ENSP00000264932,0
9606.ENSP00000363419,3.289006053819321e-05,5.24073802807834e-05,6.294876948231831e-05,9606.ENSP00000264932,0
9606.ENSP00000310547,0.0001115577979362,8.694714779267088e-05,8.019331289688125e-05,9606.ENSP00000264932,0
9606.ENSP00000292147,0.0001021338903228,8.32078221719712e-05,7.926817488623783e-05,9606.ENSP00000264932,0
9606.ENSP00000379563,9.395719825988635e-05,8.102337596938014e-05,7.84523508627899e-05,9606.ENSP00000264932,0
9606.ENSP00000407560,2.9239135983516466e-05,4.645422086468898e-05,5.714557119063102e-05,9606.ENSP00000264932,0
9606.ENSP00000360541,0.0001023758522933,8.246294601121917e-05,7.894479495007545e-05,9606.ENSP00000264932,0
9606.ENSP00000263774,0.0001118337531806,8.336571045219898e-05,7.917876064311713e-05,9606.ENSP00000264932,0
9606.ENSP00000357535,8.995695679914206e-05,8.12194193713367e-05,7.865735096856952e-05,9606.ENSP00000264932,0
9606.ENSP00000346173,9.361655247630551e-05,8.192673703888431e-05,7.888912659836933e-05,9606.ENSP00000264932,0
9606.ENSP00000346255,9.055084228748456e-05,8.144100866047665e-05,7.863209611969069e-05,9606.ENSP00000264932,0
9606.ENSP00000371586,7.0228248659987e-05,7.895206363173202e-05,7.832206756575033e-05,9606.ENSP00000264932,0
9606.ENSP00000322316,0.0001328665093751,8.656372665427625e-05,7.979250949574634e-05,9606.ENSP00000264932,0
9606.ENSP00000258080,8.812311716610566e-05,7.999986701179296e-05,7.773343531880528e-05,9606.ENSP00000264932,0
9606.ENSP00000320043,7.815682329237461e-05,7.992674363777041e-05,7.86503151175566e-05,9606.ENSP00000264932,0
9606.ENSP00000384867,0.0001386432995786,8.861182868713513e-05,8.024397538974881e-05,9606.ENSP00000264932,0
9606.ENSP00000366939,8.689764217706397e-05,8.368918497581035e-05,8.021822577575222e-05,9606.ENSP00000264932,0
9606.ENSP00000355467,8.933500794228166e-05,8.052427438087761e-05,7.824487693142146e-05,9606.ENSP00000264932,0
9606.ENSP00000341213,0.000106965926534,9.028104977915064e-05,8.198402792913839e-05,9606.ENSP00000264932,0
9606.ENSP00000308515,8.082591375568882e-05,7.94125662650913e-05,7.786260539432988e-05,9606.ENSP00000264932,0
9606.ENSP00000264451,9.006542677525431e-05,8.427261491306126e-05,8.00051202531904e-05,9606.ENSP00000264932,0
9606.ENSP00000260953,5.642416363116354e-05,7.228594768093899e-05,7.658531831111759e-05,9606.ENSP00000264932,0
9606.ENSP00000418008,9.04247717699036e-05,8.14178420114331e-05,7.875105802668259e-05,9606.ENSP00000264932,0
9606.ENSP00000371607,7.98491746536456e-05,7.813940464984626e-05,7.805575296515599e-05,9606.ENSP00000264932,0
9606.ENSP00000401980,8.707147208042443e-05,8.089200127869844e-05,7.85657757660374e-05,9606.ENSP00000264932,0
9606.ENSP00000328570,9.74664362729527e-05,8.252739644376561e-05,7.909632404334843e-05,9606.ENSP00000264932,0
9606.ENSP00000359675,8.21823559817858e-05,8.046510629355907e-05,7.855083094909787e-05,9606.ENSP00000264932,0
9606.ENSP00000308610,0.000110020278953,8.296247688122094e-05,7.922243094071746e-05,9606.ENSP00000264932,0
9606.ENSP00000085068,9.129751560976727e-05,8.158710988936946e-05,7.88426332292147e-05,9606.ENSP00000264932,0
9606.ENSP00000389903,6.687155837425962e-05,7.553821342298761e-05,7.644626748515293e-05,9606.ENSP00000264932,0
9606.ENSP00000245816,0.0001091551603167,8.386893023271114e-05,7.931992877274752e-05,9606.ENSP00000264932,1
9606.ENSP00000238379,9.165558003587648e-05,8.189258369384333e-05,7.890105916885659e-05,9606.ENSP00000264932,0
