protein,RNA line ab,binary_RNA line ab,RNA line ab_y,binary_RNA line ab_y,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000360268,117.1,1,102.4,1,14.7,14.7,0
9606.ENSP00000360268,117.1,1,209.6,1,-92.5,92.5,0
9606.ENSP00000360268,117.1,1,136.1,1,-19.0,19.0,0
9606.ENSP00000360268,117.1,1,198.4,1,-81.3,81.3,0
9606.ENSP00000360268,117.1,1,83.9,1,33.2,33.2,0
9606.ENSP00000360268,117.1,1,36.4,1,80.7,80.7,0
9606.ENSP00000360268,117.1,1,102.1,1,15.0,15.0,0
9606.ENSP00000360268,117.1,1,161.5,1,-44.4,44.4,0
9606.ENSP00000360268,117.1,1,146.1,1,-29.0,29.0,0
9606.ENSP00000360268,117.1,1,52.9,1,64.2,64.2,0
9606.ENSP00000360268,117.1,1,396.5,1,-279.4,279.4,0
9606.ENSP00000360268,117.1,1,108.8,1,8.3,8.3,0
9606.ENSP00000360268,117.1,1,271.2,1,-154.1,154.1,0
9606.ENSP00000360268,117.1,1,229.5,1,-112.4,112.4,0
9606.ENSP00000360268,117.1,1,88.4,1,28.7,28.7,0
9606.ENSP00000360268,117.1,1,129.1,1,-12.0,12.0,0
9606.ENSP00000360268,117.1,1,81.7,1,35.4,35.4,0
9606.ENSP00000360268,117.1,1,409.0,1,-291.9,291.9,0
9606.ENSP00000360268,117.1,1,204.4,1,-87.3,87.3,0
9606.ENSP00000360268,117.1,1,162.9,1,-45.8,45.8,0
9606.ENSP00000360268,117.1,1,742.2,1,-625.1,625.1,0
9606.ENSP00000360268,117.1,1,217.9,1,-100.8,100.8,0
9606.ENSP00000360268,117.1,1,117.5,1,-0.4,0.4,0
9606.ENSP00000360268,117.1,1,657.2,1,-540.1,540.1,0
9606.ENSP00000360268,117.1,1,836.5,1,-719.4,719.4,0
9606.ENSP00000360268,117.1,1,187.1,1,-70.0,70.0,0
9606.ENSP00000360268,117.1,1,539.3,1,-422.2,422.2,0
9606.ENSP00000360268,117.1,1,62.6,1,54.5,54.5,0
9606.ENSP00000360268,117.1,1,290.7,1,-173.6,173.6,0
9606.ENSP00000360268,117.1,1,222.3,1,-105.2,105.2,0
9606.ENSP00000360268,117.1,1,19.9,1,97.2,97.2,0
9606.ENSP00000360268,117.1,1,171.6,1,-54.5,54.5,0
9606.ENSP00000360268,117.1,1,83.4,1,33.7,33.7,0
9606.ENSP00000360268,117.1,1,549.0,1,-431.9,431.9,0
9606.ENSP00000360268,117.1,1,191.3,1,-74.2,74.2,0
9606.ENSP00000360268,117.1,1,8.8,1,108.3,108.3,0
9606.ENSP00000360268,117.1,1,668.9,1,-551.8,551.8,0
9606.ENSP00000360268,117.1,1,69.4,1,47.7,47.7,0
9606.ENSP00000360268,117.1,1,732.5,1,-615.4,615.4,0
9606.ENSP00000360268,117.1,1,555.7,1,-438.6,438.6,0
9606.ENSP00000360268,117.1,1,174.3,1,-57.2,57.2,0
9606.ENSP00000360268,117.1,1,17.3,1,99.8,99.8,0
9606.ENSP00000360268,117.1,1,118.6,1,-1.5,1.5,0
9606.ENSP00000360268,117.1,1,318.3,1,-201.2,201.2,0
9606.ENSP00000360268,117.1,1,502.2,1,-385.1,385.1,0
9606.ENSP00000360268,117.1,1,37.1,1,80.0,80.0,0
9606.ENSP00000360268,117.1,1,267.0,1,-149.9,149.9,0
9606.ENSP00000360268,117.1,1,313.0,1,-195.9,195.9,0
9606.ENSP00000360268,117.1,1,200.6,1,-83.5,83.5,0
9606.ENSP00000360268,117.1,1,624.6,1,-507.5,507.5,0
9606.ENSP00000360268,117.1,1,236.1,1,-119.0,119.0,0
9606.ENSP00000360268,117.1,1,91.2,1,25.9,25.9,0
9606.ENSP00000360268,117.1,1,347.3,1,-230.2,230.2,1
9606.ENSP00000360268,117.1,1,801.1,1,-684.0,684.0,0
9606.ENSP00000360268,117.1,1,1378.1,1,-1261.0,1261.0,0
9606.ENSP00000360268,117.1,1,66.5,1,50.6,50.6,0
9606.ENSP00000360268,117.1,1,898.3,1,-781.2,781.2,0
9606.ENSP00000359675,127.3,1,102.4,1,24.9,24.9,0
9606.ENSP00000359675,127.3,1,209.6,1,-82.3,82.3,0
9606.ENSP00000359675,127.3,1,136.1,1,-8.8,8.8,0
9606.ENSP00000359675,127.3,1,198.4,1,-71.1,71.1,0
9606.ENSP00000359675,127.3,1,83.9,1,43.4,43.4,0
9606.ENSP00000359675,127.3,1,36.4,1,90.9,90.9,0
9606.ENSP00000359675,127.3,1,102.1,1,25.2,25.2,0
9606.ENSP00000359675,127.3,1,161.5,1,-34.2,34.2,0
9606.ENSP00000359675,127.3,1,146.1,1,-18.8,18.8,0
9606.ENSP00000359675,127.3,1,52.9,1,74.4,74.4,0
9606.ENSP00000359675,127.3,1,396.5,1,-269.2,269.2,0
9606.ENSP00000359675,127.3,1,108.8,1,18.5,18.5,1
9606.ENSP00000359675,127.3,1,271.2,1,-143.9,143.9,0
9606.ENSP00000359675,127.3,1,229.5,1,-102.2,102.2,0
9606.ENSP00000359675,127.3,1,88.4,1,38.9,38.9,0
9606.ENSP00000359675,127.3,1,129.1,1,-1.8,1.8,0
9606.ENSP00000359675,127.3,1,81.7,1,45.6,45.6,0
9606.ENSP00000359675,127.3,1,409.0,1,-281.7,281.7,0
9606.ENSP00000359675,127.3,1,204.4,1,-77.1,77.1,1
9606.ENSP00000359675,127.3,1,162.9,1,-35.6,35.6,0
9606.ENSP00000359675,127.3,1,742.2,1,-614.9,614.9,0
9606.ENSP00000359675,127.3,1,217.9,1,-90.6,90.6,0
9606.ENSP00000359675,127.3,1,117.5,1,9.8,9.8,0
9606.ENSP00000359675,127.3,1,657.2,1,-529.9,529.9,0
9606.ENSP00000359675,127.3,1,836.5,1,-709.2,709.2,0
9606.ENSP00000359675,127.3,1,187.1,1,-59.8,59.8,0
9606.ENSP00000359675,127.3,1,539.3,1,-412.0,412.0,0
9606.ENSP00000359675,127.3,1,62.6,1,64.7,64.7,0
9606.ENSP00000359675,127.3,1,290.7,1,-163.4,163.4,0
9606.ENSP00000359675,127.3,1,222.3,1,-95.0,95.0,0
9606.ENSP00000359675,127.3,1,19.9,1,107.4,107.4,0
9606.ENSP00000359675,127.3,1,171.6,1,-44.3,44.3,1
9606.ENSP00000359675,127.3,1,83.4,1,43.9,43.9,1
9606.ENSP00000359675,127.3,1,549.0,1,-421.7,421.7,0
9606.ENSP00000359675,127.3,1,191.3,1,-64.0,64.0,0
9606.ENSP00000359675,127.3,1,8.8,1,118.5,118.5,0
9606.ENSP00000359675,127.3,1,668.9,1,-541.6,541.6,0
9606.ENSP00000359675,127.3,1,69.4,1,57.9,57.9,0
9606.ENSP00000359675,127.3,1,732.5,1,-605.2,605.2,0
9606.ENSP00000359675,127.3,1,555.7,1,-428.4,428.4,0
9606.ENSP00000359675,127.3,1,174.3,1,-47.0,47.0,0
9606.ENSP00000359675,127.3,1,17.3,1,110.0,110.0,0
9606.ENSP00000359675,127.3,1,118.6,1,8.7,8.7,0
9606.ENSP00000359675,127.3,1,318.3,1,-191.0,191.0,0
9606.ENSP00000359675,127.3,1,502.2,1,-374.9,374.9,1
9606.ENSP00000359675,127.3,1,37.1,1,90.2,90.2,0
9606.ENSP00000359675,127.3,1,267.0,1,-139.7,139.7,0
9606.ENSP00000359675,127.3,1,313.0,1,-185.7,185.7,0
9606.ENSP00000359675,127.3,1,200.6,1,-73.3,73.3,0
9606.ENSP00000359675,127.3,1,624.6,1,-497.3,497.3,1
9606.ENSP00000359675,127.3,1,236.1,1,-108.8,108.8,0
9606.ENSP00000359675,127.3,1,91.2,1,36.1,36.1,0
9606.ENSP00000359675,127.3,1,347.3,1,-220.0,220.0,0
9606.ENSP00000359675,127.3,1,801.1,1,-673.8,673.8,0
9606.ENSP00000359675,127.3,1,1378.1,1,-1250.8,1250.8,0
9606.ENSP00000359675,127.3,1,66.5,1,60.8,60.8,0
9606.ENSP00000359675,127.3,1,898.3,1,-771.0,771.0,0
9606.ENSP00000354415,57.7,1,102.4,1,-44.7,44.7,0
9606.ENSP00000354415,57.7,1,209.6,1,-151.9,151.9,0
9606.ENSP00000354415,57.7,1,136.1,1,-78.4,78.4,0
9606.ENSP00000354415,57.7,1,198.4,1,-140.7,140.7,0
9606.ENSP00000354415,57.7,1,83.9,1,-26.2,26.2,0
9606.ENSP00000354415,57.7,1,36.4,1,21.3,21.3,0
9606.ENSP00000354415,57.7,1,102.1,1,-44.4,44.4,0
9606.ENSP00000354415,57.7,1,161.5,1,-103.8,103.8,0
9606.ENSP00000354415,57.7,1,146.1,1,-88.4,88.4,0
9606.ENSP00000354415,57.7,1,52.9,1,4.8,4.8,0
9606.ENSP00000354415,57.7,1,396.5,1,-338.8,338.8,0
9606.ENSP00000354415,57.7,1,108.8,1,-51.1,51.1,0
9606.ENSP00000354415,57.7,1,271.2,1,-213.5,213.5,0
9606.ENSP00000354415,57.7,1,229.5,1,-171.8,171.8,0
9606.ENSP00000354415,57.7,1,88.4,1,-30.7,30.7,0
9606.ENSP00000354415,57.7,1,129.1,1,-71.4,71.4,0
9606.ENSP00000354415,57.7,1,81.7,1,-24.0,24.0,0
9606.ENSP00000354415,57.7,1,409.0,1,-351.3,351.3,0
9606.ENSP00000354415,57.7,1,204.4,1,-146.7,146.7,0
9606.ENSP00000354415,57.7,1,162.9,1,-105.2,105.2,0
9606.ENSP00000354415,57.7,1,742.2,1,-684.5,684.5,0
9606.ENSP00000354415,57.7,1,217.9,1,-160.2,160.2,0
9606.ENSP00000354415,57.7,1,117.5,1,-59.8,59.8,0
9606.ENSP00000354415,57.7,1,657.2,1,-599.5,599.5,0
9606.ENSP00000354415,57.7,1,836.5,1,-778.8,778.8,0
9606.ENSP00000354415,57.7,1,187.1,1,-129.4,129.4,0
9606.ENSP00000354415,57.7,1,539.3,1,-481.6,481.6,0
9606.ENSP00000354415,57.7,1,62.6,1,-4.9,4.9,0
9606.ENSP00000354415,57.7,1,290.7,1,-233.0,233.0,0
9606.ENSP00000354415,57.7,1,222.3,1,-164.6,164.6,0
9606.ENSP00000354415,57.7,1,19.9,1,37.8,37.8,0
9606.ENSP00000354415,57.7,1,171.6,1,-113.9,113.9,0
9606.ENSP00000354415,57.7,1,83.4,1,-25.7,25.7,0
9606.ENSP00000354415,57.7,1,549.0,1,-491.3,491.3,0
9606.ENSP00000354415,57.7,1,191.3,1,-133.6,133.6,0
9606.ENSP00000354415,57.7,1,8.8,1,48.9,48.9,0
9606.ENSP00000354415,57.7,1,668.9,1,-611.2,611.2,0
9606.ENSP00000354415,57.7,1,69.4,1,-11.7,11.7,0
9606.ENSP00000354415,57.7,1,732.5,1,-674.8,674.8,1
9606.ENSP00000354415,57.7,1,555.7,1,-498.0,498.0,0
9606.ENSP00000354415,57.7,1,174.3,1,-116.6,116.6,0
9606.ENSP00000354415,57.7,1,17.3,1,40.4,40.4,0
9606.ENSP00000354415,57.7,1,118.6,1,-60.9,60.9,0
9606.ENSP00000354415,57.7,1,318.3,1,-260.6,260.6,0
9606.ENSP00000354415,57.7,1,502.2,1,-444.5,444.5,0
9606.ENSP00000354415,57.7,1,37.1,1,20.6,20.6,0
9606.ENSP00000354415,57.7,1,267.0,1,-209.3,209.3,0
9606.ENSP00000354415,57.7,1,313.0,1,-255.3,255.3,0
9606.ENSP00000354415,57.7,1,200.6,1,-142.9,142.9,0
9606.ENSP00000354415,57.7,1,624.6,1,-566.9,566.9,0
9606.ENSP00000354415,57.7,1,236.1,1,-178.4,178.4,0
9606.ENSP00000354415,57.7,1,91.2,1,-33.5,33.5,0
9606.ENSP00000354415,57.7,1,347.3,1,-289.6,289.6,0
9606.ENSP00000354415,57.7,1,801.1,1,-743.4,743.4,0
9606.ENSP00000354415,57.7,1,1378.1,1,-1320.4,1320.4,0
9606.ENSP00000354415,57.7,1,66.5,1,-8.8,8.8,0
9606.ENSP00000354415,57.7,1,898.3,1,-840.6,840.6,0
9606.ENSP00000354223,47.0,1,102.4,1,-55.4,55.4,0
9606.ENSP00000354223,47.0,1,209.6,1,-162.6,162.6,0
9606.ENSP00000354223,47.0,1,136.1,1,-89.1,89.1,0
9606.ENSP00000354223,47.0,1,198.4,1,-151.4,151.4,0
9606.ENSP00000354223,47.0,1,83.9,1,-36.9,36.9,0
9606.ENSP00000354223,47.0,1,36.4,1,10.6,10.6,0
