protein,RW_target_10,RW_target_20,RW_target_30
9606.ENSP00000348234,1.115967461373657e-05,1.1048015039705206e-05,1.104499551729532e-05
9606.ENSP00000355330,7.896342867752537e-05,7.834141433704644e-05,7.83198993303813e-05
9606.ENSP00000261600,8.299748151330277e-05,8.427154534729198e-05,8.434185292571783e-05
9606.ENSP00000443291,5.155302460480016e-06,5.022462119086413e-06,5.020619937567972e-06
9606.ENSP00000239223,6.959228630876169e-05,7.123778050299734e-05,7.129093137336895e-05
9606.ENSP00000419471,9.337981464341284e-05,9.092860273085536e-05,9.087173384614287e-05
9606.ENSP00000427552,5.7746274251258e-05,5.726344170398079e-05,5.7235163694713265e-05
9606.ENSP00000348019,2.0043793483637273e-05,1.959219844138715e-05,1.958009488589596e-05
9606.ENSP00000266066,1.3676196431333665e-05,1.3562766071117949e-05,1.3555722034652716e-05
9606.ENSP00000312134,2.3022081222734417e-05,2.2602536773774773e-05,2.259263965243008e-05
9606.ENSP00000457466,0.0001845840015448,0.0001783912157407,0.0001782299805199
9606.ENSP00000284503,1.2458962373784743e-05,1.205800253956113e-05,1.2049581528117416e-05
9606.ENSP00000415836,1.2333111044426914e-05,1.2060032531735487e-05,1.2049896213284228e-05
9606.ENSP00000310880,1.2950248674314936e-05,1.2560909453895874e-05,1.2551686268125197e-05
9606.ENSP00000343629,6.263268733164296e-05,6.273912731558084e-05,6.27555200480856e-05
9606.ENSP00000452780,0.0001015680536511,9.79718752205372e-05,9.790280455490574e-05
9606.ENSP00000364691,1.3131088962836657e-05,1.3057023352303077e-05,1.3053333532297984e-05
9606.ENSP00000258229,2.045645942416741e-06,2.009040599659784e-06,2.008189767366275e-06
9606.ENSP00000398211,1.8583861674414948e-05,1.8583743440103717e-05,1.857597089838237e-05
9606.ENSP00000356375,2.6151633392146323e-06,2.5154936338367406e-06,2.51063261202944e-06
9606.ENSP00000303522,5.410796438809484e-05,5.37353589606937e-05,5.371965016820468e-05
9606.ENSP00000346466,7.056951289996505e-06,7.030091637716396e-06,7.0288151619024575e-06
9606.ENSP00000399968,0.0001089041761588,0.0001025391175062,0.0001024206503643
9606.ENSP00000226299,9.980861796066164e-05,9.892622620100155e-05,9.890515502775088e-05
9606.ENSP00000383118,0.0005263276398181,0.0005283086793497,0.0005281721241772
9606.ENSP00000184956,0.0001697292464086,0.0001846887898864,0.000185234210221
9606.ENSP00000370781,0.0001615187647985,0.0001582212862558,0.0001581455871928
9606.ENSP00000366280,5.170731674297713e-05,5.023785706725903e-05,5.0206552259624e-05
9606.ENSP00000251363,2.9170356356189583e-05,2.8141359507571902e-05,2.8115760869695805e-05
9606.ENSP00000372394,1.0838984962902032e-05,1.0548438694968354e-05,1.054336826200597e-05
9606.ENSP00000302579,3.0785638955421746e-05,3.113439379376359e-05,3.112715421593748e-05
9606.ENSP00000431759,1.4044909448784892e-06,1.5020909813756589e-06,1.5059845281939488e-06
9606.ENSP00000294818,7.315923721762374e-05,8.007100404938683e-05,8.03180446382612e-05
9606.ENSP00000246532,7.746861570012697e-07,1.2124030490667792e-06,1.3879938478567055e-06
9606.ENSP00000295297,1.0056699011329329e-06,1.0042452913694433e-06,1.004077603283804e-06
9606.ENSP00000354723,0.0001043138399836,0.0001000145712168,9.991158003685996e-05
