protein,RW_20_0.1,RW_20_0.2,RW_20_0.3,RW_20_0.4,RW_20_0.5,RW_20_0.6,RW_20_0.7,RW_20_0.8,RW_20_0.9,RW_20_1.0
9606.ENSP00000372193,0.0004184327317489,0.0007583496844745,0.0011246131434745,0.0014126794540061,0.0019355007443664,0.0023019163309072,0.0026158146647503,0.0028254756598471,0.0031915524450596,0.0036101532678003
9606.ENSP00000359398,0.0005644302036671,0.0010219022806268,0.0015145295074034,0.0019016641344933,0.0026053144792967,0.0030983320866653,0.0035204646046622,0.0038021064210624,0.0042951382893079,0.0048587936144031
9606.ENSP00000292114,0.0004984909937775,0.0009037183663167,0.0013404770143097,0.00168341695462,0.0023069671478879,0.0027440156554803,0.0031182375823846,0.0033675507147563,0.0038042758969822,0.0043034816008002
9606.ENSP00000346046,0.0035059402871411,0.0063578448316548,0.0094328945415327,0.0118475360213778,0.0162404689472168,0.0193105544894933,0.0219442242814693,0.0236999025801196,0.026771843782626,0.0302805097744567
9606.ENSP00000385903,0.0009695470689621,0.0017572320248291,0.0026058341754833,0.0032720550407248,0.0044830350161646,0.0053315143413783,0.0060580013923754,0.0065424304375483,0.0073897615657188,0.00835921986436
9606.ENSP00000302297,5.63312785288872e-05,0.0001022171538807,0.0001515939907221,0.0001903302020309,0.0002611209536098,0.0003107368704604,0.0003530567028064,0.0003812707052475,0.000430586820812,0.0004870887403285
9606.ENSP00000294288,0.0038334513665176,0.0069475783675443,0.0103013719053706,0.0129377515841042,0.0177296911278972,0.0210848281130893,0.0239585123490542,0.025875455525238,0.0292297481646528,0.0330630818934878
9606.ENSP00000246081,8.041132105063298e-06,1.4530868725159962e-05,2.1542440777011507e-05,2.703162067518861e-05,3.702509229697171e-05,4.401600153869367e-05,5.000673837685099e-05,5.400484064921329e-05,6.099782194723957e-05,6.9000917392259e-05
9606.ENSP00000359778,0.0003865158087137,0.0007007958283793,0.0010392818367108,0.001305275634877,0.0017882565716718,0.0021264541592245,0.0024162061599781,0.0026095841785718,0.0029480269968189,0.0033349169407301
9606.ENSP00000300179,5.628391522805032e-05,0.0001020548418182,0.0001513539680217,0.0001900514789667,0.0002605048211989,0.0003098465456332,0.0003521030673709,0.0003802755945798,0.0004295491003176,0.0004859266903167
